understat_player_id,player_name
9911,Piero Hincapié
9944,Gabriel Gudmundsson
9958,Yerson Mosquera
9977,Loum Tchaouna
9983,Beto
10004,Romeo Lavia
10024,Cristhian Mosquera
10050,Micky van de Ven
10120,Conor Bradley
10126,James McAtee
10140,Hugo Bueno
10184,Archie Gray
10216,Lewis Hall
10291,Vitalii Mykolenko
10292,Nathan Patterson
10293,Toti
10348,Omari Hutchinson
10405,Josh Dasilva
10527,Carlos Baleba
10542,Jamie Bynoe-Gittens
10552,Alejandro Garnacho
10564,Leny Yoro
10586,Tyler Dibling
10696,Noussair Mazraoui
10697,Ryan Gravenberch
10715,João Palhinha
10717,Rodrigo Muniz
10721,Sepp van den Berg
10741,Marcus Tavernier
10744,Ryan Christie
10746,Jaidon Anthony
10747,James Hill
10751,Brenden Aaronson
10756,Joe Worrall
10760,Brennan Johnson
10764,Djed Spence
10770,Soungoutou Magassa
10802,Lisandro Martínez
10806,Kaoru Mitoma
10807,Jan Paul van Hecke
10809,Keane Lewis-Potter
10822,Wilson Odobert
10847,Rico Lewis
10856,Emmanuel Agbadou
10864,Marcos Senesi
10945,Santiago Bueno
10948,Valentín Castellanos
11000,Matheus Nunes
11003,Ryan Yates
11070,Jørgen Strand Larsen
11132,Ethan Nwaneri
11155,Wilfried Gnonto
11167,Chadi Riad
11174,Kobbie Mainoo
11231,Ben Doak
11243,Bashir Humphreys
11253,Mamadou Sarr
11269,Jack Hinshelwood
11281,Michael Kayode
11296,Cody Gakpo
11297,Carlos Alcaraz
11310,Brajan Gruda
11331,Merlin Röhl
11356,Enzo Fernández
11357,Noni Madueke
11362,Facundo Buonanotte
11363,Antoine Semenyo
11384,João Gomes
11385,Yasin Ayari
11386,Lewis Miley
11461,Romaine Mundle
11504,Eli Junior Kroupi
11592,Nico O&#039;Reilly
11633,Marc Guiu
11701,Zeki Amdouni
11704,Hjalmar Ekdal
11707,Jurriën Timber
11709,Milos Kerkez
11710,Simon Adingra
11711,Bart Verbruggen
11728,Calvin Bassey
11735,Sávio
11763,Abduqodir Khusanov
11766,Manuel Ugarte
11772,Yehor Yarmolyuk
11807,Ian Maatsen
11808,Andrey Santos
11824,Lucas Pires
11903,Oscar Bobb
11936,Lorenzo Lucca
11944,Patrick Dorgu
11965,Tijjani Reijnders
11966,Noah Okafor
11974,Benjamin Sesko
12014,Jake O&#039;Brien
12027,Mohammed Kudus
12032,Djordje Petrovic
12113,Jackson Tchatchoua
12123,Murillo
12149,Alex Scott
12168,Alejandro Jiménez
12203,Treymaurice Nyoni
12272,Myles Lewis-Skelly
12358,Oliver Scarles
12359,Callum Marshall
12408,Daniel Muñoz
12409,Adam Wharton
12410,Joshua King
12412,Morgan Rogers
12535,Josh Acheampong
12573,Tyrique George
12721,Ladislav Krejcí
12726,Christantus Uche
12756,Rodrigo Gomes
12757,Harrison Armstrong
12758,Mats Wieffer
12759,Yankuba Minteh
12905,Nicolò Savona
12912,Lucas Bergvall
12916,Thierno Barry
12948,Mateus Fernandes
12963,Evanilson
13022,André
13026,Luis Guilherme
13038,Justin Devenny
13064,Lutsharel Geertruida
13066,Ferdi Kadioglu
13068,Morato
13080,Ayden Heaven
13091,Jaydee Canvot
13150,Jack Fletcher
13156,Pedro Lima
13200,Fernando López
13206,Matt O&#039;Riley
13220,Tom Edozie
13222,Thiago
13247,Ezra Mayers
13298,Max Alleyne
13364,Diego Gómez
13484,Mateus Mané
13532,Sean Neave
13692,Rio Ngumoha
13711,Maxim De Cuyper
13713,Trai Hume
13715,Dan Ballard
13716,Noah Sadiki
13717,Chemsdine Talbi
13718,Eliezer Mayenda
13719,Chris Rigg
13723,El Hadji Malick Diouf
13724,Freddie Potts
13726,Oliver Sonne
13727,Quilindschy Hartman
13728,Josh Laurent
13729,Zian Flemming
13730,Marcus Edwards
13740,David Møller Wolfe
13741,Jhon Arias
13775,Estêvão
13776,Jorrel Hato
13777,Rio Cardines
13778,Igor Jesus
13779,Jair
13834,Ao Tanaka
13835,Joël Piroe
13872,Max Dowman
14027,Veljko Milosavljevic
14028,Stefanos Tzimas
14029,Tom Watson
14030,Kevin
14099,Luke O&#039;Nien
14118,Charalampos Kostoulas
14193,George Hemmings
14198,Shea Lacey
14217,Romelle Donovan
14219,Mohamadou Kanté
14290,Pablo
14374,Alex Tóth
14395,Rayan
14410,Souza
14424,Nilson Angulo
14446,Alysson Edward
14584,Jesse Derry
