whoscored_match_id,season,match_date,attendance,competition
1903223,2025/26,2025-11-09,30708.0,Premier League
1903224,2025/26,2025-11-08,46799.0,Premier League
1903225,2025/26,2025-11-08,61210.0,Premier League
1903226,2025/26,2025-11-08,62449.0,Premier League
1903227,2025/26,2025-11-22,11216.0,Premier League
1903228,2025/26,2025-11-23,60345.0,Premier League
1903229,2025/26,2025-11-22,31358.0,Premier League
1903230,2025/26,2025-11-22,21499.0,Premier League
1903231,2025/26,2025-11-22,27560.0,Premier League
1903232,2025/26,2025-11-23,36819.0,Premier League
1903233,2025/26,2025-11-22,60419.0,Premier League
1903234,2025/26,2025-11-24,74158.0,Premier League
1903235,2025/26,2025-11-22,52181.0,Premier League
1903236,2025/26,2025-11-22,29976.0,Premier League
1903237,2025/26,2025-11-30,42139.0,Premier League
1903238,2025/26,2025-11-29,17176.0,Premier League
1903239,2025/26,2025-11-30,39820.0,Premier League
1903240,2025/26,2025-11-30,25189.0,Premier League
1903241,2025/26,2025-11-29,52244.0,Premier League
1903242,2025/26,2025-11-29,52483.0,Premier League
1903243,2025/26,2025-11-30,30522.0,Premier League
1903244,2025/26,2025-11-29,46973.0,Premier League
1903245,2025/26,2025-11-29,60546.0,Premier League
1903246,2025/26,2025-11-30,62469.0,Premier League
1903247,2025/26,2025-12-02,11161.0,Premier League
1903248,2025/26,2025-12-03,60110.0,Premier League
1903249,2025/26,2025-12-03,31180.0,Premier League
1903250,2025/26,2025-12-03,19365.0,Premier League
1903251,2025/26,2025-12-02,26700.0,Premier League
1903252,2025/26,2025-12-03,36767.0,Premier League
1903253,2025/26,2025-12-03,60414.0,Premier League
1903254,2025/26,2025-12-04,73938.0,Premier League
1903255,2025/26,2025-12-02,52007.0,Premier League
1903256,2025/26,2025-12-03,28646.0,Premier League
1903257,2025/26,2025-12-06,11240.0,Premier League
1903258,2025/26,2025-12-06,42888.0,Premier League
1903259,2025/26,2026-01-04,51979.0,Premier League
1903260,2025/26,2026-01-24,62456.0,Premier League
1903261,2025/26,2026-01-04,60877.0,Premier League
1903262,2025/26,2026-02-01,41415.0,Premier League
1903263,2025/26,2026-01-03,29874.0,Premier League
1903264,2025/26,2026-01-31,31419.0,Premier League
1903265,2025/26,2026-01-07,11212.0,Premier League
1903266,2025/26,2026-01-31,39430.0,Premier League
1903267,2025/26,2026-01-08,60258.0,Premier League
1903268,2025/26,2026-01-31,36858.0,Premier League
1903269,2025/26,2026-01-07,17016.0,Premier League
1903270,2025/26,2026-01-31,60416.0,Premier League
1903271,2025/26,2026-01-07,21047.0,Premier League
1903272,2025/26,2026-02-01,73932.0,Premier League
1903273,2025/26,2026-02-01,30334.0,Premier League
1903274,2025/26,2026-01-07,24841.0,Premier League
1903275,2025/26,2026-02-02,46370.0,Premier League
1903276,2025/26,2026-01-07,,Premier League
1903277,2025/26,2026-02-01,61337.0,Premier League
1903278,2025/26,2026-01-31,30161.0,Premier League
1903279,2025/26,2026-01-07,,Premier League
1903280,2025/26,2026-02-07,11248.0,Premier League
1903281,2025/26,2025-12-20,52513.0,Premier League
1903282,2025/26,2026-01-07,51728.0,Premier League
1903283,2025/26,2026-02-07,60312.0,Premier League
1903284,2025/26,2025-12-22,27136.0,Premier League
1903285,2025/26,2026-01-07,52176.0,Premier League
1903286,2025/26,2026-02-08,31179.0,Premier League
1903287,2025/26,2025-12-20,36334.0,Premier League
1903288,2025/26,2026-01-06,62429.0,Premier League
1903289,2025/26,2026-02-07,21273.0,Premier League
1903290,2025/26,2025-12-20,52454.0,Premier League
1903291,2025/26,2026-01-18,42770.0,Premier League
1903292,2025/26,2026-02-07,27155.0,Premier League
1903293,2025/26,2025-12-20,52226.0,Premier League
1903294,2025/26,2026-01-19,30172.0,Premier League
1903295,2025/26,2026-02-06,36835.0,Premier League
1903296,2025/26,2025-12-20,61138.0,Premier League
1903297,2025/26,2026-01-17,39704.0,Premier League
1903298,2025/26,2026-02-08,60336.0,Premier League
1903299,2025/26,2025-12-20,27662.0,Premier League
1903300,2025/26,2026-01-17,36300.0,Premier League
1903301,2025/26,2026-02-07,73985.0,Premier League
1903302,2025/26,2025-12-27,60209.0,Premier League
1903303,2025/26,2026-01-17,60431.0,Premier League
1903304,2025/26,2026-01-17,74004.0,Premier League
1903305,2025/26,2025-12-27,17152.0,Premier League
1903306,2025/26,2026-02-07,52032.0,Premier League
1903307,2025/26,2026-01-17,30729.0,Premier League
1903308,2025/26,2025-12-27,21637.0,Premier League
1903309,2025/26,2026-02-07,29762.0,Premier League
1903310,2025/26,2026-01-17,47257.0,Premier League
1903311,2025/26,2025-12-27,39765.0,Premier League
1903312,2025/26,2026-02-11,39495.0,Premier League
1903313,2025/26,2026-01-17,60857.0,Premier League
1903314,2025/26,2025-12-28,25186.0,Premier League
1903315,2025/26,2026-02-12,17224.0,Premier League
1903316,2025/26,2025-12-27,60466.0,Premier League
1903317,2025/26,2026-01-18,29751.0,Premier League
1903318,2025/26,2026-02-10,39253.0,Premier League
1903319,2025/26,2025-12-26,73996.0,Premier League
1903320,2025/26,2026-01-24,11260.0,Premier League
1903321,2025/26,2026-02-11,,Premier League
1903322,2025/26,2026-01-25,60296.0,Premier League
1903323,2025/26,2025-12-27,30778.0,Premier League
1903324,2025/26,2026-02-10,50196.0,Premier League
1903325,2025/26,2026-01-25,17134.0,Premier League
1903326,2025/26,2025-12-28,46675.0,Premier League
1903327,2025/26,2026-02-11,50717.0,Premier League
1903328,2025/26,2026-01-24,21618.0,Premier League
1903329,2025/26,2026-02-11,29921.0,Premier League
1903330,2025/26,2025-12-27,62464.0,Premier League
1903331,2025/26,2026-01-25,25163.0,Premier League
1903332,2025/26,2026-02-11,,Premier League
1903333,2025/26,2025-12-30,60279.0,Premier League
1903334,2025/26,2026-01-26,51979.0,Premier League
1903335,2025/26,2026-02-10,59773.0,Premier League
1903336,2025/26,2026-01-01,17141.0,Premier League
1903337,2025/26,2026-01-24,27239.0,Premier League
1903338,2025/26,2026-02-10,62473.0,Premier League
1903339,2025/26,2025-12-30,21020.0,Premier League
1903340,2025/26,2026-01-24,52469.0,Premier League
1903341,2025/26,2026-02-21,43048.0,Premier League
1903342,2025/26,2025-12-30,39622.0,Premier League
1903343,2025/26,2026-01-25,52134.0,Premier League
1903344,2025/26,2026-02-21,17163.0,Premier League
1903345,2025/26,2026-01-01,25111.0,Premier League
1903346,2025/26,2026-04-13,74018.0,Premier League
1903347,2025/26,2026-02-21,39603.0,Premier League
1903348,2025/26,2026-01-01,60343.0,Premier League
1903349,2025/26,2026-04-12,30591.0,Premier League
1903350,2025/26,2026-05-24,21057.0,Premier League
1903351,2025/26,2025-12-30,73941.0,Premier League
1903352,2025/26,2026-04-12,47010.0,Premier League
1903353,2025/26,2026-05-24,,Premier League
1903354,2025/26,2025-12-30,30617.0,Premier League
1903355,2025/26,2026-04-10,62457.0,Premier League
1903356,2025/26,2026-05-24,27442.0,Premier League
1903357,2025/26,2026-01-01,46920.0,Premier League
1903358,2025/26,2026-04-19,42599.0,Premier League
1903359,2025/26,2026-05-24,60325.0,Premier League
1903360,2025/26,2025-12-30,62438.0,Premier League
1903361,2025/26,2026-05-24,60332.0,Premier League
1903362,2025/26,2026-04-18,17171.0,Premier League
1903363,2025/26,2026-01-03,11240.0,Premier League
1903364,2025/26,2026-05-24,30741.0,Premier League
1903365,2025/26,2026-04-18,39733.0,Premier League
1903366,2025/26,2026-01-03,43039.0,Premier League
1903367,2025/26,2026-05-24,,Premier League
1903368,2025/26,2026-04-20,24974.0,Premier League
1903369,2025/26,2026-01-03,31373.0,Premier League
1903370,2025/26,2026-05-24,61876.0,Premier League
1903371,2025/26,2026-01-04,52514.0,Premier League
1903372,2025/26,2026-04-19,52585.0,Premier League
1903373,2025/26,2026-05-24,62471.0,Premier League
1903374,2025/26,2026-01-04,27547.0,Premier League
1903375,2025/26,2026-01-04,36909.0,Premier League
1903376,2025/26,2026-01-04,52503.0,Premier League
1903377,2025/26,2026-04-18,36840.0,Premier League
1903378,2025/26,2026-04-19,52523.0,Premier League
1903379,2025/26,2026-04-18,52109.0,Premier League
1903380,2025/26,2026-02-22,24547.0,Premier League
1903381,2025/26,2026-04-19,29458.0,Premier League
1903382,2025/26,2026-04-18,61167.0,Premier League
1903383,2025/26,2026-02-23,52326.0,Premier League
1903384,2025/26,2026-04-22,11226.0,Premier League
1903385,2025/26,2026-02-21,52187.0,Premier League
1903386,2025/26,2026-02-22,30737.0,Premier League
1903387,2025/26,2026-04-25,60204.0,Premier League
1903388,2025/26,2026-04-21,31220.0,Premier League
1903389,2025/26,2026-04-22,21259.0,Premier League
1903390,2025/26,2026-02-22,47222.0,Premier League
1903391,2025/26,2026-04-25,27606.0,Premier League
1903392,2025/26,2026-04-25,60314.0,Premier League
1903393,2025/26,2026-02-22,61439.0,Premier League
1903394,2025/26,2026-02-21,62437.0,Premier League
1903395,2025/26,2026-04-27,73773.0,Premier League
1903396,2025/26,2026-02-28,11240.0,Premier League
1903397,2025/26,2026-04-24,47047.0,Premier League
1903398,2025/26,2026-04-25,62454.0,Premier League
1903399,2025/26,2026-03-01,60296.0,Premier League
1903400,2025/26,2026-03-01,31427.0,Premier League
1903401,2025/26,2026-04-25,31253.0,Premier League
1903402,2025/26,2026-02-28,20069.0,Premier League
1903403,2025/26,2026-05-03,11122.0,Premier League
1903404,2025/26,2026-03-01,27439.0,Premier League
1903405,2025/26,2026-05-02,60196.0,Premier League
1903406,2025/26,2026-02-28,36838.0,Premier League
1903407,2025/26,2026-05-03,42767.0,Premier League
1903408,2025/26,2026-02-28,60425.0,Premier League
1903409,2025/26,2026-05-02,17194.0,Premier League
1903410,2025/26,2026-03-01,73934.0,Premier League
1903411,2025/26,2026-05-04,39605.0,Premier League
1903412,2025/26,2026-02-28,52514.0,Premier League
1903413,2025/26,2026-05-04,52257.0,Premier League
1903414,2025/26,2026-02-27,30197.0,Premier League
1903415,2025/26,2026-05-01,36265.0,Premier League
1903416,2025/26,2026-03-03,11108.0,Premier League
1903417,2025/26,2026-05-03,74027.0,Premier League
1903418,2025/26,2026-03-04,42084.0,Premier League
1903419,2025/26,2026-05-02,52099.0,Premier League
1903420,2025/26,2026-05-02,29632.0,Premier League
1903421,2025/26,2026-03-04,31575.0,Premier League
1903422,2025/26,2026-05-09,31587.0,Premier League
1903423,2025/26,2026-03-03,51959.0,Premier League
1903424,2025/26,2026-05-10,21196.0,Premier League
1903425,2025/26,2026-03-04,27191.0,Premier League
1903426,2025/26,2026-05-10,24958.0,Premier League
1903427,2025/26,2026-03-03,36713.0,Premier League
1903428,2025/26,2026-05-09,27626.0,Premier League
1903429,2025/26,2026-03-04,51965.0,Premier League
1903430,2025/26,2026-05-09,60429.0,Premier League
1903431,2025/26,2026-03-04,52184.0,Premier League
1903432,2025/26,2026-05-09,52489.0,Premier League
1903433,2025/26,2026-03-05,60213.0,Premier League
1903434,2025/26,2026-05-10,30691.0,Premier League
1903435,2025/26,2026-03-03,30247.0,Premier League
1903436,2025/26,2026-05-09,47233.0,Premier League
1903437,2025/26,2026-03-14,60176.0,Premier League
1903438,2025/26,2026-05-11,61048.0,Premier League
1903439,2025/26,2026-03-16,17155.0,Premier League
1903440,2025/26,2026-05-10,60429.0,Premier League
1903441,2025/26,2026-03-14,20281.0,Premier League
1903442,2025/26,2026-05-19,11218.0,Premier League
1903443,2025/26,2026-03-14,39587.0,Premier League
1903444,2025/26,2026-05-18,60274.0,Premier League
1903445,2025/26,2026-03-15,25155.0,Premier League
1903446,2025/26,2026-05-15,43033.0,Premier League
1903447,2025/26,2026-03-15,60386.0,Premier League
1903448,2025/26,2026-05-17,17213.0,Premier League
1903449,2025/26,2026-05-19,39463.0,Premier League
1903450,2025/26,2026-03-15,73997.0,Premier League
1903451,2025/26,2026-05-17,52590.0,Premier League
1903452,2025/26,2026-03-15,30013.0,Premier League
1903453,2025/26,2026-05-17,36880.0,Premier League
1903454,2025/26,2026-05-17,74015.0,Premier League
1903455,2025/26,2026-05-17,52206.0,Premier League
1903456,2025/26,2026-03-14,47197.0,Premier League
1903457,2025/26,2026-05-17,28709.0,Premier League
1903458,2025/26,2026-05-24,31729.0,Premier League
1903459,2025/26,2026-03-14,62459.0,Premier League
1903460,2025/26,2026-03-20,11250.0,Premier League
1903461,2025/26,2026-03-22,42130.0,Premier League
1903462,2025/26,2026-03-21,31680.0,Premier League
1903463,2025/26,2026-03-21,52547.0,Premier League
1903464,2025/26,2026-03-21,27323.0,Premier League
1903465,2025/26,2026-03-21,36386.0,Premier League
1903466,2025/26,2026-05-13,,Premier League
1903467,2025/26,2026-03-22,52253.0,Premier League
1903468,2025/26,2026-03-22,61519.0,Premier League
1903469,2025/26,2026-02-18,29843.0,Premier League
1903470,2025/26,2026-04-11,60210.0,Premier League
1903471,2025/26,2026-04-11,17220.0,Premier League
1903472,2025/26,2026-04-11,20408.0,Premier League
1903473,2025/26,2026-04-12,39552.0,Premier League
1903474,2025/26,2026-04-12,25141.0,Premier League
1903475,2025/26,2026-04-11,60401.0,Premier League
1903476,2025/26,2025-12-07,31293.0,Premier League
1903477,2025/26,2025-12-06,52501.0,Premier League
1903478,2025/26,2025-12-07,27283.0,Premier League
1903479,2025/26,2025-12-06,36842.0,Premier League
1903480,2025/26,2025-12-06,52436.0,Premier League
1903481,2025/26,2025-12-06,52041.0,Premier League
1903482,2025/26,2025-12-06,60759.0,Premier League
1903483,2025/26,2025-12-08,30338.0,Premier League
1903484,2025/26,2025-12-13,60242.0,Premier League
1903485,2025/26,2025-12-14,17159.0,Premier League
1903486,2025/26,2025-12-13,19739.0,Premier League
1903487,2025/26,2025-12-13,39552.0,Premier League
1903488,2025/26,2025-12-14,25166.0,Premier League
1903489,2025/26,2025-12-13,60429.0,Premier League
1903490,2025/26,2025-12-15,73951.0,Premier League
1903491,2025/26,2025-12-14,30579.0,Premier League
1903492,2025/26,2025-12-14,47158.0,Premier League
1903493,2025/26,2025-12-14,62447.0,Premier League
1903494,2025/26,2025-12-20,10762.0,Premier League
1903495,2025/26,2025-12-21,43157.0,Premier League
1903496,2025/26,2025-12-20,31426.0,Premier League
