whoscored_player_id,name,player_name,whoscored_team_id,team_name,position,shirt_no,competition,season,source
386634,Amad Diallo,Amad Diallo,32,Man Utd,Sub,16,Premier League,2025/26,whoscored
383956,Joshua Zirkzee,Joshua Zirkzee,32,Man Utd,Sub,11,Premier League,2025/26,whoscored
455860,Tyler Fredricson,Tyler Fredricson,32,Man Utd,Sub,33,Premier League,2025/26,whoscored
460260,Kobbie Mainoo,Kobbie Mainoo,32,Man Utd,Sub,37,Premier League,2025/26,whoscored
517341,Ayden Heaven,Ayden Heaven,32,Man Utd,Sub,26,Premier League,2025/26,whoscored
17708,Tom Heaton,Tom Heaton,32,Man Utd,Sub,22,Premier League,2025/26,whoscored
276366,David Raya,David Raya,13,Arsenal,GK,1,Premier League,2025/26,whoscored
322036,Ben White,Ben White,13,Arsenal,DR,4,Premier League,2025/26,whoscored
334087,Gabriel Magalhães,Gabriel Magalhães,13,Arsenal,DC,6,Premier League,2025/26,whoscored
361822,William Saliba,William Saliba,13,Arsenal,DC,2,Premier League,2025/26,whoscored
386519,Riccardo Calafiori,Riccardo Calafiori,13,Arsenal,DL,33,Premier League,2025/26,whoscored
247454,Martin Ødegaard,Martin Ødegaard,13,Arsenal,MC,8,Premier League,2025/26,whoscored
372424,Martín Zubimendi,Martín Zubimendi,13,Arsenal,MC,36,Premier League,2025/26,whoscored
332325,Declan Rice,Declan Rice,13,Arsenal,MC,41,Premier League,2025/26,whoscored
367185,Bukayo Saka,Bukayo Saka,13,Arsenal,FWR,7,Premier League,2025/26,whoscored
362815,Viktor Gyökeres,Viktor Gyökeres,13,Arsenal,FW,14,Premier League,2025/26,whoscored
380706,Gabriel Martinelli,Gabriel Martinelli,13,Arsenal,FWL,11,Premier League,2025/26,whoscored
326413,Kai Havertz,Kai Havertz,13,Arsenal,Sub,29,Premier League,2025/26,whoscored
388650,Jurriën Timber,Jurriën Timber,13,Arsenal,Sub,12,Premier League,2025/26,whoscored
238916,Mikel Merino,Mikel Merino,13,Arsenal,Sub,23,Premier League,2025/26,whoscored
389935,Noni Madueke,Noni Madueke,13,Arsenal,Sub,20,Premier League,2025/26,whoscored
467918,Myles Lewis-Skelly,Myles Lewis-Skelly,13,Arsenal,Sub,49,Premier League,2025/26,whoscored
