team_id_tm,team_slug,season,stadium_name,capacity,seats_total,seats_covered,seats_vip,vip_boxes,seats_standing,inaugurated_year,built_year,refurbished_year,owner,operator,address,city,country,construction_cost,surface,architect,tm_url,previous_names_raw,id_transfermarkt_stadium,pitch_length_m,pitch_width_m,naming_rights,naming_rights_until,has_pitch_heating,has_athletics_track,capacity_intl
11,fc-arsenal,2025,Emirates Stadium,60704,60704,,,152,,,2006,,Arsenal Holdings plc,,Emirates Stadium,,,"600,00 mill. €",Césped híbrido,,https://www.transfermarkt.es/fc-arsenal/stadion/verein/11/saison_id/2025,,,105,68,Emirates,,True,False,
29,fc-everton,2025,Hill Dickinson Stadium,52769,,,,,,,2025,,,,Hill Dickinson Stadium,,,,Césped híbrido,,https://www.transfermarkt.es/fc-everton/stadion/verein/29/saison_id/2025,,,,,,,False,False,
31,fc-liverpool,2025,Anfield,61276,61276,,,160,,,,,Liverpool Football Club,,Anfield,,,,Césped híbrido,,https://www.transfermarkt.es/fc-liverpool/stadion/verein/31/saison_id/2025,,,101,68,,,True,False,
148,tottenham-hotspur,2025,Tottenham Hotspur Stadium,62850,62850,,,,,,2019,,Tottenham Hotspur,,Tottenham Hotspur Stadium,,,,Césped híbrido,,https://www.transfermarkt.es/tottenham-hotspur/stadion/verein/148/saison_id/2025,,,105,68,,,True,False,
281,manchester-city,2025,Etihad Stadium,61000,61000,,,,,,2002,,Manchester City Council,,Etihad Stadium,,,"119,00 mill. €",Césped híbrido,,https://www.transfermarkt.es/manchester-city/stadion/verein/281/saison_id/2025,City of Manchester Stadium,,105,68,Etihad,,True,False,
289,afc-sunderland,2025,Stadium of Light,48707,48707,,,,,,1997,,Sunderland Association Football Club,,Stadium of Light,,,"25,50 mill. €",Césped natural,,https://www.transfermarkt.es/afc-sunderland/stadion/verein/289/saison_id/2025,,,105,68,,,True,False,
379,west-ham-united,2025,London Stadium,62500,62500,,,,,,2011,,Greater London Authority,,London Stadium,,,,Césped híbrido,,https://www.transfermarkt.es/west-ham-united/stadion/verein/379/saison_id/2025,London 2012 Olympic Stadium,,105,68,,,False,False,
399,leeds-united,2025,Elland Road,37890,37890,,,,,,,,Greenfield Investment Pte Ltd,,Elland Road,,,,Césped híbrido,,https://www.transfermarkt.es/leeds-united/stadion/verein/399/saison_id/2025,Old Peacock Ground,,107,69,,,True,False,
405,aston-villa,2025,Villa Park,43205,43205,,,,,,,,Aston Villa Football Club,,Villa Park,,,,Césped híbrido,,https://www.transfermarkt.es/aston-villa/stadion/verein/405/saison_id/2025,,,115,72,,,True,False,
543,wolverhampton-wanderers,2025,Molineux Stadium,31750,31750,,,,,,,,Wolverhampton City Council,,Molineux Stadium,,,,Césped híbrido,,https://www.transfermarkt.es/wolverhampton-wanderers/stadion/verein/543/saison_id/2025,,,105,68,,,False,False,
631,fc-chelsea,2025,Stamford Bridge,41631,41631,,,,,,,,Chelsea Pitch Owners plc,,Stamford Bridge,,,,Césped natural,,https://www.transfermarkt.es/fc-chelsea/stadion/verein/631/saison_id/2025,,,103,67,,,True,False,
703,nottingham-forest,2025,The City Ground,30404,30404,,,,,,,,Nottingham Forest Football Club,,The City Ground,,,,Césped natural,,https://www.transfermarkt.es/nottingham-forest/stadion/verein/703/saison_id/2025,,,105,71,,,True,False,
762,newcastle-united,2025,St James' Park,52258,52258,,,,,,,,Newcastle United Football Club,,St James' Park,,,,Césped natural,,https://www.transfermarkt.es/newcastle-united/stadion/verein/762/saison_id/2025,,,110,73,,,False,False,
873,crystal-palace,2025,Selhurst Park,25486,25486,,,,,,1924,,Crystal Palace Football Club,,Selhurst Park,,,,Césped híbrido,,https://www.transfermarkt.es/crystal-palace/stadion/verein/873/saison_id/2025,,,101,68,,,False,False,
931,fc-fulham,2025,Craven Cottage,29589,29589,,,,,,,,Fulham Football Club,,Craven Cottage,,,,Césped natural,,https://www.transfermarkt.es/fc-fulham/stadion/verein/931/saison_id/2025,,,105,68,,,True,False,
985,manchester-united,2025,Old Trafford,74879,74879,,,,,,1910,,Manchester United Football Club,,Old Trafford,,,,Césped híbrido,,https://www.transfermarkt.es/manchester-united/stadion/verein/985/saison_id/2025,,,105,68,,,True,False,
989,afc-bournemouth,2025,Vitality Stadium,11307,11307,,,,,,1910,,Black Knight Stadium Limited,,Vitality Stadium,,,,Césped natural,,https://www.transfermarkt.es/afc-bournemouth/stadion/verein/989/saison_id/2025,"Dean Court, Goldsands Stadium, Seward Stadium, Fitness First Stadium",,105,68,,,True,False,
1132,fc-burnley,2025,Turf Moor,21994,21994,,,,,,,,Turf Moor Properties Ltd,,Turf Moor,,,,Césped híbrido,,https://www.transfermarkt.es/fc-burnley/stadion/verein/1132/saison_id/2025,,,105,68,,,False,False,
1148,fc-brentford,2025,Gtech Community Stadium,17250,,,,,,,2020,,,,Gtech Community Stadium,,,,Césped híbrido,,https://www.transfermarkt.es/fc-brentford/stadion/verein/1148/saison_id/2025,Brentford Community Stadium (-06/2022),,105,68,,,True,False,
1237,brighton-amp-hove-albion,2025,AMEX Stadium,31876,31876,,,,,,2011,,The Community Stadium Limited,,AMEX Stadium,,,"121,00 mill. €",Césped natural,,https://www.transfermarkt.es/brighton-amp-hove-albion/stadion/verein/1237/saison_id/2025,Falmer Stadium,,105,69,,,False,False,
