id_sofascore,canonical_name,team_id_ss,team_name,competition,season,source
6562.0,João Moutinho,,,,,
19191.0,Bibars Natcho,,,,,
19356.0,Iago Aspas,,,,,
21267.0,Dávid Gróf,,,,,
21927.0,Marko Arnautović,,,,,
26025.0,Robin Olsen,,,,,
30031.0,Miguel Vítor,,,,,
33541.0,Thiago Silva,,,,,
35656.0,Etrit Berisha,,,,,
36316.0,Petteri Pennanen,,,,,
39070.0,Olivier Giroud,,,,,
39573.0,Mert Günok,,,,,
39661.0,Taison,,,,,
41021.0,Valentin Roberge,,,,,
41069.0,Aleksandar Pešić,,,,,
41116.0,Andriy Yarmolenko,,,,,
43136.0,Guram Kashia,,,,,
44417.0,Denis Alibec,,,,,
44478.0,Valentin Crețu,,,,,
44679.0,Duje Čop,,,,,
44848.0,Jens Stryger Larsen,,,,,
44906.0,Łukasz Skorupski,,,,,
45925.0,Stephan El Shaarawy,,,,,
46900.0,Nick Viergever,,,,,
49639.0,Nicolas Höfler,,,,,
50302.0,Miroslav Stevanović,,,,,
50480.0,Chris Wood,,,,,
51665.0,Benjamin André,,,,,
53974.0,Roman Procházka,,,,,
54429.0,Artur Jędrzejczyk,,,,,
54979.0,Besart Ibraimi,,,,,
55123.0,Pontus Jansson,,,,,
57291.0,Hovhannes Hambardzumyan,,,,,
58176.0,Michal Ďuriš,,,,,
58488.0,Matěj Vydra,,,,,
63896.0,Nemanja Bilbija,,,,,
65953.0,Xherdan Shaqiri,,,,,
66758.0,Guðmundur Þórarinsson,,,,,
67308.0,Loris Benito,,,,,
67769.0,Ricardo Rodríguez,,,,,
68755.0,Michal Frydrych,,,,,
69367.0,Filip Đuričić,,,,,
69408.0,Marcos Alonso,,,,,
70143.0,Mattia Bottani,,,,,
73624.0,Damir Muminović,,,,,
81048.0,József Windecker,,,,,
81239.0,Georgi Kostadinov,,,,,
81859.0,Anders Christiansen,,,,,
87087.0,Róbert Mak,,,,,
88431.0,Nano,,,,,
94234.0,Simon Sluga,,,,,
94286.0,Thorgan Hazard,,,,,
94681.0,Ivajlo Chochev,,,,,
94815.0,Daniel Graovac,,,,,
95417.0,Alon Turgeman,,,,,
95666.0,Ante Majstorović,,,,,
96331.0,Bogdan Vătăjelu,,,,,
