understat_match_id,understat_player_id,understat_team,player_name,minute,x,y,xg,result,shot_type,situation,side,last_action,player_assisted,season,source
29159,12322,Villarreal,Tajon Buchanan,58,97.23,29.65,0.1299,Off T,Right Foot,Open Play,h,Cross,Nicolas Pepe,2025,understat
29159,8696,Villarreal,Pape Alassane Gueye,60,76.33,25.64,0.0242,Off T,Left Foot,Open Play,h,Pass,Santiago Mouriño,2025,understat
29159,5656,Villarreal,Nicolas Pepe,79,76.23,23.73,0.0156,Saved,Left Foot,Open Play,h,Pass,Daniel Parejo,2025,understat
29159,2521,Villarreal,Alfonso,91,89.25,44.0,0.0743,Blocked,Right Foot,Open Play,h,Pass,Yeremi Pino,2025,understat
29159,813,Real Oviedo,Salomón Rondón,13,92.92,34.0,0.7433,Saved,Right Foot,Penalty,a,Standard,,2025,understat
29159,813,Real Oviedo,Salomón Rondón,18,99.96,39.51,0.044,Off T,Head,From Corner,a,Aerial,Alberto Reina,2025,understat
29159,13701,Real Oviedo,Ilyas Chaira,24,78.75,44.88,0.0165,Saved,Left Foot,Open Play,a,BallRecovery,Kwasi Sibo,2025,understat
29159,13701,Real Oviedo,Ilyas Chaira,53,82.74,44.27,0.0197,Saved,Right Foot,Open Play,a,None,,2025,understat
29159,13705,Real Oviedo,Federico Viñas,94,96.18,49.98,0.0323,Saved,Left Foot,Open Play,a,None,,2025,understat
29160,9002,Mallorca,Vedat Muriqi,20,93.98,30.33,0.4558,Saved,Left Foot,Open Play,h,Pass,Mateu Morey,2025,understat
29160,9970,Mallorca,Antonio Sánchez,49,91.14,37.67,0.0372,Off T,Head,From Corner,h,None,,2025,understat
29160,2584,Mallorca,Raíllo,56,91.03,36.72,0.0128,Off T,Head,Set Piece,h,Aerial,Sergi Darder,2025,understat
29160,7841,Mallorca,Dani Rodríguez,81,79.59,37.67,0.0235,Blocked,Right Foot,Open Play,h,Pass,Omar Mascarell,2025,understat
29160,8026,Barcelona,Raphinha,6,99.65,36.86,0.5028,Goal,Head,Open Play,a,Cross,Lamine Yamal,2025,understat
29160,11527,Barcelona,Lamine Yamal,22,81.69,22.85,0.0291,Blocked,Left Foot,Open Play,a,Pass,Pedri,2025,understat
29160,6441,Barcelona,Ferrán Torres,22,84.95,30.53,0.0648,Goal,Right Foot,Open Play,a,None,,2025,understat
29160,11527,Barcelona,Lamine Yamal,34,83.27,20.26,0.071,Off T,Left Foot,Direct Freekick,a,Standard,,2025,understat
29160,6441,Barcelona,Ferrán Torres,45,87.25,33.93,0.0728,Blocked,Left Foot,Open Play,a,None,,2025,understat
29160,11527,Barcelona,Lamine Yamal,46,83.27,23.26,0.0437,Off T,Left Foot,Open Play,a,HeadPass,Eric Garcia,2025,understat
29160,11527,Barcelona,Lamine Yamal,50,84.21,25.57,0.0541,Off T,Left Foot,Open Play,a,BallRecovery,,2025,understat
29160,11527,Barcelona,Lamine Yamal,48,89.46,21.22,0.0612,Off T,Left Foot,Open Play,a,Pass,Raphinha,2025,understat
29160,6441,Barcelona,Ferrán Torres,49,94.92,35.77,0.1439,Blocked,Right Foot,Open Play,a,Pass,Lamine Yamal,2025,understat
29160,8292,Barcelona,Dani Olmo,57,96.28,30.74,0.0483,Saved,Head,Open Play,a,Aerial,,2025,understat
29160,8935,Barcelona,Pedri,57,90.2,36.24,0.1248,Off T,Right Foot,Open Play,a,Pass,Álex Balde,2025,understat
29160,8292,Barcelona,Dani Olmo,57,96.92,32.98,0.1186,Blocked,Left Foot,Open Play,a,Foul,Pedri,2025,understat
29160,8026,Barcelona,Raphinha,58,85.26,32.71,0.0831,Post,Left Foot,Open Play,a,Pass,Ferrán Torres,2025,understat
29160,8292,Barcelona,Dani Olmo,68,94.5,29.04,0.1394,Post,Right Foot,Open Play,a,Pass,Raphinha,2025,understat
29160,11527,Barcelona,Lamine Yamal,69,81.17,20.2,0.0302,Blocked,Left Foot,Open Play,a,Pass,Gavi,2025,understat
29160,8045,Barcelona,Eric Garcia,70,93.35,33.93,0.0225,Saved,Head,Open Play,a,Aerial,Frenkie de Jong,2025,understat
29160,8026,Barcelona,Raphinha,70,89.78,23.32,0.07,Off T,Left Foot,Open Play,a,Pass,Eric Garcia,2025,understat
29160,8292,Barcelona,Dani Olmo,79,85.15,29.65,0.0744,Blocked,Right Foot,Open Play,a,Pass,Marcus Rashford,2025,understat
29160,8292,Barcelona,Dani Olmo,79,78.75,36.24,0.0314,Blocked,Right Foot,From Corner,a,Pass,Pedri,2025,understat
29160,8935,Barcelona,Pedri,83,81.17,34.68,0.0433,Saved,Left Foot,Open Play,a,Pass,Lamine Yamal,2025,understat
29160,8091,Barcelona,Ronald Araújo,84,94.6,45.08,0.0378,Off T,Right Foot,From Corner,a,Chipped,Pedri,2025,understat
29160,11527,Barcelona,Lamine Yamal,87,82.74,24.75,0.043,Saved,Left Foot,Open Play,a,Pass,Eric Garcia,2025,understat
29160,11527,Barcelona,Lamine Yamal,88,82.11,30.67,0.0365,Saved,Left Foot,From Corner,a,Pass,Marcus Rashford,2025,understat
29160,11527,Barcelona,Lamine Yamal,93,85.78,30.53,0.0777,Goal,Left Foot,Open Play,a,Pass,Gavi,2025,understat
29161,6400,Alaves,Antonio Martínez,25,95.34,32.37,0.1191,Off T,Head,Set Piece,h,Cross,Antonio Blanco,2025,understat
29161,6400,Alaves,Antonio Martínez,35,95.34,28.63,0.0934,Blocked,Left Foot,Open Play,h,CornerAwarded,Carlos Vicente,2025,understat
29161,6400,Alaves,Antonio Martínez,35,100.38,35.77,0.4995,Goal,Head,From Corner,h,Cross,Carles Aleñá,2025,understat
29161,5058,Alaves,Carles Aleñá,40,80.01,31.69,0.0319,Off T,Right Foot,Open Play,h,Pass,Antonio Martínez,2025,understat
29161,12294,Alaves,Carlos Vicente,42,93.77,23.53,0.0879,Off T,Left Foot,Open Play,h,Pass,Antonio Martínez,2025,understat
29161,9280,Alaves,Antonio Blanco,47,81.27,42.3,0.015,Off T,Right Foot,From Corner,h,Aerial,,2025,understat
29161,13319,Alaves,Facundo Garcés,49,91.88,44.88,0.0115,Off T,Head,From Corner,h,Aerial,Carles Aleñá,2025,understat
29161,10857,Alaves,Pablo Ibáñez,59,81.17,20.2,0.0132,Off T,Right Foot,From Corner,h,Aerial,,2025,understat
29161,6400,Alaves,Antonio Martínez,69,97.65,32.5,0.0957,Blocked,Right Foot,Open Play,h,None,,2025,understat
29161,5179,Alaves,Jon Guridi,70,96.92,31.28,0.0926,Blocked,Left Foot,Open Play,h,None,,2025,understat
29161,11825,Alaves,Abderrahmane Rebbach,77,82.32,42.64,0.0271,Off T,Right Foot,Open Play,h,HeadPass,Victor Parada,2025,understat
29161,5058,Alaves,Carles Aleñá,80,81.58,31.89,0.0333,Blocked,Left Foot,Open Play,h,Pass,Jonny,2025,understat
29161,5110,Alaves,Mariano,80,94.18,38.28,0.0887,Saved,Right Foot,Open Play,h,Cross,Victor Parada,2025,understat
29161,11825,Alaves,Abderrahmane Rebbach,82,101.22,46.58,0.0484,Saved,Left Foot,Open Play,h,Pass,Victor Parada,2025,understat
29161,10364,Alaves,Nahuel Tenaglia,91,101.95,40.05,0.4658,Goal,Left Foot,Set Piece,h,None,,2025,understat
29161,9275,Levante,Iván Romero,1,93.03,37.94,0.0539,Blocked,Head,From Corner,a,Cross,Oriol Rey,2025,understat
29161,9275,Levante,Iván Romero,14,75.08,35.02,0.0183,Off T,Right Foot,Open Play,a,Pass,Manuel Sánchez,2025,understat
29161,9275,Levante,Iván Romero,34,91.56,23.66,0.0689,Saved,Left Foot,Open Play,a,TakeOn,Jeremy Toljan,2025,understat
29161,8183,Levante,Pablo Martínez,47,80.43,45.7,0.0209,Blocked,Left Foot,Open Play,a,Pass,Iván Romero,2025,understat
29161,8183,Levante,Pablo Martínez,50,76.33,26.66,0.0128,Blocked,Right Foot,Open Play,a,None,,2025,understat
29161,13767,Levante,Roger Brugué,67,91.88,46.17,0.048,Saved,Left Foot,Open Play,a,BallTouch,,2025,understat
29161,257,Levante,Jeremy Toljan,67,99.65,29.92,0.5456,Goal,Right Foot,Open Play,a,Rebound,,2025,understat
29162,7870,Valencia,Luis Rioja,6,95.87,27.68,0.042,Off T,Head,Open Play,h,None,,2025,understat
29162,6637,Valencia,Hugo Duro,18,91.56,36.45,0.0654,Off T,Left Foot,Open Play,h,Cross,José Gayá,2025,understat
29162,5199,Valencia,Raba,18,78.75,25.16,0.0161,Blocked,Left Foot,From Corner,h,None,,2025,understat
29162,10107,Valencia,César Tárrega,18,85.68,34.95,0.0573,Blocked,Right Foot,From Corner,h,Rebound,Hugo Duro,2025,understat
29162,5199,Valencia,Raba,18,83.58,24.75,0.0327,Blocked,Left Foot,From Corner,h,Pass,Javier Guerra,2025,understat
29162,5199,Valencia,Raba,26,78.54,40.8,0.0194,Off T,Right Foot,Open Play,h,BallRecovery,,2025,understat
29162,10322,Valencia,Javier Guerra,55,83.05,21.49,0.0231,Blocked,Right Foot,Open Play,h,Pass,Raba,2025,understat
29162,9694,Valencia,Diego López,56,90.51,36.58,0.2957,Goal,Right Foot,Open Play,h,Chipped,Raba,2025,understat
29162,7870,Valencia,Luis Rioja,60,95.97,16.39,0.0322,Off T,Left Foot,Open Play,h,None,,2025,understat
29162,9694,Valencia,Diego López,63,94.6,32.23,0.1309,Blocked,Right Foot,Open Play,h,Pass,Hugo Duro,2025,understat
