whoscored_team_id,team_name,season,competition,data_source
315,Bordeaux,2021/22,Ligue 1,whoscored
941,Clermont Foot,2021/22,Ligue 1,whoscored
228,Lyon,2021/22,Ligue 1,whoscored
2332,Brest,2021/22,Ligue 1,whoscored
314,Metz,2021/22,Ligue 1,whoscored
607,Lille,2021/22,Ligue 1,whoscored
248,Monaco,2021/22,Ligue 1,whoscored
302,Nantes,2021/22,Ligue 1,whoscored
311,Montpellier,2021/22,Ligue 1,whoscored
249,Marseille,2021/22,Ligue 1,whoscored
613,Nice,2021/22,Ligue 1,whoscored
950,Reims,2021/22,Ligue 1,whoscored
313,Rennes,2021/22,Ligue 1,whoscored
309,Lens,2021/22,Ligue 1,whoscored
145,Saint-Etienne,2021/22,Ligue 1,whoscored
146,Lorient,2021/22,Ligue 1,whoscored
148,Strasbourg,2021/22,Ligue 1,whoscored
614,Angers,2021/22,Ligue 1,whoscored
229,Troyes,2021/22,Ligue 1,whoscored
304,PSG,2021/22,Ligue 1,whoscored
