id_sofascore,match_date,competition,season,home_team_id_ss,away_team_id_ss,home_team_name,away_team_name,home_score,away_score,attendance,data_source
14288864,2026-04-18,Liga Portugal Betclic,Liga Portugal 25/26,36365,3011,Casa Pia,Santa Clara,0.0,0.0,,sofascore
14288866,2026-04-18,Liga Portugal Betclic,Liga Portugal 25/26,3010,3009,Gil Vicente,Vitória SC,0.0,1.0,,sofascore
14288867,2026-04-19,Liga Portugal Betclic,Liga Portugal 25/26,25777,3035,FC Arouca,CF Estrela Amadora,1.0,0.0,,sofascore
14288865,2026-04-19,Liga Portugal Betclic,Liga Portugal 25/26,3001,3006,Sporting CP,Benfica,1.0,2.0,,sofascore
14288869,2026-04-19,Liga Portugal Betclic,Liga Portugal 25/26,2999,49531,Sporting Braga,Famalicão,2.0,2.0,,sofascore
14288868,2026-04-19,Liga Portugal Betclic,Liga Portugal 25/26,3002,38396,FC Porto,Tondela,2.0,0.0,,sofascore
14288861,2026-04-20,Liga Portugal Betclic,Liga Portugal 25/26,3014,4500,Moreirense,Estoril Praia,1.0,0.0,,sofascore
14288828,2026-04-23,Liga Portugal Betclic,Liga Portugal 25/26,36365,2999,Casa Pia,Sporting Braga,0.0,1.0,,sofascore
14288876,2026-04-24,Liga Portugal Betclic,Liga Portugal 25/26,190328,25777,FC Alverca,FC Arouca,2.0,1.0,,sofascore
14288871,2026-04-25,Liga Portugal Betclic,Liga Portugal 25/26,38396,3013,Tondela,CD Nacional,0.0,2.0,,sofascore
14288877,2026-04-25,Liga Portugal Betclic,Liga Portugal 25/26,3006,3014,Benfica,Moreirense,4.0,1.0,,sofascore
14288878,2026-04-25,Liga Portugal Betclic,Liga Portugal 25/26,3009,3036,Vitória SC,Rio Ave,2.0,0.0,,sofascore
14288874,2026-04-26,Liga Portugal Betclic,Liga Portugal 25/26,4500,49531,Estoril Praia,Famalicão,0.0,1.0,,sofascore
14288872,2026-04-26,Liga Portugal Betclic,Liga Portugal 25/26,3011,2999,Santa Clara,Sporting Braga,2.0,1.0,,sofascore
14288875,2026-04-26,Liga Portugal Betclic,Liga Portugal 25/26,3035,3002,CF Estrela Amadora,FC Porto,1.0,2.0,,sofascore
14288873,2026-04-26,Liga Portugal Betclic,Liga Portugal 25/26,483088,3001,AVS - Futebol SAD,Sporting CP,1.0,1.0,,sofascore
14288870,2026-04-27,Liga Portugal Betclic,Liga Portugal 25/26,3010,36365,Gil Vicente,Casa Pia,2.0,1.0,,sofascore
14288821,2026-03-07,Liga Portugal Betclic,Liga Portugal 25/26,2999,3001,Sporting Braga,Sporting CP,2.0,2.0,,sofascore
14288814,2026-03-07,Liga Portugal Betclic,Liga Portugal 25/26,4500,36365,Estoril Praia,Casa Pia,0.0,0.0,,sofascore
14288818,2026-03-08,Liga Portugal Betclic,Liga Portugal 25/26,3035,3010,CF Estrela Amadora,Gil Vicente,2.0,2.0,,sofascore
14288822,2026-03-08,Liga Portugal Betclic,Liga Portugal 25/26,3006,3002,Benfica,FC Porto,2.0,2.0,,sofascore
14288820,2026-03-08,Liga Portugal Betclic,Liga Portugal 25/26,3011,3009,Santa Clara,Vitória SC,2.0,0.0,,sofascore
14288816,2026-03-09,Liga Portugal Betclic,Liga Portugal 25/26,38396,3036,Tondela,Rio Ave,0.0,1.0,,sofascore
14288826,2026-03-14,Liga Portugal Betclic,Liga Portugal 25/26,3009,49531,Vitória SC,Famalicão,1.0,2.0,,sofascore
14288825,2026-03-14,Liga Portugal Betclic,Liga Portugal 25/26,3010,190328,Gil Vicente,FC Alverca,2.0,2.0,,sofascore
14288830,2026-03-14,Liga Portugal Betclic,Liga Portugal 25/26,25777,3006,FC Arouca,Benfica,1.0,2.0,,sofascore
14288823,2026-03-15,Liga Portugal Betclic,Liga Portugal 25/26,3013,4500,CD Nacional,Estoril Praia,0.0,1.0,,sofascore
14288829,2026-03-15,Liga Portugal Betclic,Liga Portugal 25/26,483088,3011,AVS - Futebol SAD,Santa Clara,0.0,1.0,,sofascore
14288831,2026-03-15,Liga Portugal Betclic,Liga Portugal 25/26,3001,38396,Sporting CP,Tondela,,,,sofascore
14288824,2026-03-15,Liga Portugal Betclic,Liga Portugal 25/26,3036,3035,Rio Ave,CF Estrela Amadora,2.0,1.0,,sofascore
14288827,2026-03-15,Liga Portugal Betclic,Liga Portugal 25/26,3002,3014,FC Porto,Moreirense,3.0,0.0,,sofascore
14288833,2026-03-20,Liga Portugal Betclic,Liga Portugal 25/26,3035,36365,CF Estrela Amadora,Casa Pia,4.0,0.0,,sofascore
14288834,2026-03-21,Liga Portugal Betclic,Liga Portugal 25/26,3014,25777,Moreirense,FC Arouca,0.0,1.0,,sofascore
14288837,2026-03-21,Liga Portugal Betclic,Liga Portugal 25/26,49531,3013,Famalicão,CD Nacional,1.0,0.0,,sofascore
14288838,2026-03-21,Liga Portugal Betclic,Liga Portugal 25/26,3011,3010,Santa Clara,Gil Vicente,1.0,0.0,,sofascore
14288841,2026-03-21,Liga Portugal Betclic,Liga Portugal 25/26,3006,3009,Benfica,Vitória SC,3.0,0.0,,sofascore
14288832,2026-03-21,Liga Portugal Betclic,Liga Portugal 25/26,38396,483088,Tondela,AVS - Futebol SAD,0.0,0.0,,sofascore
14288835,2026-03-22,Liga Portugal Betclic,Liga Portugal 25/26,4500,3036,Estoril Praia,Rio Ave,1.0,2.0,,sofascore
14288836,2026-03-22,Liga Portugal Betclic,Liga Portugal 25/26,190328,3001,FC Alverca,Sporting CP,1.0,4.0,,sofascore
14288839,2026-03-22,Liga Portugal Betclic,Liga Portugal 25/26,2999,3002,Sporting Braga,FC Porto,1.0,2.0,,sofascore
14288842,2026-04-03,Liga Portugal Betclic,Liga Portugal 25/26,3010,483088,Gil Vicente,AVS - Futebol SAD,3.0,0.0,,sofascore
14288850,2026-04-03,Liga Portugal Betclic,Liga Portugal 25/26,3009,38396,Vitória SC,Tondela,5.0,0.0,,sofascore
14288846,2026-04-03,Liga Portugal Betclic,Liga Portugal 25/26,3001,3011,Sporting CP,Santa Clara,4.0,2.0,,sofascore
14288843,2026-04-04,Liga Portugal Betclic,Liga Portugal 25/26,3013,3035,CD Nacional,CF Estrela Amadora,2.0,0.0,,sofascore
14288844,2026-04-04,Liga Portugal Betclic,Liga Portugal 25/26,3036,190328,Rio Ave,FC Alverca,1.0,2.0,,sofascore
14288847,2026-04-04,Liga Portugal Betclic,Liga Portugal 25/26,3014,2999,Moreirense,Sporting Braga,0.0,1.0,,sofascore
14288845,2026-04-04,Liga Portugal Betclic,Liga Portugal 25/26,3002,49531,FC Porto,Famalicão,2.0,2.0,,sofascore
14288997,2026-02-13,Liga Portugal Betclic,Liga Portugal 25/26,3011,3006,Santa Clara,Benfica,1.0,2.0,,sofascore
14288991,2026-02-13,Liga Portugal Betclic,Liga Portugal 25/26,38396,190328,Tondela,FC Alverca,1.0,1.0,,sofascore
14288993,2026-02-14,Liga Portugal Betclic,Liga Portugal 25/26,36365,25777,Casa Pia,FC Arouca,3.0,2.0,,sofascore
14288990,2026-02-14,Liga Portugal Betclic,Liga Portugal 25/26,3009,3035,Vitória SC,CF Estrela Amadora,2.0,1.0,,sofascore
14288996,2026-02-14,Liga Portugal Betclic,Liga Portugal 25/26,3010,2999,Gil Vicente,Sporting Braga,2.0,1.0,,sofascore
14288999,2026-02-15,Liga Portugal Betclic,Liga Portugal 25/26,3013,3002,CD Nacional,FC Porto,0.0,1.0,,sofascore
14288998,2026-02-15,Liga Portugal Betclic,Liga Portugal 25/26,483088,4500,AVS - Futebol SAD,Estoril Praia,3.0,0.0,,sofascore
14288994,2026-02-15,Liga Portugal Betclic,Liga Portugal 25/26,3001,49531,Sporting CP,Famalicão,1.0,0.0,,sofascore
14288995,2026-02-16,Liga Portugal Betclic,Liga Portugal 25/26,3036,3014,Rio Ave,Moreirense,1.0,2.0,,sofascore
14288798,2026-02-20,Liga Portugal Betclic,Liga Portugal 25/26,3035,38396,CF Estrela Amadora,Tondela,0.0,2.0,,sofascore
14288800,2026-02-21,Liga Portugal Betclic,Liga Portugal 25/26,25777,3013,FC Arouca,CD Nacional,3.0,0.0,,sofascore
14288799,2026-02-21,Liga Portugal Betclic,Liga Portugal 25/26,190328,3011,FC Alverca,Santa Clara,1.0,1.0,,sofascore
14288802,2026-02-21,Liga Portugal Betclic,Liga Portugal 25/26,3014,3001,Moreirense,Sporting CP,0.0,3.0,,sofascore
14289000,2026-02-21,Liga Portugal Betclic,Liga Portugal 25/26,3006,483088,Benfica,AVS - Futebol SAD,3.0,0.0,,sofascore
14288803,2026-02-21,Liga Portugal Betclic,Liga Portugal 25/26,2999,3009,Sporting Braga,Vitória SC,3.0,2.0,,sofascore
14288797,2026-02-22,Liga Portugal Betclic,Liga Portugal 25/26,4500,3010,Estoril Praia,Gil Vicente,3.0,1.0,,sofascore
14288801,2026-02-22,Liga Portugal Betclic,Liga Portugal 25/26,3002,3036,FC Porto,Rio Ave,1.0,0.0,,sofascore
14289002,2026-02-23,Liga Portugal Betclic,Liga Portugal 25/26,49531,36365,Famalicão,Casa Pia,2.0,0.0,,sofascore
14288806,2026-02-27,Liga Portugal Betclic,Liga Portugal 25/26,3002,25777,FC Porto,FC Arouca,3.0,1.0,,sofascore
14288804,2026-02-27,Liga Portugal Betclic,Liga Portugal 25/26,3001,4500,Sporting CP,Estoril Praia,3.0,0.0,,sofascore
14288811,2026-02-28,Liga Portugal Betclic,Liga Portugal 25/26,483088,3035,AVS - Futebol SAD,CF Estrela Amadora,0.0,0.0,,sofascore
14288809,2026-02-28,Liga Portugal Betclic,Liga Portugal 25/26,3013,2999,CD Nacional,Sporting Braga,1.0,2.0,,sofascore
14288805,2026-02-28,Liga Portugal Betclic,Liga Portugal 25/26,3009,190328,Vitória SC,FC Alverca,1.0,1.0,,sofascore
14288808,2026-03-01,Liga Portugal Betclic,Liga Portugal 25/26,38396,3011,Tondela,Santa Clara,2.0,2.0,,sofascore
14288812,2026-03-01,Liga Portugal Betclic,Liga Portugal 25/26,36365,3014,Casa Pia,Moreirense,1.0,1.0,,sofascore
14288807,2026-03-01,Liga Portugal Betclic,Liga Portugal 25/26,3036,49531,Rio Ave,Famalicão,0.0,0.0,,sofascore
14288810,2026-03-02,Liga Portugal Betclic,Liga Portugal 25/26,3010,3006,Gil Vicente,Benfica,1.0,2.0,,sofascore
14288815,2026-03-06,Liga Portugal Betclic,Liga Portugal 25/26,49531,25777,Famalicão,FC Arouca,1.0,0.0,,sofascore
14288813,2026-03-07,Liga Portugal Betclic,Liga Portugal 25/26,190328,483088,FC Alverca,AVS - Futebol SAD,0.0,0.0,,sofascore
14288932,2026-01-18,Liga Portugal Betclic,Liga Portugal 25/26,38396,2999,Tondela,Sporting Braga,0.0,1.0,,sofascore
