team_id_tm,team_slug,season,stadium_name,capacity,seats_total,seats_covered,seats_vip,vip_boxes,seats_standing,inaugurated_year,built_year,refurbished_year,owner,operator,address,city,country,construction_cost,surface,architect,tm_url,previous_names_raw,id_transfermarkt_stadium,pitch_length_m,pitch_width_m,naming_rights,naming_rights_until,has_pitch_heating,has_athletics_track,capacity_intl
5,ac-mailand,2022,AC Milan,75923,75923,,,304,,,,,Comune di Milano,,Giuseppe Meazza,,,"250,00 mill. €",Césped híbrido,,https://www.transfermarkt.es/ac-mailand/stadion/verein/5/saison_id/2022,,,,,,,,,
12,as-rom,2022,AS Roma,70634,70634,,,17,,,,,CONI,,Olimpico di Roma,,,,Césped natural,,https://www.transfermarkt.es/as-rom/stadion/verein/12/saison_id/2022,,,,,,,,,
46,inter-mailand,2022,Inter de Milán,75923,75923,,,304,,,,,Comune di Milano,,Giuseppe Meazza,,,,Césped híbrido,,https://www.transfermarkt.es/inter-mailand/stadion/verein/46/saison_id/2022,,,,,,,,,
276,hellas-verona,2022,Hellas Verona,39211,39211,,,,,,,,Comune di Verona,,Marcantonio Bentegodi,,,,Césped natural,,https://www.transfermarkt.es/hellas-verona/stadion/verein/276/saison_id/2022,,,,,,,,,
380,us-salernitana-1919,2022,US Salernitana 1919,29739,31300,,,,,,,,Comune di Salerno,,Arechi,,,,Césped natural,,https://www.transfermarkt.es/us-salernitana-1919/stadion/verein/380/saison_id/2022,,,,,,,,,
398,lazio-rom,2022,SS Lazio,70634,70634,,,,,,,,Città di Roma,,Olimpico di Roma,,,,Césped natural,,https://www.transfermarkt.es/lazio-rom/stadion/verein/398/saison_id/2022,,,,,,,,,
410,udinese-calcio,2022,Udinese,25144,25144,,,,,,,,Udinese Calcio,,Bluenergy Stadium,,,,Césped natural,,https://www.transfermarkt.es/udinese-calcio/stadion/verein/410/saison_id/2022,,,,,,,,,
416,fc-turin,2022,Torino FC,28177,28177,,,,,,,,Comune di Torino,,Olimpico Grande Torino,,,"30,00 mill. €",Césped natural,,https://www.transfermarkt.es/fc-turin/stadion/verein/416/saison_id/2022,,,,,,,,,
430,ac-florenz,2022,Fiorentina,43147,43147,,,,,,,,Comune di Firenze,,Artemio Franchi,,,,Césped natural,,https://www.transfermarkt.es/ac-florenz/stadion/verein/430/saison_id/2022,,,,,,,,,
506,juventus-turin,2022,Juventus de Turín,41507,41507,,,64,,,,,Juventus,,Allianz Stadium,,,"125,00 mill. €",Césped natural,,https://www.transfermarkt.es/juventus-turin/stadion/verein/506/saison_id/2022,,,,,,,,,
749,fc-empoli,2022,Empoli FC,19847,16284,,,,,,,,Comune di Empoli,,Carlo Castellani,,,,Césped natural,,https://www.transfermarkt.es/fc-empoli/stadion/verein/749/saison_id/2022,,,,,,,,,
800,atalanta-bergamo,2022,Atalanta de Bérgamo,24950,24950,,,,,,,,Atalanta BC,,New Balance Arena - Bergamo,,,,Césped natural,,https://www.transfermarkt.es/atalanta-bergamo/stadion/verein/800/saison_id/2022,,,,,,,,,
1005,us-lecce,2022,US Lecce,31559,31559,,,94,,,,,Comune di Lecce,,Ettore Giardiniero,,,,Césped natural,,https://www.transfermarkt.es/us-lecce/stadion/verein/1005/saison_id/2022,,,,,,,,,
1025,fc-bologna,2022,Bolonia,36462,36462,,,38,,,,,Comune di Bologna,,Stadio Renato Dall’Ara,,,,Césped natural,,https://www.transfermarkt.es/fc-bologna/stadion/verein/1025/saison_id/2022,,,,,,,,,
1038,sampdoria-genua,2022,UC Sampdoria,33205,33205,,,,,,,,Comune di Genova,,Luigi Ferraris,,,,Césped natural,,https://www.transfermarkt.es/sampdoria-genua/stadion/verein/1038/saison_id/2022,,,,,,,,,
2239,us-cremonese,2022,US Cremonese,16003,16003,,,,,,,,Unione Sportiva Cremonese,,Giovanni Zini,,,,Césped natural,,https://www.transfermarkt.es/us-cremonese/stadion/verein/2239/saison_id/2022,,,,,,,,,
2919,ac-monza,2022,AC Monza,17102,17102,,,,,,,,Comune di Monza,,Brianteo,,,,Césped natural,,https://www.transfermarkt.es/ac-monza/stadion/verein/2919/saison_id/2022,,,,,,,,,
3522,spezia-calcio,2022,Spezia,12273,12273,,,,,,,,Comune della Spezia,,Alberto Picco,,,,Césped híbrido,,https://www.transfermarkt.es/spezia-calcio/stadion/verein/3522/saison_id/2022,,,,,,,,,
6195,ssc-neapel,2022,SSC Nápoles,54726,54726,,,19,,,,,Comune di Napoli,,Diego Armando Maradona,,,,Césped natural,,https://www.transfermarkt.es/ssc-neapel/stadion/verein/6195/saison_id/2022,,,,,,,,,
6574,us-sassuolo,2022,US Sassuolo,21584,21584,,,256,,,,,Mapei S.P.A,,Mapei Stadium - Città del Tricolore,,,"15,00 mill. €",Césped natural,,https://www.transfermarkt.es/us-sassuolo/stadion/verein/6574/saison_id/2022,,,,,,,,,
