whoscored_match_id,venue_name,manager_home,manager_away,ht_score,ft_score,attendance,referee_id_whoscored,referee_name,start_time
1911504,Parc des Princes,Luis Enrique Martínez García,Vahid Halilhodzic,2 : 0,3 : 0,47388.0,961,Clément Turpin,2026-04-22T19:00:00
1911505,Roazhon Park,Franck Haise,Bruno Génésio,0 : 1,1 : 2,28219.0,867,Jerome Brisard,2026-03-15T20:45:00
1911506,Stade de la Meinau,Gary O'Neil,Antoine Kombouaré,0 : 0,0 : 0,29865.0,899,Benoît Millot,2026-03-15T15:00:00
1911507,Stade de l'Abbé-Deschamps,Christophe Pélissier,Éric Roy,1 : 0,3 : 0,15336.0,4,Thomas Leonard,2026-03-21T19:00:00
1911508,Stade Félix Bollaert-Delélis,Pierre Sage,Alexandre Dujeux,3 : 0,5 : 1,37303.0,1076,Stéphanie Frappart,2026-03-20T20:45:00
1911509,Groupama Stadium,Paulo Alexandre Rodrigues Fonseca,Sébastien Pocognoli,1 : 0,1 : 2,56039.0,880,François Letexier,2026-03-22T15:00:00
1911510,Orange Vélodrome,Habib Beye,Bruno Génésio,1 : 0,1 : 2,59865.0,861,Benoît Bastien,2026-03-22T17:15:00
1911511,La Beaujoire-Louis-Fonteneau,Vahid Halilhodzic,Gary O'Neil,1 : 1,2 : 3,21878.0,2853,Mathieu Vernice,2026-03-22T20:45:00
1911512,Roazhon Park,Franck Haise,Antoine Kombouaré,0 : 0,2 : 1,28074.0,4,Thomas Leonard,2026-05-10T21:00:00
1911513,Allianz Riviera,Claude Puel,Luis Enrique Martínez García,0 : 1,0 : 4,28815.0,960,Willy Delajod,2026-03-21T21:05:00
1911514,Stadium de Toulouse,Carles Martínez,Paulo Alexandre Rodrigues Fonseca,1 : 0,2 : 1,26683.0,1195,Bastien Dechepy,2026-05-10T21:00:00
1911515,Stade Jean Bouin,Antoine Kombouaré,Didier Digard,2 : 0,3 : 2,15612.0,961,Clément Turpin,2026-03-22T17:15:00
1911516,Stade Francis-Le Blé,Éric Roy,Alexandre Dujeux,0 : 0,1 : 1,12742.0,2853,Mathieu Vernice,2026-05-17T21:00:00
1911517,Roazhon Park,Franck Haise,Benoit Tavenot,0 : 0,0 : 0,28206.0,1195,Bastien Dechepy,2026-03-22T17:15:00
1911518,Decathlon Arena - Stade Pierre-Mauroy,Bruno Génésio,Christophe Pélissier,0 : 1,0 : 2,47097.0,960,Willy Delajod,2026-05-17T21:00:00
1911519,Stadium de Toulouse,Carles Martínez,Olivier Pantaloni,0 : 0,1 : 0,23011.0,1998,Guillaume Paradis,2026-03-21T17:00:00
1911520,Stade du Moustoir - Yves Allainmat,Olivier Pantaloni,Didier Digard,0 : 1,0 : 2,16296.0,961,Clément Turpin,2026-05-17T21:00:00
1911521,Stade Raymond Kopa,Alexandre Dujeux,Paulo Alexandre Rodrigues Fonseca,0 : 0,0 : 0,14674.0,885,Ruddy Buquet,2026-04-05T15:00:00
1911522,Groupama Stadium,Paulo Alexandre Rodrigues Fonseca,Pierre Sage,0 : 3,0 : 4,58227.0,880,François Letexier,2026-05-17T21:00:00
1911523,Stade Francis-Le Blé,Éric Roy,Franck Haise,1 : 2,3 : 4,15031.0,4272,Marc Bollengier,2026-04-04T19:00:00
1911524,Orange Vélodrome,Habib Beye,Franck Haise,2 : 0,3 : 1,62124.0,885,Ruddy Buquet,2026-05-17T21:00:00
1911525,La Beaujoire-Louis-Fonteneau,Vahid Halilhodzic,Carles Martínez,,0 : 0,,1076,Stéphanie Frappart,2026-05-17T21:00:00
1911526,Allianz Riviera,Claude Puel,Benoit Tavenot,0 : 0,0 : 0,22829.0,2884,Jeremie Pignard,2026-05-17T21:00:00
1911527,Stade Jean Bouin,Antoine Kombouaré,Luis Enrique Martínez García,0 : 0,2 : 1,19237.0,1998,Guillaume Paradis,2026-05-17T21:00:00
1911528,Stade de la Meinau,Gary O'Neil,Sébastien Pocognoli,1 : 3,5 : 4,30321.0,861,Benoît Bastien,2026-05-17T21:00:00
1911529,Stade Océane,Didier Digard,Christophe Pélissier,1 : 1,1 : 1,21053.0,899,Benoît Millot,2026-04-05T17:15:00
1911530,Decathlon Arena - Stade Pierre-Mauroy,Bruno Génésio,Pierre Sage,1 : 0,3 : 0,48491.0,880,François Letexier,2026-04-04T21:05:00
1911531,Stade du Moustoir - Yves Allainmat,Olivier Pantaloni,Antoine Kombouaré,0 : 0,1 : 1,16211.0,3221,Gael Angoula,2026-04-05T17:15:00
1911532,Stade Saint-Symphorien,Benoit Tavenot,Vahid Halilhodzic,0 : 0,0 : 0,20591.0,867,Jerome Brisard,2026-04-05T17:15:00
