whoscored_player_id,player_name,whoscored_team_id,team_name,position,shirt_no,season,competition,data_source
105198,Brice Samba,313,Rennes,GK,30,2025/26,Ligue 1,whoscored
339500,Przemyslaw Frankowski,313,Rennes,DR,95,2025/26,Ligue 1,whoscored
468827,Jérémy Jacquet,313,Rennes,DC,97,2025/26,Ligue 1,whoscored
416149,Anthony Rouault,313,Rennes,DC,24,2025/26,Ligue 1,whoscored
539085,Abdelhamid Aït Boudlal,313,Rennes,DC,48,2025/26,Ligue 1,whoscored
411087,Quentin Merlin,313,Rennes,DL,26,2025/26,Ligue 1,whoscored
231144,Valentin Rongier,313,Rennes,MC,21,2025/26,Ligue 1,whoscored
404193,Fabian Rieder,313,Rennes,MC,32,2025/26,Ligue 1,whoscored
254562,Seko Fofana,313,Rennes,MC,8,2025/26,Ligue 1,whoscored
545888,Mohamed Meïté,313,Rennes,FW,39,2025/26,Ligue 1,whoscored
383816,Mousa Al Tamari,313,Rennes,FW,11,2025/26,Ligue 1,whoscored
422136,Christopher Wooh,313,Rennes,Sub,4,2025/26,Ligue 1,whoscored
502951,Aboubakar Nagida,313,Rennes,Sub,18,2025/26,Ligue 1,whoscored
299562,Ludovic Blas,313,Rennes,Sub,10,2025/26,Ligue 1,whoscored
349960,Mahdi Camara,313,Rennes,Sub,45,2025/26,Ligue 1,whoscored
442915,Ibrahim Salah,313,Rennes,Sub,34,2025/26,Ligue 1,whoscored
468829,Djaoui Cissé,313,Rennes,Sub,6,2025/26,Ligue 1,whoscored
362738,Dogan Alemdar,313,Rennes,Sub,16,2025/26,Ligue 1,whoscored
422796,Bertug Yildirim,313,Rennes,Sub,99,2025/26,Ligue 1,whoscored
427469,Jordan James,313,Rennes,Sub,17,2025/26,Ligue 1,whoscored
125375,Gerónimo Rulli,249,Marseille,GK,1,2025/26,Ligue 1,whoscored
362788,Leonardo Balerdi,249,Marseille,DC,5,2025/26,Ligue 1,whoscored
91978,Geoffrey Kondogbia,249,Marseille,DC,19,2025/26,Ligue 1,whoscored
425574,CJ Egan-Riley,249,Marseille,DC,4,2025/26,Ligue 1,whoscored
101859,Pierre-Emile Højbjerg,249,Marseille,DMC,23,2025/26,Ligue 1,whoscored
338497,Angel Gomes,249,Marseille,DMC,8,2025/26,Ligue 1,whoscored
367782,Mason Greenwood,249,Marseille,AMR,10,2025/26,Ligue 1,whoscored
116609,Adrien Rabiot,249,Marseille,AMC,25,2025/26,Ligue 1,whoscored
280972,Amir Murillo,249,Marseille,AMC,62,2025/26,Ligue 1,whoscored
429723,Jonathan Rowe,249,Marseille,AML,17,2025/26,Ligue 1,whoscored
348654,Amine Gouiri,249,Marseille,FW,9,2025/26,Ligue 1,whoscored
525813,Darryl Bakola,249,Marseille,Sub,50,2025/26,Ligue 1,whoscored
44120,Pierre-Emerick Aubameyang,249,Marseille,Sub,97,2025/26,Ligue 1,whoscored
149348,Ulisses Garcia,249,Marseille,Sub,6,2025/26,Ligue 1,whoscored
353991,Timothy Weah,249,Marseille,Sub,22,2025/26,Ligue 1,whoscored
511691,Robinio Vaz,249,Marseille,Sub,34,2025/26,Ligue 1,whoscored
371029,Derek Cornelius,249,Marseille,Sub,13,2025/26,Ligue 1,whoscored
422240,Bilal Nadir,249,Marseille,Sub,26,2025/26,Ligue 1,whoscored
322668,Amine Harit,249,Marseille,Sub,11,2025/26,Ligue 1,whoscored
379703,Jeffrey de Lange,249,Marseille,Sub,12,2025/26,Ligue 1,whoscored
119822,Neal Maupay,249,Marseille,Sub,7,2025/26,Ligue 1,whoscored
383856,Théo Vermot,249,Marseille,Sub,92,2025/26,Ligue 1,whoscored
523964,Keyliane Abdallah,249,Marseille,Sub,48,2025/26,Ligue 1,whoscored
323240,Pol Lirola,249,Marseille,Sub,29,2025/26,Ligue 1,whoscored
467303,Obed Nkambadio,2832,Paris FC,GK,16,2025/26,Ligue 1,whoscored
438655,Samir Chergui,2832,Paris FC,DR,31,2025/26,Ligue 1,whoscored
402207,Otávio,2832,Paris FC,DC,6,2025/26,Ligue 1,whoscored
416242,Moustapha Mbow,2832,Paris FC,DC,5,2025/26,Ligue 1,whoscored
513632,Nhoa Sangui,2832,Paris FC,DL,19,2025/26,Ligue 1,whoscored
288883,Maxime Lopez,2832,Paris FC,MC,21,2025/26,Ligue 1,whoscored
