whoscored_team_id,team_name,season,competition,data_source
313,Rennes,2025/26,Ligue 1,whoscored
249,Marseille,2025/26,Ligue 1,whoscored
2832,Paris FC,2025/26,Ligue 1,whoscored
614,Angers,2025/26,Ligue 1,whoscored
217,Le Havre,2025/26,Ligue 1,whoscored
309,Lens,2025/26,Ligue 1,whoscored
613,Nice,2025/26,Ligue 1,whoscored
308,Auxerre,2025/26,Ligue 1,whoscored
146,Lorient,2025/26,Ligue 1,whoscored
607,Lille,2025/26,Ligue 1,whoscored
248,Monaco,2025/26,Ligue 1,whoscored
304,PSG,2025/26,Ligue 1,whoscored
2332,Brest,2025/26,Ligue 1,whoscored
148,Strasbourg,2025/26,Ligue 1,whoscored
302,Nantes,2025/26,Ligue 1,whoscored
228,Lyon,2025/26,Ligue 1,whoscored
314,Metz,2025/26,Ligue 1,whoscored
246,Toulouse,2025/26,Ligue 1,whoscored
