whoscored_match_id,match_date,season,competition,attendance,data_source
1640776,2022-10-15,2022/23,Premier League,22913.0,whoscored
1640777,2022-10-16,2022/23,Premier League,36700.0,whoscored
1640778,2022-10-15,2022/23,Premier League,31298.0,whoscored
1640779,2022-10-16,2022/23,Premier League,53286.0,whoscored
1640780,2022-10-16,2022/23,Premier League,73726.0,whoscored
1640781,2022-10-16,2022/23,Premier League,29159.0,whoscored
1640782,2022-10-15,2022/23,Premier League,61812.0,whoscored
1640783,2022-10-15,2022/23,Premier League,31554.0,whoscored
1640784,2023-02-15,2022/23,Premier League,60276.0,whoscored
1640785,2022-10-19,2022/23,Premier League,10405.0,whoscored
1640786,2022-10-19,2022/23,Premier League,17118.0,whoscored
1640787,2022-10-18,2022/23,Premier League,31463.0,whoscored
1640788,2022-10-20,2022/23,Premier League,23508.0,whoscored
1640789,2022-10-20,2022/23,Premier League,30814.0,whoscored
1640790,2022-10-18,2022/23,Premier League,25125.0,whoscored
1640791,2022-10-19,2022/23,Premier League,52247.0,whoscored
1640792,2022-10-19,2022/23,Premier League,53346.0,whoscored
1640793,2022-10-19,2022/23,Premier League,73677.0,whoscored
1640794,2022-10-23,2022/23,Premier League,41693.0,whoscored
1640795,2022-10-22,2022/23,Premier League,39503.0,whoscored
1640796,2022-10-22,2022/23,Premier League,38939.0,whoscored
1640797,2022-10-23,2022/23,Premier League,36447.0,whoscored
1640798,2022-10-22,2022/23,Premier League,53223.0,whoscored
1640799,2022-10-22,2022/23,Premier League,29245.0,whoscored
1640800,2022-10-23,2022/23,Premier League,31145.0,whoscored
1640801,2022-10-23,2022/23,Premier League,61726.0,whoscored
1640802,2022-10-24,2022/23,Premier League,62447.0,whoscored
1640803,2022-10-23,2022/23,Premier League,31425.0,whoscored
1640804,2022-10-30,2022/23,Premier League,60263.0,whoscored
1640805,2022-10-29,2022/23,Premier League,10430.0,whoscored
1640806,2022-10-29,2022/23,Premier League,17051.0,whoscored
1640807,2022-10-29,2022/23,Premier League,31746.0,whoscored
1640808,2022-10-29,2022/23,Premier League,25130.0,whoscored
1640809,2022-10-29,2022/23,Premier League,23534.0,whoscored
1640810,2022-10-29,2022/23,Premier League,32223.0,whoscored
1640811,2022-10-29,2022/23,Premier League,53274.0,whoscored
1640812,2022-10-30,2022/23,Premier League,73682.0,whoscored
1640813,2022-10-29,2022/23,Premier League,52233.0,whoscored
1640814,2022-11-06,2022/23,Premier League,42058.0,whoscored
1640815,2022-11-06,2022/23,Premier League,40142.0,whoscored
1640816,2022-11-05,2022/23,Premier League,39206.0,whoscored
1640817,2022-11-05,2022/23,Premier League,36304.0,whoscored
1640818,2022-11-05,2022/23,Premier League,52395.0,whoscored
1640819,2022-11-05,2022/23,Premier League,28869.0,whoscored
1640820,2022-11-06,2022/23,Premier League,30402.0,whoscored
1640821,2022-11-06,2022/23,Premier League,62008.0,whoscored
1640822,2022-11-06,2022/23,Premier League,62451.0,whoscored
1640823,2022-11-05,2022/23,Premier League,30732.0,whoscored
1640824,2022-11-12,2022/23,Premier League,10382.0,whoscored
1640825,2022-11-13,2022/23,Premier League,31581.0,whoscored
1640826,2022-11-13,2022/23,Premier League,24246.0,whoscored
1640827,2022-11-12,2022/23,Premier League,53331.0,whoscored
1640828,2022-11-12,2022/23,Premier League,52786.0,whoscored
1640829,2022-11-12,2022/23,Premier League,52264.0,whoscored
1640830,2022-11-12,2022/23,Premier League,29045.0,whoscored
1640831,2022-11-12,2022/23,Premier League,61667.0,whoscored
1640832,2022-11-12,2022/23,Premier League,62459.0,whoscored
1640833,2022-11-12,2022/23,Premier League,34624.0,whoscored
1640834,2022-12-26,2022/23,Premier League,60125.0,whoscored
1640835,2022-12-26,2022/23,Premier League,42085.0,whoscored
1640836,2022-12-26,2022/23,Premier League,17137.0,whoscored
1640837,2022-12-27,2022/23,Premier League,40046.0,whoscored
1640838,2022-12-26,2022/23,Premier League,25176.0,whoscored
1640839,2022-12-26,2022/23,Premier League,39252.0,whoscored
1640840,2022-12-28,2022/23,Premier League,36889.0,whoscored
1640841,2022-12-26,2022/23,Premier League,32185.0,whoscored
1640842,2022-12-27,2022/23,Premier League,73608.0,whoscored
1640843,2022-12-26,2022/23,Premier League,31010.0,whoscored
1640844,2022-12-31,2022/23,Premier League,9972.0,whoscored
1640845,2022-12-31,2022/23,Premier League,31647.0,whoscored
1640846,2022-12-31,2022/23,Premier League,24344.0,whoscored
1640847,2022-12-30,2022/23,Premier League,53343.0,whoscored
1640848,2022-12-31,2022/23,Premier League,53444.0,whoscored
1640849,2022-12-31,2022/23,Premier League,52211.0,whoscored
1640850,2023-01-01,2022/23,Premier League,29229.0,whoscored
1640851,2023-01-01,2022/23,Premier League,61651.0,whoscored
1640852,2022-12-30,2022/23,Premier League,62467.0,whoscored
1640853,2022-12-31,2022/23,Premier League,31658.0,whoscored
1640854,2023-01-03,2022/23,Premier League,60319.0,whoscored
1640855,2023-01-04,2022/23,Premier League,39978.0,whoscored
1640856,2023-01-02,2022/23,Premier League,17163.0,whoscored
1640857,2023-01-05,2022/23,Premier League,39998.0,whoscored
1640858,2023-01-04,2022/23,Premier League,25132.0,whoscored
1640859,2023-01-03,2022/23,Premier League,,whoscored
1640860,2023-01-04,2022/23,Premier League,36173.0,whoscored
1640861,2023-01-03,2022/23,Premier League,30813.0,whoscored
1640862,2023-01-03,2022/23,Premier League,73322.0,whoscored
1640863,2023-01-04,2022/23,Premier League,30150.0,whoscored
1640864,2023-01-13,2022/23,Premier League,42008.0,whoscored
1640865,2023-01-14,2022/23,Premier League,17031.0,whoscored
1640866,2023-01-14,2022/23,Premier League,31645.0,whoscored
1640867,2023-01-15,2022/23,Premier League,40075.0,whoscored
1640868,2023-01-14,2022/23,Premier League,39305.0,whoscored
1640869,2023-01-14,2022/23,Premier League,75546.0,whoscored
1640870,2023-01-15,2022/23,Premier League,52247.0,whoscored
1640871,2023-01-14,2022/23,Premier League,29301.0,whoscored
1640872,2023-01-15,2022/23,Premier League,61870.0,whoscored
1640873,2023-01-14,2022/23,Premier League,31511.0,whoscored
1640874,2023-02-25,2022/23,Premier League,62469.0,whoscored
1640875,2023-03-04,2022/23,Premier League,60222.0,whoscored
1640876,2023-01-22,2022/23,Premier League,60325.0,whoscored
1640877,2023-03-04,2022/23,Premier League,41893.0,whoscored
1640878,2023-01-21,2022/23,Premier League,10248.0,whoscored
1640879,2023-03-06,2022/23,Premier League,17025.0,whoscored
1640880,2023-01-21,2022/23,Premier League,25350.0,whoscored
1640881,2023-03-04,2022/23,Premier League,31523.0,whoscored
1640882,2023-01-23,2022/23,Premier League,24190.0,whoscored
1640883,2023-03-04,2022/23,Premier League,39905.0,whoscored
1640884,2023-01-22,2022/23,Premier League,36260.0,whoscored
1640885,2023-03-05,2022/23,Premier League,53001.0,whoscored
1640886,2023-01-21,2022/23,Premier League,32056.0,whoscored
1640887,2023-03-04,2022/23,Premier League,53419.0,whoscored
1640888,2023-01-21,2022/23,Premier League,53126.0,whoscored
1640889,2023-03-05,2022/23,Premier League,29353.0,whoscored
1640890,2023-01-22,2022/23,Premier League,53282.0,whoscored
1640891,2023-03-04,2022/23,Premier League,30139.0,whoscored
1640892,2023-01-21,2022/23,Premier League,30158.0,whoscored
1640893,2023-03-04,2022/23,Premier League,31585.0,whoscored
1640894,2023-01-21,2022/23,Premier League,62470.0,whoscored
1640895,2023-03-11,2022/23,Premier League,10536.0,whoscored
1640896,2023-02-04,2022/23,Premier League,42055.0,whoscored
1640897,2023-03-11,2022/23,Premier League,25844.0,whoscored
1640898,2023-02-04,2022/23,Premier League,17051.0,whoscored
1640899,2023-03-11,2022/23,Premier League,39036.0,whoscored
1640900,2023-02-04,2022/23,Premier League,31600.0,whoscored
1640901,2023-03-12,2022/23,Premier League,24426.0,whoscored
1640902,2023-02-03,2022/23,Premier League,40041.0,whoscored
1640903,2023-03-11,2022/23,Premier League,36471.0,whoscored
1640904,2023-02-04,2022/23,Premier League,39314.0,whoscored
1640905,2023-03-11,2022/23,Premier League,32170.0,whoscored
1640906,2023-02-04,2022/23,Premier League,73420.0,whoscored
1640907,2023-03-12,2022/23,Premier League,73439.0,whoscored
1640908,2023-02-04,2022/23,Premier League,52256.0,whoscored
1640909,2023-03-12,2022/23,Premier League,52240.0,whoscored
1640910,2023-02-05,2022/23,Premier League,29363.0,whoscored
1640911,2023-03-11,2022/23,Premier League,61460.0,whoscored
1640912,2023-02-05,2022/23,Premier League,61747.0,whoscored
1640913,2023-03-12,2022/23,Premier League,62472.0,whoscored
1640914,2023-02-04,2022/23,Premier League,31664.0,whoscored
1640915,2023-03-19,2022/23,Premier League,60247.0,whoscored
1640916,2023-02-11,2022/23,Premier League,60254.0,whoscored
1640917,2023-03-18,2022/23,Premier League,41021.0,whoscored
1640918,2023-02-11,2022/23,Premier League,10419.0,whoscored
1640919,2023-03-18,2022/23,Premier League,17006.0,whoscored
1640920,2023-02-11,2022/23,Premier League,24827.0,whoscored
1640921,2023-05-04,2022/23,Premier League,31577.0,whoscored
1640922,2023-02-11,2022/23,Premier League,24244.0,whoscored
1640923,2023-03-18,2022/23,Premier League,40025.0,whoscored
1640924,2023-02-12,2022/23,Premier League,36919.0,whoscored
1640925,2023-05-03,2022/23,Premier League,52602.0,whoscored
1640926,2023-02-11,2022/23,Premier League,32184.0,whoscored
1640927,2023-05-03,2022/23,Premier League,53305.0,whoscored
1640928,2023-02-13,2022/23,Premier League,53027.0,whoscored
1640929,2023-03-17,2022/23,Premier League,29362.0,whoscored
1640930,2023-02-12,2022/23,Premier League,53392.0,whoscored
1640931,2023-03-18,2022/23,Premier League,30157.0,whoscored
1640932,2023-02-11,2022/23,Premier League,29751.0,whoscored
1640933,2023-03-18,2022/23,Premier League,31570.0,whoscored
1640934,2023-02-11,2022/23,Premier League,62471.0,whoscored
1640935,2023-04-01,2022/23,Premier League,60283.0,whoscored
1640936,2023-02-18,2022/23,Premier League,42066.0,whoscored
1640937,2023-04-01,2022/23,Premier League,10305.0,whoscored
1640938,2023-02-18,2022/23,Premier League,17122.0,whoscored
1640939,2023-04-01,2022/23,Premier League,31493.0,whoscored
1640940,2023-02-18,2022/23,Premier League,31619.0,whoscored
1640941,2023-04-01,2022/23,Premier League,40082.0,whoscored
1640942,2023-02-18,2022/23,Premier League,40152.0,whoscored
1640943,2023-04-01,2022/23,Premier League,25143.0,whoscored
1640944,2023-02-18,2022/23,Premier League,39232.0,whoscored
1640945,2023-04-03,2022/23,Premier League,39294.0,whoscored
1640946,2023-02-19,2022/23,Premier League,73578.0,whoscored
1640947,2023-04-01,2022/23,Premier League,52877.0,whoscored
1640948,2023-02-18,2022/23,Premier League,52758.0,whoscored
1640949,2023-04-02,2022/23,Premier League,52268.0,whoscored
1640950,2023-02-18,2022/23,Premier League,29365.0,whoscored
1640951,2023-04-01,2022/23,Premier League,29368.0,whoscored
1640952,2023-02-19,2022/23,Premier League,61476.0,whoscored
1640953,2023-04-02,2022/23,Premier League,62465.0,whoscored
1640954,2023-02-18,2022/23,Premier League,31222.0,whoscored
1640955,2023-04-08,2022/23,Premier League,42076.0,whoscored
1640956,2023-02-25,2022/23,Premier League,10481.0,whoscored
1640957,2023-04-08,2022/23,Premier League,17107.0,whoscored
1640958,2023-02-25,2022/23,Premier League,25842.0,whoscored
1640959,2023-04-08,2022/23,Premier League,24491.0,whoscored
1640960,2023-02-25,2022/23,Premier League,39309.0,whoscored
1640961,2023-04-09,2022/23,Premier League,36427.0,whoscored
1640962,2023-02-24,2022/23,Premier League,24399.0,whoscored
1640963,2023-04-08,2022/23,Premier League,32094.0,whoscored
1640964,2023-02-25,2022/23,Premier League,36641.0,whoscored
1640965,2023-04-09,2022/23,Premier League,53267.0,whoscored
1640966,2023-02-25,2022/23,Premier League,32227.0,whoscored
1640967,2023-04-08,2022/23,Premier League,73509.0,whoscored
1640968,2023-04-05,2022/23,Premier League,73309.0,whoscored
1640969,2023-04-08,2022/23,Premier League,30963.0,whoscored
1640970,2023-05-18,2022/23,Premier League,52122.0,whoscored
1640971,2023-04-08,2022/23,Premier League,61405.0,whoscored
1640972,2023-02-26,2022/23,Premier League,61613.0,whoscored
1640973,2023-04-08,2022/23,Premier League,31614.0,whoscored
1640974,2023-04-15,2022/23,Premier League,42055.0,whoscored
1640975,2023-04-15,2022/23,Premier League,40126.0,whoscored
1640976,2023-04-15,2022/23,Premier League,39241.0,whoscored
1640977,2023-04-17,2022/23,Premier League,36657.0,whoscored
1640978,2023-04-15,2022/23,Premier League,53329.0,whoscored
1640979,2023-04-16,2022/23,Premier League,29435.0,whoscored
1640980,2023-04-15,2022/23,Premier League,30309.0,whoscored
1640981,2023-04-15,2022/23,Premier League,61369.0,whoscored
1640982,2023-04-16,2022/23,Premier League,62475.0,whoscored
1640983,2023-04-15,2022/23,Premier League,30769.0,whoscored
1640984,2023-05-13,2022/23,Premier League,28978.0,whoscored
1640985,2023-05-20,2022/23,Premier League,10240.0,whoscored
1640986,2023-05-21,2022/23,Premier League,31507.0,whoscored
1640987,2023-05-20,2022/23,Premier League,24356.0,whoscored
1640988,2023-04-21,2022/23,Premier League,60175.0,whoscored
1640989,2023-05-20,2022/23,Premier League,53306.0,whoscored
1640990,2023-04-23,2022/23,Premier League,10465.0,whoscored
1640991,2023-05-21,2022/23,Premier League,53490.0,whoscored
1640992,2023-04-22,2022/23,Premier League,17098.0,whoscored
1640993,2023-05-22,2022/23,Premier League,52152.0,whoscored
1640994,2023-05-24,2022/23,Premier League,31388.0,whoscored
1640995,2023-05-20,2022/23,Premier League,29514.0,whoscored
1640996,2023-04-22,2022/23,Premier League,25202.0,whoscored
1640997,2023-05-20,2022/23,Premier League,61514.0,whoscored
1640998,2023-04-22,2022/23,Premier League,24356.0,whoscored
1640999,2023-05-21,2022/23,Premier League,62478.0,whoscored
1641000,2023-04-22,2022/23,Premier League,32053.0,whoscored
1641001,2023-05-20,2022/23,Premier League,31684.0,whoscored
1641002,2023-04-22,2022/23,Premier League,,whoscored
1641003,2023-05-28,2022/23,Premier League,60095.0,whoscored
1641004,2023-05-25,2022/23,Premier League,73561.0,whoscored
1641005,2023-05-28,2022/23,Premier League,42212.0,whoscored
1641006,2023-04-23,2022/23,Premier League,52252.0,whoscored
1641007,2023-05-28,2022/23,Premier League,17120.0,whoscored
1641008,2023-04-27,2022/23,Premier League,39248.0,whoscored
1641009,2023-05-28,2022/23,Premier League,40130.0,whoscored
1641010,2023-04-25,2022/23,Premier League,36666.0,whoscored
1641011,2023-05-28,2022/23,Premier League,25198.0,whoscored
1641012,2023-04-26,2022/23,Premier League,28808.0,whoscored
1641013,2023-05-28,2022/23,Premier League,39201.0,whoscored
1641014,2023-04-27,2022/23,Premier League,61586.0,whoscored
1641015,2023-05-28,2022/23,Premier League,36871.0,whoscored
1641016,2023-04-26,2022/23,Premier League,62473.0,whoscored
1641017,2023-05-28,2022/23,Premier League,32183.0,whoscored
1641018,2023-04-25,2022/23,Premier League,30792.0,whoscored
1641019,2023-05-28,2022/23,Premier League,73465.0,whoscored
1641020,2023-04-25,2022/23,Premier League,41046.0,whoscored
1641021,2023-05-28,2022/23,Premier League,31129.0,whoscored
1641022,2023-04-26,2022/23,Premier League,39929.0,whoscored
1641023,2023-04-27,2022/23,Premier League,30414.0,whoscored
1641024,2023-04-26,2022/23,Premier League,53482.0,whoscored
1641025,2023-05-02,2022/23,Premier League,60144.0,whoscored
1641026,2023-04-30,2022/23,Premier League,10434.0,whoscored
1641027,2023-04-29,2022/23,Premier League,17080.0,whoscored
1641028,2023-04-29,2022/23,Premier League,31584.0,whoscored
1641029,2023-04-29,2022/23,Premier League,25148.0,whoscored
1641030,2023-04-30,2022/23,Premier League,24498.0,whoscored
1641031,2023-05-01,2022/23,Premier League,32173.0,whoscored
1641032,2023-04-30,2022/23,Premier League,53275.0,whoscored
1641033,2023-04-30,2022/23,Premier League,73592.0,whoscored
1641034,2023-04-30,2022/23,Premier League,52234.0,whoscored
