whoscored_team_id,team_name,season,competition,data_source
60,Deportivo Alaves,2020/21,La Liga,whoscored
54,Real Betis,2020/21,La Liga,whoscored
63,Atletico,2020/21,La Liga,whoscored
67,Sevilla,2020/21,La Liga,whoscored
65,Barcelona,2020/21,La Liga,whoscored
833,Elche,2020/21,La Liga,whoscored
824,Eibar,2020/21,La Liga,whoscored
62,Celta Vigo,2020/21,La Liga,whoscored
1354,Cadiz,2020/21,La Liga,whoscored
131,Osasuna,2020/21,La Liga,whoscored
925,Granada,2020/21,La Liga,whoscored
53,Athletic Club,2020/21,La Liga,whoscored
52,Real Madrid,2020/21,La Liga,whoscored
819,Getafe,2020/21,La Liga,whoscored
55,Valencia,2020/21,La Liga,whoscored
832,Levante,2020/21,La Liga,whoscored
58,Real Valladolid,2020/21,La Liga,whoscored
68,Real Sociedad,2020/21,La Liga,whoscored
839,Villarreal,2020/21,La Liga,whoscored
5006,SD Huesca,2020/21,La Liga,whoscored
