whoscored_team_id,team_name,season,competition,data_source
53,Athletic Club,2024/25,La Liga,whoscored
819,Getafe,2024/25,La Liga,whoscored
54,Real Betis,2024/25,La Liga,whoscored
2783,Girona,2024/25,La Liga,whoscored
51,Mallorca,2024/25,La Liga,whoscored
52,Real Madrid,2024/25,La Liga,whoscored
838,Las Palmas,2024/25,La Liga,whoscored
67,Sevilla,2024/25,La Liga,whoscored
839,Villarreal,2024/25,La Liga,whoscored
63,Atletico,2024/25,La Liga,whoscored
55,Valencia,2024/25,La Liga,whoscored
65,Barcelona,2024/25,La Liga,whoscored
68,Real Sociedad,2024/25,La Liga,whoscored
64,Rayo Vallecano,2024/25,La Liga,whoscored
62,Celta Vigo,2024/25,La Liga,whoscored
60,Deportivo Alaves,2024/25,La Liga,whoscored
131,Osasuna,2024/25,La Liga,whoscored
825,Leganes,2024/25,La Liga,whoscored
58,Real Valladolid,2024/25,La Liga,whoscored
70,Espanyol,2024/25,La Liga,whoscored
