whoscored_player_id,player_name,whoscored_team_id,team_name,position,shirt_no,season,competition,data_source
449383,Álex Padilla,53,Athletic Club,GK,26,2024/25,La Liga,whoscored
345908,Andoni Gorosabel,53,Athletic Club,DR,2,2024/25,La Liga,whoscored
279839,Yeray Álvarez,53,Athletic Club,DC,5,2024/25,La Liga,whoscored
402663,Aitor Paredes,53,Athletic Club,DC,4,2024/25,La Liga,whoscored
56057,Yuri Berchiche,53,Athletic Club,DL,17,2024/25,La Liga,whoscored
261516,Mikel Vesga,53,Athletic Club,DMC,6,2024/25,La Liga,whoscored
414643,Beñat Prados,53,Athletic Club,DMC,24,2024/25,La Liga,whoscored
255182,Iñaki Williams,53,Athletic Club,AMR,9,2024/25,La Liga,whoscored
381510,Oihan Sancet,53,Athletic Club,AMC,8,2024/25,La Liga,whoscored
238899,Alex Berenguer,53,Athletic Club,AML,7,2024/25,La Liga,whoscored
362602,Gorka Guruzeta,53,Athletic Club,FW,12,2024/25,La Liga,whoscored
291686,Íñigo Lekue,53,Athletic Club,Sub,15,2024/25,La Liga,whoscored
357839,Dani Vivian,53,Athletic Club,Sub,3,2024/25,La Liga,whoscored
408449,Nico Williams,53,Athletic Club,Sub,10,2024/25,La Liga,whoscored
480619,Unai Gómez,53,Athletic Club,Sub,20,2024/25,La Liga,whoscored
71174,Ander Herrera,53,Athletic Club,Sub,21,2024/25,La Liga,whoscored
487129,Javi Martón,53,Athletic Club,Sub,19,2024/25,La Liga,whoscored
497768,Unai Egiluz,53,Athletic Club,Sub,27,2024/25,La Liga,whoscored
511120,Mikel Jauregizar,53,Athletic Club,Sub,31,2024/25,La Liga,whoscored
515307,Adama Boiro,53,Athletic Club,Sub,32,2024/25,La Liga,whoscored
536240,Oier Gastesi,53,Athletic Club,Sub,34,2024/25,La Liga,whoscored
449384,Adu Ares,53,Athletic Club,Sub,23,2024/25,La Liga,whoscored
243262,David Soria,819,Getafe,GK,13,2024/25,La Liga,whoscored
408735,Juan Iglesias,819,Getafe,DR,21,2024/25,La Liga,whoscored
344639,Omar Alderete,819,Getafe,DC,15,2024/25,La Liga,whoscored
332990,Djené Dakonam,819,Getafe,DC,2,2024/25,La Liga,whoscored
323352,Diego Rico,819,Getafe,DL,16,2024/25,La Liga,whoscored
448428,Nabil Aberdin,819,Getafe,DMC,27,2024/25,La Liga,whoscored
374869,Carles Pérez,819,Getafe,MR,17,2024/25,La Liga,whoscored
279320,Luis Milla,819,Getafe,MC,5,2024/25,La Liga,whoscored
303016,Mauro Arambarri,819,Getafe,MC,8,2024/25,La Liga,whoscored
370000,Álex Sola,819,Getafe,ML,7,2024/25,La Liga,whoscored
531674,Christantus Uche,819,Getafe,FW,6,2024/25,La Liga,whoscored
430083,Peter González,819,Getafe,Sub,19,2024/25,La Liga,whoscored
437259,Yellu Santiago,819,Getafe,Sub,20,2024/25,La Liga,whoscored
303268,Carles Aleñá,819,Getafe,Sub,11,2024/25,La Liga,whoscored
533041,Jirí Letácek,819,Getafe,Sub,1,2024/25,La Liga,whoscored
322772,Domingos Duarte,819,Getafe,Sub,22,2024/25,La Liga,whoscored
523331,Alberto Risco,819,Getafe,Sub,26,2024/25,La Liga,whoscored
536534,Diego Ferrer,819,Getafe,Sub,40,2024/25,La Liga,whoscored
141833,Rui Silva,54,Real Betis,GK,1,2024/25,La Liga,whoscored
42002,Youssouf Sabaly,54,Real Betis,DR,23,2024/25,La Liga,whoscored
83686,Marc Bartra,54,Real Betis,DC,5,2024/25,La Liga,whoscored
123232,Diego Llorente,54,Real Betis,DC,3,2024/25,La Liga,whoscored
331466,Romain Perraud,54,Real Betis,DL,15,2024/25,La Liga,whoscored
99911,William Carvalho,54,Real Betis,DMC,14,2024/25,La Liga,whoscored
323148,Marc Roca,54,Real Betis,DMC,21,2024/25,La Liga,whoscored
297203,Pablo Fornals,54,Real Betis,AMR,18,2024/25,La Liga,whoscored
134893,Nabil Fekir,54,Real Betis,AMC,8,2024/25,La Liga,whoscored
83080,Juanmi,54,Real Betis,AML,7,2024/25,La Liga,whoscored
349494,Aitor Ruibal,54,Real Betis,FW,24,2024/25,La Liga,whoscored
303707,Chimy Ávila,54,Real Betis,Sub,9,2024/25,La Liga,whoscored
427283,Abde Ezzalzouli,54,Real Betis,Sub,10,2024/25,La Liga,whoscored
489232,Sergi Altimira,54,Real Betis,Sub,16,2024/25,La Liga,whoscored
395188,Rodri,54,Real Betis,Sub,17,2024/25,La Liga,whoscored
379230,Johnny Cardoso,54,Real Betis,Sub,4,2024/25,La Liga,whoscored
502427,Assane Diao,54,Real Betis,Sub,38,2024/25,La Liga,whoscored
73399,Adrián,54,Real Betis,Sub,13,2024/25,La Liga,whoscored
125211,Héctor Bellerín,54,Real Betis,Sub,2,2024/25,La Liga,whoscored
381583,Iker Losada,54,Real Betis,Sub,19,2024/25,La Liga,whoscored
61610,Ricardo Rodríguez,54,Real Betis,Sub,12,2024/25,La Liga,whoscored
534396,Lucas Alcázar,54,Real Betis,Sub,43,2024/25,La Liga,whoscored
354606,Fran Vieites,54,Real Betis,Sub,25,2024/25,La Liga,whoscored
104732,Paulo Gazzaniga,2783,Girona,GK,13,2024/25,La Liga,whoscored
444239,Arnau Martínez,2783,Girona,DR,4,2024/25,La Liga,whoscored
70033,Daley Blind,2783,Girona,DC,17,2024/25,La Liga,whoscored
92691,David López,2783,Girona,DC,5,2024/25,La Liga,whoscored
395788,Miguel Gutiérrez,2783,Girona,DL,3,2024/25,La Liga,whoscored
90780,Oriol Romeu,2783,Girona,MC,14,2024/25,La Liga,whoscored
372473,Iván Martín,2783,Girona,MC,23,2024/25,La Liga,whoscored
318505,Yangel Herrera,2783,Girona,MC,21,2024/25,La Liga,whoscored
368519,Bryan Gil,2783,Girona,FWR,20,2024/25,La Liga,whoscored
372828,Abel Ruiz,2783,Girona,FW,9,2024/25,La Liga,whoscored
106895,Portu,2783,Girona,FWL,24,2024/25,La Liga,whoscored
445345,Jhon Solís,2783,Girona,Sub,22,2024/25,La Liga,whoscored
404245,Ladislav Krejcí,2783,Girona,Sub,18,2024/25,La Liga,whoscored
467716,Gabriel Misehouy,2783,Girona,Sub,27,2024/25,La Liga,whoscored
497064,Iker Almena,2783,Girona,Sub,30,2024/25,La Liga,whoscored
24400,Cristhian Stuani,2783,Girona,Sub,7,2024/25,La Liga,whoscored
275035,Donny van de Beek,2783,Girona,Sub,6,2024/25,La Liga,whoscored
97643,Juan Carlos,2783,Girona,Sub,1,2024/25,La Liga,whoscored
