whoscored_match_id,venue_name,manager_home,manager_away,ht_score,ft_score,attendance,referee_id_whoscored,referee_name,start_time
1821429,San Mamés,Ernesto Valverde,José Bordalás,1 : 0,1 : 1,47845,296,Alejandro Muñiz Ruiz,2024-08-15T19:00:00
1821430,Benito Villamarín,Manuel Pellegrini,Míchel Sánchez,1 : 0,1 : 1,54084,266,Miguel Ángel Ortiz Arias,2024-08-15T21:30:00
1821431,Estadi Mallorca Son Moix,Jagoba Arrasate,Carlo Ancelotti,0 : 1,1 : 1,23010,222,César Soto Grado,2024-08-18T21:30:00
1821432,Estadio Gran Canaria,Luis Carrión,Francisco Javier García Pimienta,1 : 1,2 : 2,24843,246,Francisco José Hernández Maeso,2024-08-16T21:30:00
1821433,Estadio de la Cerámica,Marcelino García,Diego Simeone,2 : 2,2 : 2,21566,3234,Guillermo Cuadra Fernández,2024-08-19T21:30:00
1821434,Mestalla,Rubén Baraja,Hans-Dieter Flick,1 : 1,1 : 2,46673,233,José María Sánchez Martínez,2024-08-17T21:30:00
1821435,Reale Arena,Imanol Alguacil,Iñigo Pérez,0 : 0,1 : 2,31763,229,Alejandro José Hernández Hernández,2024-08-18T19:00:00
1821436,Estadio Abanca-Balaídos,Claudio Giráldez,Luis García,0 : 1,2 : 1,22477,6624,Alejandro Quintero González,2024-08-16T19:00:00
1821437,El Sadar,Vicente Moreno,Borja Jiménez,0 : 1,1 : 1,19561,304,Juan Luis Pulido Santana,2024-08-17T19:00:00
1821438,Cívitas Metropolitano,Diego Simeone,Míchel Sánchez,1 : 0,3 : 0,60414,206,Juan Martínez Munuera,2024-08-25T21:30:00
1821439,Estadio Abanca-Balaídos,Claudio Giráldez,Rubén Baraja,2 : 1,3 : 1,23519,2404,José Luis Munuera Montero,2024-08-23T19:00:00
1821440,Estadio Coliseum,José Bordalás,Iñigo Pérez,0 : 0,0 : 0,9529,2912,Javier Alberola Rojas,2024-08-24T21:30:00
1821441,Santiago Bernabéu,Carlo Ancelotti,Paulo Pezzolano,0 : 0,3 : 0,70178,2976,Victor García Verdura,2024-08-25T17:00:00
1821442,Ramón Sánchez-Pizjuán,Francisco Javier García Pimienta,Marcelino García Toral,1 : 1,1 : 2,34004,307,Isidro Díaz de Mera Escuderos,2024-08-23T21:30:00
1821443,Mendizorroza,Luis García,Manuel Pellegrini,0 : 0,0 : 0,16623,3362,Mateo Busquets Ferrer,2024-08-25T19:15:00
1821444,Butarque,Borja Jiménez,Luis Carrión,0 : 0,2 : 1,10052,169,Ricardo de Burgos Bengoetxea,2024-08-25T19:00:00
1821445,Estadi Olímpic Lluís Companys,Hans-Dieter Flick,Ernesto Valverde,1 : 1,2 : 1,46448,189,Jesús Gil Manzano,2024-08-24T19:00:00
1821446,El Sadar,Vicente Moreno,Jagoba Arrasate,0 : 0,1 : 0,19900,3244,Adrián Cordero Vega,2024-08-24T17:00:00
1821447,San Mamés,Ernesto Valverde,Rubén Baraja,1 : 0,1 : 0,48644,2917,Pablo González Fuertes,2024-08-28T19:00:00
1821448,Benito Villamarín,Manuel Pellegrini,José Bordalás,0 : 0,2 : 1,48547,304,Juan Luis Pulido Santana,2024-09-18T19:00:00
1821449,Municipal de Montilivi,Míchel Sánchez,Vicente Moreno,1 : 0,4 : 0,13275,246,Francisco José Hernández Maeso,2024-08-29T19:00:00
1821450,Estadi Mallorca Son Moix,Jagoba Arrasate,Francisco Javier García Pimienta,0 : 0,0 : 0,20470,296,Alejandro Muñiz Ruiz,2024-08-27T19:00:00
1821451,Estadio Gran Canaria,Luis Carrión,Carlo Ancelotti,1 : 0,1 : 1,31192,3362,Mateo Busquets Ferrer,2024-08-29T21:30:00
1821452,Estadio de Vallecas,Iñigo Pérez,Hans-Dieter Flick,1 : 0,1 : 2,14031,222,César Soto Grado,2024-08-27T21:30:00
1821453,Estadio de la Cerámica,Marcelino García,Claudio Giráldez,1 : 2,4 : 3,19651,266,Miguel Ángel Ortiz Arias,2024-08-26T21:30:00
1821454,Reale Arena,Imanol Alguacil,Luis García,1 : 1,1 : 2,32220,233,José María Sánchez Martínez,2024-08-28T21:30:00
1821455,José Zorrilla,Paulo Pezzolano,Borja Jiménez,0 : 0,0 : 0,21764,6624,Alejandro Quintero González,2024-08-28T19:00:00
1821456,San Mamés,Ernesto Valverde,Diego Simeone,0 : 0,0 : 1,48617,229,Alejandro José Hernández Hernández,2024-08-31T19:00:00
1821457,Estadi Olímpic Lluís Companys,Hans-Dieter Flick,Paulo Pezzolano,3 : 0,7 : 0,44359,307,Isidro Díaz de Mera Escuderos,2024-08-31T17:00:00
1821458,Estadio Coliseum,José Bordalás,Imanol Alguacil,0 : 0,0 : 0,10929,2404,José Luis Munuera Montero,2024-09-01T19:15:00
1821459,Mestalla,Rubén Baraja,Marcelino García Toral,1 : 1,1 : 1,43857,189,Jesús Gil Manzano,2024-08-31T21:30:00
1821460,Mendizorroza,Luis García,Luis Carrión,1 : 0,2 : 0,16386,2976,Victor García Verdura,2024-09-01T17:00:00
1821461,Butarque,Borja Jiménez,Jagoba Arrasate,0 : 1,0 : 1,10482,309,Mario Melero López,2024-08-31T21:30:00
1821462,Santiago Bernabéu,Carlo Ancelotti,Manuel Pellegrini,0 : 0,2 : 0,73072,2912,Javier Alberola Rojas,2024-09-01T21:30:00
1821463,El Sadar,Vicente Moreno,Claudio Giráldez,2 : 1,3 : 2,19908,206,Juan Martínez Munuera,2024-09-01T17:00:00
1821464,Ramón Sánchez-Pizjuán,Francisco Javier García Pimienta,Míchel Sánchez,0 : 1,0 : 2,35735,233,José María Sánchez Martínez,2024-09-01T19:00:00
1821465,Cívitas Metropolitano,Diego Simeone,Rubén Baraja,1 : 0,3 : 0,61752,222,César Soto Grado,2024-09-15T21:00:00
1821466,Benito Villamarín,Manuel Pellegrini,Borja Jiménez,0 : 0,2 : 0,48089,2917,Pablo González Fuertes,2024-09-13T21:00:00
1821467,Estadio Abanca-Balaídos,Claudio Giráldez,Paulo Pezzolano,2 : 0,3 : 1,21670,246,Francisco José Hernández Maeso,2024-09-15T14:00:00
1821468,Estadi Mallorca Son Moix,Jagoba Arrasate,Marcelino García,0 : 1,1 : 2,18303,169,Ricardo de Burgos Bengoetxea,2024-09-14T14:00:00
1821469,Estadio Gran Canaria,Luis Carrión,Ernesto Valverde,0 : 2,2 : 3,25908,266,Miguel Ángel Ortiz Arias,2024-09-15T18:30:00
1821470,Municipal de Montilivi,Míchel Sánchez,Hans-Dieter Flick,0 : 2,1 : 4,13891,296,Alejandro Muñiz Ruiz,2024-09-15T16:15:00
1821471,Ramón Sánchez-Pizjuán,Francisco Javier García Pimienta,José Bordalás,1 : 0,1 : 0,32643,3362,Mateo Busquets Ferrer,2024-09-14T18:30:00
1821472,Estadio de Vallecas,Iñigo Pérez,Vicente Moreno,0 : 1,3 : 1,13073,6624,Alejandro Quintero González,2024-09-16T21:00:00
1821473,Reale Arena,Imanol Alguacil,Carlo Ancelotti,0 : 0,0 : 2,37370,206,Juan Martínez Munuera,2024-09-14T21:00:00
1821474,San Mamés,Ernesto Valverde,Claudio Giráldez,2 : 1,3 : 1,48737,233,José María Sánchez Martínez,2024-09-22T16:15:00
1821475,Benito Villamarín,Manuel Pellegrini,Jagoba Arrasate,1 : 1,1 : 2,47017,2976,Victor García Verdura,2024-09-23T21:00:00
1821476,Estadio Coliseum,José Bordalás,Borja Jiménez,0 : 0,1 : 1,13060,3244,Adrián Cordero Vega,2024-09-22T14:00:00
1821477,Mendizorroza,Luis García,Francisco Javier García Pimienta,1 : 0,2 : 1,16538,2912,Javier Alberola Rojas,2024-09-20T21:00:00
