id_sofascore,canonical_name,team_id_ss,team_name,competition,season,source
96363.0,Jonas Ramalho,,,La Liga,2021_2022,sofascore
96365.0,Iñigo Ruiz de Galarreta,,,La Liga,2021_2022,sofascore
96366.0,Paco Alcácer,,,La Liga,2021_2022,sofascore
96367.0,Rafinha Alcântara,,,La Liga,2021_2022,sofascore
96369.0,Juanmi,,,La Liga,2021_2022,sofascore
96370.0,Suso,,,La Liga,2021_2022,sofascore
96373.0,José Campaña,,,La Liga,2021_2022,sofascore
96544.0,Geoffrey Kondogbia,,,La Liga,2021_2022,sofascore
96547.0,Samuel Umtiti,2817.0,FC Barcelona,La Liga,2021_2022,sofascore
97951.0,Stole Dimitrievski,2818.0,Rayo Vallecano,La Liga,2021_2022,sofascore
97967.0,Okay Yokuşlu,,,La Liga,2021_2022,sofascore
99104.0,Iñigo Pérez,,,La Liga,2021_2022,sofascore
99516.0,Aitor Fernández,2849.0,Levante UD,La Liga,2021_2022,sofascore
99517.0,Martín Montoya,,,La Liga,2021_2022,sofascore
99519.0,Marc Bartra,,,La Liga,2021_2022,sofascore
101156.0,Nikola Maraš,,,La Liga,2021_2022,sofascore
103417.0,Isco,,,La Liga,2021_2022,sofascore
105697.0,Serge Aurier,,,La Liga,2021_2022,sofascore
105971.0,Enzo Roco,,,La Liga,2021_2022,sofascore
106572.0,Carlos Bacca,,,La Liga,2021_2022,sofascore
106726.0,Tomás Pina,,,La Liga,2021_2022,sofascore
107128.0,Lucas Pérez,,,La Liga,2021_2022,sofascore
108736.0,Stefan Mitrović,,,La Liga,2021_2022,sofascore
110783.0,Sergi Darder,,,La Liga,2021_2022,sofascore
111803.0,Youssouf Sabaly,,,La Liga,2021_2022,sofascore
113593.0,Asier Illarramendi,2824.0,Real Sociedad,La Liga,2021_2022,sofascore
114155.0,Rubén Rochina,,,La Liga,2021_2022,sofascore
114157.0,Cristian Tello,,,La Liga,2021_2022,sofascore
116607.0,Fidel,,,La Liga,2021_2022,sofascore
116955.0,Saúl Ñíguez,,,La Liga,2021_2022,sofascore
119159.0,Philippe Coutinho,,,La Liga,2021_2022,sofascore
122630.0,Darío Benedetto,,,La Liga,2021_2022,sofascore
122634.0,Iván Marcone,,,La Liga,2021_2022,sofascore
122702.0,Erik Lamela,,,La Liga,2021_2022,sofascore
122810.0,Aïssa Mandi,,,La Liga,2021_2022,sofascore
122951.0,Casemiro,,,La Liga,2021_2022,sofascore
123207.0,Benjamin Lecomte,2836.0,Atlético Madrid,La Liga,2021_2022,sofascore
123223.0,Willian José,,,La Liga,2021_2022,sofascore
123865.0,Jasper Cillessen,2828.0,Valencia,La Liga,2021_2022,sofascore
123906.0,Jesús Corona,,,La Liga,2021_2022,sofascore
123976.0,Sergi Roberto,,,La Liga,2021_2022,sofascore
123977.0,Nolito,,,La Liga,2021_2022,sofascore
124737.0,Gabriel Paulista,,,La Liga,2021_2022,sofascore
124950.0,Bebé,,,La Liga,2021_2022,sofascore
125625.0,Sergi Gómez,,,La Liga,2021_2022,sofascore
127585.0,Néstor Araujo,,,La Liga,2021_2022,sofascore
128383.0,Gerónimo Rulli,2819.0,Villarreal,La Liga,2021_2022,sofascore
128637.0,Allan Nyom,2859.0,Getafe,La Liga,2021_2022,sofascore
129452.0,Vitolo,,,La Liga,2021_2022,sofascore
135116.0,David López,,,La Liga,2021_2022,sofascore
137978.0,William Carvalho,,,La Liga,2021_2022,sofascore
138381.0,Álvaro Vadillo,2814.0,Espanyol,La Liga,2021_2022,sofascore
138383.0,Denis Suárez,,,La Liga,2021_2022,sofascore
138387.0,Raúl de Tomás,,,La Liga,2021_2022,sofascore
138546.0,Ludwig Augustinsson,,,La Liga,2021_2022,sofascore
138572.0,Dani Carvajal,,,La Liga,2021_2022,sofascore
