whoscored_match_id,venue_name,manager_home,manager_away,ht_score,ft_score,attendance,referee_id_whoscored,referee_name,start_time
1485537,Selhurst Park,Roy Hodgson,Mikel Arteta,0 : 1,1 : 3,6500.0,99,Anthony Taylor,2021-05-19T20:00:00
1485538,Emirates Stadium,Mikel Arteta,Carlo Ancelotti,0 : 0,0 : 1,,102,Jonathan Moss,2021-04-23T21:00:00
1485539,Goodison Park,Carlo Ancelotti,Nuno Espírito Santo,0 : 0,1 : 0,6068.0,125,Andy Madley,2021-05-19T19:00:00
1485540,Villa Park,Dean Smith,Sam Allardyce,1 : 1,2 : 2,,81,Stuart Attwell,2021-04-25T20:00:00
1485541,Old Trafford,Ole Gunnar Solskjær,Scott Parker,1 : 0,1 : 1,9347.0,83,Lee Mason,2021-05-18T19:00:00
1485542,Craven Cottage,Scott Parker,José Mourinho,0 : 1,0 : 1,,150,David Coote,2021-03-04T19:00:00
1485543,St. James' Park,Steve Bruce,Paul Heckingbottom,1 : 0,1 : 0,10000.0,998,Robert Jones,2021-05-19T19:00:00
1485544,Elland Road,Marcelo Bielsa,Ole Gunnar Solskjær,0 : 0,0 : 0,,104,Craig Pawson,2021-04-25T15:00:00
1485545,St. Mary's Stadium,Ralph Hasenhüttl,Marcelo Bielsa,0 : 0,0 : 2,7291.0,133,Peter Bankes,2021-05-18T19:00:00
1485546,King Power Stadium,Brendan Rodgers,Roy Hodgson,0 : 1,2 : 1,,131,Graham Scott,2021-04-26T21:00:00
1485547,Tottenham Hotspur Stadium,Ryan Mason,Dean Smith,1 : 2,1 : 2,10000.0,104,Craig Pawson,2021-05-19T19:00:00
1485548,Anfield,Jürgen Klopp,Steve Bruce,1 : 0,1 : 1,,107,Andre Marriner,2021-04-24T13:30:00
1485549,The Hawthorns,Sam Allardyce,David Moyes,1 : 1,1 : 3,5371.0,89,Michael Oliver,2021-05-19T21:15:00
1485550,Etihad Stadium,Josep Guardiola,Ralph Hasenhüttl,3 : 1,5 : 2,,102,Jonathan Moss,2021-03-10T19:00:00
1485551,Emirates Stadium,Mikel Arteta,Graham Potter,0 : 0,2 : 0,10000.0,102,Jonathan Moss,2021-05-23T17:00:00
1485552,Bramall Lane,Paul Heckingbottom,Graham Potter,1 : 0,1 : 0,,120,Kevin Friend,2021-04-24T21:00:00
1485553,Villa Park,Dean Smith,Thomas Tuchel,1 : 0,2 : 1,10000.0,81,Stuart Attwell,2021-05-23T17:00:00
1485554,London Stadium,David Moyes,Thomas Tuchel,0 : 1,0 : 1,,780,Chris Kavanagh,2021-04-24T18:30:00
1485555,Craven Cottage,Scott Parker,Steve Bruce,0 : 1,0 : 2,2000.0,780,Chris Kavanagh,2021-05-23T17:00:00
1485556,Molineux Stadium,Nuno Espírito Santo,Sean Dyche,0 : 3,0 : 4,,132,Darren England,2021-04-25T13:00:00
1485557,Elland Road,Marcelo Bielsa,Sam Allardyce,2 : 0,3 : 1,8000.0,150,David Coote,2021-05-23T17:00:00
1485558,King Power Stadium,Brendan Rodgers,Ryan Mason,1 : 1,2 : 4,8000.0,99,Anthony Taylor,2021-05-23T17:00:00
1485559,Anfield,Jürgen Klopp,Roy Hodgson,1 : 0,2 : 0,9901.0,104,Craig Pawson,2021-05-23T17:00:00
1485560,Etihad Stadium,Josep Guardiola,Carlo Ancelotti,2 : 0,5 : 0,10000.0,89,Michael Oliver,2021-05-23T17:00:00
1485561,Bramall Lane,Paul Heckingbottom,Sean Dyche,1 : 0,1 : 0,5096.0,120,Kevin Friend,2021-05-23T17:00:00
1485562,London Stadium,David Moyes,Ralph Hasenhüttl,2 : 0,3 : 0,,86,Martin Atkinson,2021-05-23T17:00:00
1485563,Molineux Stadium,Nuno Espírito Santo,Ole Gunnar Solskjær,1 : 2,1 : 2,4500.0,85,Mike Dean,2021-05-23T17:00:00
