whoscored_team_id,team_name,season,competition,data_source
184,Burnley,2020/21,Premier League,whoscored
32,Man Utd,2020/21,Premier League,whoscored
167,Man City,2020/21,Premier League,whoscored
24,Aston Villa,2020/21,Premier League,whoscored
162,Crystal Palace,2020/21,Premier League,whoscored
18,Southampton,2020/21,Premier League,whoscored
170,Fulham,2020/21,Premier League,whoscored
13,Arsenal,2020/21,Premier League,whoscored
26,Liverpool,2020/21,Premier League,whoscored
19,Leeds,2020/21,Premier League,whoscored
30,Tottenham,2020/21,Premier League,whoscored
31,Everton,2020/21,Premier League,whoscored
175,WBA,2020/21,Premier League,whoscored
14,Leicester,2020/21,Premier League,whoscored
29,West Ham,2020/21,Premier League,whoscored
23,Newcastle,2020/21,Premier League,whoscored
211,Brighton,2020/21,Premier League,whoscored
15,Chelsea,2020/21,Premier League,whoscored
163,Sheff Utd,2020/21,Premier League,whoscored
161,Wolves,2020/21,Premier League,whoscored
