understat_player_id,player_name,team_name,competition,season,source
1822,Antonio Rüdiger,Real Madrid,La Liga,2025_2026,understat
200,Andreas Christensen,Barcelona,La Liga,2025_2026,understat
2163,Diego Llorente,Real Betis,La Liga,2025_2026,understat
2183,Rubén García,Osasuna,La Liga,2025_2026,understat
2228,Aritz Elustondo,Real Sociedad,La Liga,2025_2026,understat
2229,Yuri,Athletic Club,La Liga,2025_2026,understat
2234,Mikel Oyarzabal,Real Sociedad,La Liga,2025_2026,understat
2255,Isco,Real Betis,La Liga,2025_2026,understat
2269,Koke,Atletico Madrid,La Liga,2025_2026,understat
227,Robert Lewandowski,Barcelona,La Liga,2025_2026,understat
2270,Antoine Griezmann,Atletico Madrid,La Liga,2025_2026,understat
2308,Denis Suárez,Alaves,La Liga,2025_2026,understat
2328,Thomas Partey,Villarreal,La Liga,2025_2026,understat
2335,Pablo Fornals,Real Betis,La Liga,2025_2026,understat
2378,Daniel Parejo,Villarreal,La Liga,2025_2026,understat
2379,João Cancelo,Barcelona,La Liga,2025_2026,understat
2399,Iñaki Williams,Athletic Club,La Liga,2025_2026,understat
2478,Carlos Soler,Real Sociedad,La Liga,2025_2026,understat
2551,Pepelu,Valencia,La Liga,2025_2026,understat
2597,Dani Calvo,Real Oviedo,La Liga,2025_2026,understat
2609,Gerard Gumbau,Rayo Vallecano,La Liga,2025_2026,understat
2621,Sergi Darder,Mallorca,La Liga,2025_2026,understat
3423,Kylian Mbappe-Lottin,Real Madrid,La Liga,2025_2026,understat
3425,Thomas Lemar,Girona,La Liga,2025_2026,understat
3621,Neal Maupay,Sevilla,La Liga,2025_2026,understat
391,David Alaba,Real Madrid,La Liga,2025_2026,understat
4120,Álex Moreno,Girona,La Liga,2025_2026,understat
4160,David Costas,Real Oviedo,La Liga,2025_2026,understat
4175,Pere Milla,Espanyol,La Liga,2025_2026,understat
492,Héctor Bellerín,Real Betis,La Liga,2025_2026,understat
498,Alexis Sánchez,Sevilla,La Liga,2025_2026,understat
5050,Clement Lenglet,Atletico Madrid,La Liga,2025_2026,understat
5062,Yeray Álvarez,Athletic Club,La Liga,2025_2026,understat
5073,Florian Lejeune,Rayo Vallecano,La Liga,2025_2026,understat
5074,Kike García,Espanyol,La Liga,2025_2026,understat
5081,Edu Expósito,Espanyol,La Liga,2025_2026,understat
5086,Marc Roca,Real Betis,La Liga,2025_2026,understat
5091,Alex Berenguer,Athletic Club,La Liga,2025_2026,understat
5162,Nacho Vidal,Real Oviedo,La Liga,2025_2026,understat
5179,Jon Guridi,Alaves,La Liga,2025_2026,understat
5556,Ademola Lookman,Atletico Madrid,La Liga,2025_2026,understat
5615,Valentin Rosier,Osasuna,La Liga,2025_2026,understat
5656,Nicolas Pepe,Villarreal,La Liga,2025_2026,understat
5672,Iván Balliu,Rayo Vallecano,La Liga,2025_2026,understat
5681,Giovani Lo Celso,Real Betis,La Liga,2025_2026,understat
6087,Takuma Asano,Mallorca,La Liga,2025_2026,understat
6149,Unai Núñez,Valencia,La Liga,2025_2026,understat
6168,Leandro Cabrera,Espanyol,La Liga,2025_2026,understat
6170,André Silva,Elche,La Liga,2025_2026,understat
6241,Federico Valverde,Real Madrid,La Liga,2025_2026,understat
6242,Johan Mojica,Mallorca,La Liga,2025_2026,understat
6400,Antonio Martínez,Alaves,La Liga,2025_2026,understat
6421,Brahim Diaz,Real Madrid,La Liga,2025_2026,understat
6433,Jules Koundé,Barcelona,La Liga,2025_2026,understat
6441,Ferrán Torres,Barcelona,La Liga,2025_2026,understat
6531,Alexander Sørloth,Atletico Madrid,La Liga,2025_2026,understat
6560,Aurelien Tchouameni,Real Madrid,La Liga,2025_2026,understat
6592,Manuel Morlanes,Mallorca,La Liga,2025_2026,understat
6637,Hugo Duro,Valencia,La Liga,2025_2026,understat
6651,Grady Diangana,Elche,La Liga,2025_2026,understat
6656,Sergio Gómez,Real Sociedad,La Liga,2025_2026,understat
6931,Fran Beltrán,Girona,La Liga,2025_2026,understat
6954,Juan Camilo Hernández,Real Betis,La Liga,2025_2026,understat
7007,Duje Caleta-Car,Real Sociedad,La Liga,2025_2026,understat
7008,Vinícius Júnior,Real Madrid,La Liga,2025_2026,understat
7020,Gorka Guruzeta,Athletic Club,La Liga,2025_2026,understat
7050,Lucas Torró,Osasuna,La Liga,2025_2026,understat
7070,Santiago Comesaña,Villarreal,La Liga,2025_2026,understat
7086,David Hancko,Atletico Madrid,La Liga,2025_2026,understat
7306,Aihen Muñoz,Real Sociedad,La Liga,2025_2026,understat
7308,Ander Barrenetxea,Real Sociedad,La Liga,2025_2026,understat
7338,Bryan Gil Salvatierra,Girona,La Liga,2025_2026,understat
7359,Eduardo Camavinga,Real Madrid,La Liga,2025_2026,understat
7385,Javi Galán,Osasuna,La Liga,2025_2026,understat
