whoscored_team_id,team_name,season,competition,data_source
614,Angers,2022/23,Ligue 1,whoscored
302,Nantes,2022/23,Ligue 1,whoscored
941,Clermont Foot,2022/23,Ligue 1,whoscored
304,PSG,2022/23,Ligue 1,whoscored
607,Lille,2022/23,Ligue 1,whoscored
308,Auxerre,2022/23,Ligue 1,whoscored
311,Montpellier,2022/23,Ligue 1,whoscored
229,Troyes,2022/23,Ligue 1,whoscored
228,Lyon,2022/23,Ligue 1,whoscored
610,AC Ajaccio,2022/23,Ligue 1,whoscored
249,Marseille,2022/23,Ligue 1,whoscored
950,Reims,2022/23,Ligue 1,whoscored
309,Lens,2022/23,Ligue 1,whoscored
2332,Brest,2022/23,Ligue 1,whoscored
148,Strasbourg,2022/23,Ligue 1,whoscored
248,Monaco,2022/23,Ligue 1,whoscored
313,Rennes,2022/23,Ligue 1,whoscored
146,Lorient,2022/23,Ligue 1,whoscored
246,Toulouse,2022/23,Ligue 1,whoscored
613,Nice,2022/23,Ligue 1,whoscored
