whoscored_team_id,team_name,season,competition,data_source
189,Brentford,2021/22,Premier League,whoscored
13,Arsenal,2021/22,Premier League,whoscored
184,Burnley,2021/22,Premier League,whoscored
211,Brighton,2021/22,Premier League,whoscored
15,Chelsea,2021/22,Premier League,whoscored
162,Crystal Palace,2021/22,Premier League,whoscored
31,Everton,2021/22,Premier League,whoscored
18,Southampton,2021/22,Premier League,whoscored
14,Leicester,2021/22,Premier League,whoscored
161,Wolves,2021/22,Premier League,whoscored
32,Man Utd,2021/22,Premier League,whoscored
19,Leeds,2021/22,Premier League,whoscored
23,Newcastle,2021/22,Premier League,whoscored
29,West Ham,2021/22,Premier League,whoscored
168,Norwich,2021/22,Premier League,whoscored
26,Liverpool,2021/22,Premier League,whoscored
30,Tottenham,2021/22,Premier League,whoscored
167,Man City,2021/22,Premier League,whoscored
27,Watford,2021/22,Premier League,whoscored
24,Aston Villa,2021/22,Premier League,whoscored
