whoscored_player_id,name,whoscored_team_id,position,shirt_no,season,source,competition
141044,Antonio Sivera,60,GK,1,2025/26,whoscored,La Liga
115917,Jonny,60,DR,17,2025/26,whoscored,La Liga
337454,Facundo Garcés,60,DC,2,2025/26,whoscored,La Liga
347874,Nahuel Tenaglia,60,DC,14,2025/26,whoscored,La Liga
375342,Moussa Diarra,60,DL,22,2025/26,whoscored,La Liga
462861,Carlos Vicente,60,MR,7,2025/26,whoscored,La Liga
409467,Antonio Blanco,60,MC,8,2025/26,whoscored,La Liga
444254,Pablo Ibáñez,60,MC,19,2025/26,whoscored,La Liga
303268,Carles Aleñá,60,ML,10,2025/26,whoscored,La Liga
280060,Toni Martínez,60,FW,11,2025/26,whoscored,La Liga
335041,Jon Guridi,60,FW,18,2025/26,whoscored,La Liga
463966,Victor Parada,60,Sub,24,2025/26,whoscored,La Liga
344120,Ander Guevara,60,Sub,6,2025/26,whoscored,La Liga
106525,Denis Suárez,60,Sub,4,2025/26,whoscored,La Liga
323236,Mariano Díaz,60,Sub,9,2025/26,whoscored,La Liga
362393,Carlos Protesoni,60,Sub,23,2025/26,whoscored,La Liga
447835,Abde Rebbach,60,Sub,21,2025/26,whoscored,La Liga
397568,Calebe,60,Sub,20,2025/26,whoscored,La Liga
504384,Rúben Montero,60,Sub,33,2025/26,whoscored,La Liga
519969,Youssef Enríquez,60,Sub,3,2025/26,whoscored,La Liga
395320,Jon Pacheco,60,Sub,5,2025/26,whoscored,La Liga
33451,Raúl Fernández,60,Sub,13,2025/26,whoscored,La Liga
561841,Lander Pinillos,60,Sub,28,2025/26,whoscored,La Liga
76662,Jan Oblak,63,GK,13,2025/26,whoscored,La Liga
254582,Marcos Llorente,63,DR,14,2025/26,whoscored,La Liga
236511,Clément Lenglet,63,DC,15,2025/26,whoscored,La Liga
367008,Robin Le Normand,63,DC,24,2025/26,whoscored,La Liga
362779,Dávid Hancko,63,DL,17,2025/26,whoscored,La Liga
422918,Giuliano Simeone,63,MR,20,2025/26,whoscored,La Liga
379230,Johnny Cardoso,63,MC,5,2025/26,whoscored,La Liga
434138,Pablo Barrios,63,MC,8,2025/26,whoscored,La Liga
361732,Thiago Almada,63,ML,11,2025/26,whoscored,La Liga
365409,Julián Alvarez,63,FW,19,2025/26,whoscored,La Liga
302497,Alexander Sørloth,63,FW,9,2025/26,whoscored,La Liga
80241,Antoine Griezmann,63,Sub,7,2025/26,whoscored,La Liga
371497,Giacomo Raspadori,63,Sub,22,2025/26,whoscored,La Liga
402046,Matteo Ruggeri,63,Sub,3,2025/26,whoscored,La Liga
80764,Koke,63,Sub,6,2025/26,whoscored,La Liga
375621,Conor Gallagher,63,Sub,4,2025/26,whoscored,La Liga
126278,Juan Musso,63,Sub,1,2025/26,whoscored,La Liga
303728,Nahuel Molina,63,Sub,16,2025/26,whoscored,La Liga
369497,Javi Galán,63,Sub,21,2025/26,whoscored,La Liga
565341,Salvi Esquivel,63,Sub,31,2025/26,whoscored,La Liga
427360,Carlos Martín,63,Sub,23,2025/26,whoscored,La Liga
430148,Marc Pubill,63,Sub,18,2025/26,whoscored,La Liga
534586,Jano Monserrate,63,Sub,27,2025/26,whoscored,La Liga
578871,Iván Corralejo,54,Sub,50,2025/26,whoscored,La Liga
467133,Grégoire Swiderski,60,Sub,31,2025/26,whoscored,La Liga
381674,Sergio Herrera,131,GK,1,2025/26,whoscored,La Liga
447842,Enzo Boyomo,131,DC,22,2025/26,whoscored,La Liga
374638,Alejandro Catena,131,DC,24,2025/26,whoscored,La Liga
96566,Juan Cruz,131,DC,3,2025/26,whoscored,La Liga
319388,Valentin Rosier,131,DMR,19,2025/26,whoscored,La Liga
461771,Abel Bretones,131,DML,23,2025/26,whoscored,La Liga
381673,Jon Moncayola,131,MC,7,2025/26,whoscored,La Liga
249960,Lucas Torró,131,MC,6,2025/26,whoscored,La Liga
395321,Aimar Oroz,131,AMC,10,2025/26,whoscored,La Liga
119189,Rubén García,131,AMC,14,2025/26,whoscored,La Liga
98126,Ante Budimir,131,FW,17,2025/26,whoscored,La Liga
383924,Raúl García,131,Sub,9,2025/26,whoscored,La Liga
101238,Moi Gómez,131,Sub,16,2025/26,whoscored,La Liga
548106,Víctor Muñoz,131,Sub,21,2025/26,whoscored,La Liga
462462,Dimitrios Stamatakis,131,Sub,31,2025/26,whoscored,La Liga
336251,Kike Barja,131,Sub,11,2025/26,whoscored,La Liga
444253,Jorge Herrando,131,Sub,5,2025/26,whoscored,La Liga
91194,Aitor Fernández,131,Sub,13,2025/26,whoscored,La Liga
474267,Iker Muñoz,131,Sub,8,2025/26,whoscored,La Liga
518928,Asier Osambela,131,Sub,29,2025/26,whoscored,La Liga
537201,Raúl Chasco,131,Sub,34,2025/26,whoscored,La Liga
578366,Mauro Echegoyen,131,Sub,26,2025/26,whoscored,La Liga
296723,Ionut Radu,62,GK,13,2025/26,whoscored,La Liga
508331,Javi Rodríguez,62,DC,32,2025/26,whoscored,La Liga
415344,Carlos Domínguez,62,DC,24,2025/26,whoscored,La Liga
578374,Manu Fernández,62,DC,12,2025/26,whoscored,La Liga
463588,Javi Rueda,62,DMR,17,2025/26,whoscored,La Liga
386622,Sergio Carreira,62,DML,5,2025/26,whoscored,La Liga
462768,Miguel Román,62,MC,16,2025/26,whoscored,La Liga
415345,Hugo Sotelo,62,MC,22,2025/26,whoscored,La Liga
91242,Iago Aspas,62,FWR,10,2025/26,whoscored,La Liga
459082,Pablo Durán,62,FW,18,2025/26,whoscored,La Liga
429273,Bryan Zaragoza,62,FWL,15,2025/26,whoscored,La Liga
409030,Ilaix Moriba,62,Sub,6,2025/26,whoscored,La Liga
259042,Borja Iglesias,62,Sub,7,2025/26,whoscored,La Liga
397469,Óscar Mingueza,62,Sub,3,2025/26,whoscored,La Liga
427001,Hugo Álvarez,62,Sub,23,2025/26,whoscored,La Liga
444227,Williot Swedberg,62,Sub,19,2025/26,whoscored,La Liga
244778,Mihailo Ristic,62,Sub,21,2025/26,whoscored,La Liga
528001,Yoel Lago,62,Sub,29,2025/26,whoscored,La Liga
323350,Iván Villar,62,Sub,1,2025/26,whoscored,La Liga
