whoscored_match_id,season,match_date,attendance,competition
1914014,2025/26,2025-11-30,14005,La Liga
1914015,2025/26,2025-11-29,15457,La Liga
1914016,2025/26,2025-12-01,11267,La Liga
1914017,2025/26,2025-11-30,30140,La Liga
1914018,2025/26,2025-11-29,44834,La Liga
1914019,2025/26,2025-11-29,19848,La Liga
1914020,2025/26,2025-11-30,42580,La Liga
1914021,2025/26,2025-11-28,7697,La Liga
1914022,2025/26,2025-12-06,18132,La Liga
1914023,2025/26,2025-12-06,48904,La Liga
1914024,2025/26,2025-12-07,23374,La Liga
1914025,2025/26,2025-12-07,28110,La Liga
1914026,2025/26,2025-12-06,64562,La Liga
1914027,2025/26,2025-12-07,74511,La Liga
1914028,2025/26,2025-12-06,17089,La Liga
1914029,2025/26,2025-12-08,18160,La Liga
1914030,2025/26,2025-12-05,23333,La Liga
1914031,2025/26,2025-12-07,44369,La Liga
1914032,2025/26,2025-12-14,19290,La Liga
1914033,2025/26,2025-12-13,61011,La Liga
1914034,2025/26,2025-12-13,42058,La Liga
1914035,2025/26,2026-02-18,18153,La Liga
1914036,2025/26,2025-12-14,20505,La Liga
1914037,2025/26,2025-12-15,11489,La Liga
1914038,2025/26,2025-12-13,16199,La Liga
1914039,2025/26,2025-12-13,7443,La Liga
1914040,2025/26,2025-12-12,26122,La Liga
1914041,2025/26,2025-12-14,32885,La Liga
1914042,2025/26,2025-12-22,47856,La Liga
1914043,2025/26,2025-12-21,54365,La Liga
1914044,2025/26,2025-12-21,23765,La Liga
1914045,2025/26,2025-12-20,17346,La Liga
1914046,2025/26,2025-12-20,72062,La Liga
1914047,2025/26,2025-12-20,20408,La Liga
1914048,2025/26,2025-12-21,12363,La Liga
1914049,2025/26,2025-12-21,20701,La Liga
1914050,2025/26,2025-12-20,23613,La Liga
1914051,2025/26,2025-12-19,41179,La Liga
1914052,2025/26,2026-01-04,17345,La Liga
1914053,2025/26,2026-01-03,20475,La Liga
1914054,2025/26,2026-01-03,27078,La Liga
1914055,2025/26,2026-01-03,22010,La Liga
1914056,2025/26,2026-01-04,31576,La Liga
1914057,2025/26,2026-01-03,36283,La Liga
1914058,2025/26,2026-01-04,75190,La Liga
1914059,2025/26,2026-01-02,12544,La Liga
1914060,2025/26,2026-01-04,16011,La Liga
1914061,2025/26,2026-01-04,25303,La Liga
1914062,2025/26,2025-12-03,51313,La Liga
1914063,2025/26,2026-01-09,7497,La Liga
1914064,2025/26,2026-01-10,12059,La Liga
1914065,2025/26,2026-01-10,17011,La Liga
1914066,2025/26,2025-12-02,45205,La Liga
1914067,2025/26,2026-01-10,25549,La Liga
1914068,2025/26,2026-01-12,31383,La Liga
1914069,2025/26,2026-01-10,44949,La Liga
1914070,2025/26,2026-01-11,20501,La Liga
1914071,2025/26,2026-01-11,12223,La Liga
