whoscored_match_id,match_date,season,competition,attendance,data_source
1946449,2026-01-28,2025/26,Champions League,26361.0,whoscored
1946450,2025-11-26,2025/26,Champions League,41634.0,whoscored
1946451,2025-09-18,2025/26,Champions League,25007.0,whoscored
1946452,2026-01-20,2025/26,Champions League,11324.0,whoscored
1946453,2025-09-30,2025/26,Champions League,59401.0,whoscored
1946454,2026-01-28,2025/26,Champions League,58000.0,whoscored
1946457,2025-09-30,2025/26,Champions League,65771.0,whoscored
1946458,2025-12-09,2025/26,Champions League,16214.0,whoscored
1946459,2025-10-22,2025/26,Champions League,46766.0,whoscored
1946460,2025-12-09,2025/26,Champions League,47281.0,whoscored
1946461,2025-09-30,2025/26,Champions League,7988.0,whoscored
1946462,2025-11-25,2025/26,Champions League,64521.0,whoscored
1946463,2025-11-04,2025/26,Champions League,49565.0,whoscored
1946464,2025-10-22,2025/26,Champions League,11365.0,whoscored
1946465,2025-10-01,2025/26,Champions League,47364.0,whoscored
1946466,2025-10-21,2025/26,Champions League,34700.0,whoscored
1946467,2025-09-17,2025/26,Champions League,18922.0,whoscored
1946468,2025-11-04,2025/26,Champions League,7842.0,whoscored
1946469,2025-11-25,2025/26,Champions League,32019.0,whoscored
1946470,2025-10-22,2025/26,Champions League,45275.0,whoscored
1946471,2026-01-20,2025/26,Champions League,35022.0,whoscored
1946472,2025-09-18,2025/26,Champions League,38696.0,whoscored
1946473,2026-01-28,2025/26,Champions League,52065.0,whoscored
1946474,2025-11-04,2025/26,Champions League,32570.0,whoscored
1946475,2026-01-28,2025/26,Champions League,51719.0,whoscored
1946476,2025-09-17,2025/26,Champions League,32050.0,whoscored
1946477,2025-12-09,2025/26,Champions League,19463.0,whoscored
1946478,2025-11-05,2025/26,Champions League,51000.0,whoscored
1946479,2025-12-10,2025/26,Champions League,31090.0,whoscored
1946480,2025-11-25,2025/26,Champions League,19169.0,whoscored
1946481,2026-01-28,2025/26,Champions League,5109.0,whoscored
1946482,2025-09-16,2025/26,Champions League,35000.0,whoscored
1946483,2026-01-21,2025/26,Champions League,52076.0,whoscored
1946484,2025-12-09,2025/26,Champions League,9887.0,whoscored
1946485,2025-10-22,2025/26,Champions League,50741.0,whoscored
1946486,2025-11-26,2025/26,Champions League,8347.0,whoscored
1946487,2025-11-05,2025/26,Champions League,51923.0,whoscored
1946488,2025-11-25,2025/26,Champions League,45444.0,whoscored
1946489,2025-10-01,2025/26,Champions League,30250.0,whoscored
1946490,2025-10-01,2025/26,Champions League,16038.0,whoscored
1946491,2025-10-21,2025/26,Champions League,16478.0,whoscored
1946492,2025-11-26,2025/26,Champions League,30231.0,whoscored
1967237,2026-02-17,2025/26,Champions League,66387.0,whoscored
1967238,2026-02-25,2025/26,Champions League,76745.0,whoscored
1967239,2026-02-18,2025/26,Champions League,7845.0,whoscored
1967240,2026-02-24,2025/26,Champions League,70441.0,whoscored
1967241,2026-02-17,2025/26,Champions League,10287.0,whoscored
1967242,2026-02-25,2025/26,Champions League,47511.0,whoscored
1967243,2026-02-18,2025/26,Champions League,28861.0,whoscored
1967244,2026-02-24,2025/26,Champions League,50068.0,whoscored
1967245,2026-02-17,2025/26,Champions League,49977.0,whoscored
1967246,2026-02-25,2025/26,Champions League,41421.0,whoscored
1967247,2026-02-18,2025/26,Champions League,25235.0,whoscored
1967248,2026-02-24,2025/26,Champions League,66756.0,whoscored
1967249,2026-02-24,2025/26,Champions League,30210.0,whoscored
1967250,2026-02-17,2025/26,Champions League,76900.0,whoscored
1967251,2026-02-25,2025/26,Champions League,21234.0,whoscored
1967252,2026-02-18,2025/26,Champions League,32300.0,whoscored
1972180,2026-03-18,2025/26,Champions League,75000.0,whoscored
1972181,2026-03-10,2025/26,Champions League,52103.0,whoscored
1972182,2026-03-10,2025/26,Champions League,51373.0,whoscored
1972183,2026-03-10,2025/26,Champions League,64168.0,whoscored
1972184,2026-03-18,2025/26,Champions League,59980.0,whoscored
1972185,2026-03-18,2025/26,Champions League,56662.0,whoscored
1972186,2026-03-18,2025/26,Champions League,49568.0,whoscored
1972187,2026-03-10,2025/26,Champions League,22557.0,whoscored
1972188,2026-03-11,2025/26,Champions League,7971.0,whoscored
1972189,2026-03-11,2025/26,Champions League,30210.0,whoscored
1972190,2026-03-17,2025/26,Champions League,49155.0,whoscored
1972191,2026-03-17,2025/26,Champions League,57537.0,whoscored
1972192,2026-03-11,2025/26,Champions League,47566.0,whoscored
1972193,2026-03-17,2025/26,Champions League,35811.0,whoscored
1972194,2026-03-11,2025/26,Champions League,76066.0,whoscored
1972195,2026-03-17,2025/26,Champions League,51103.0,whoscored
1974917,2026-04-07,2025/26,Champions League,50804.0,whoscored
1974918,2026-04-15,2025/26,Champions League,58249.0,whoscored
1974941,2026-04-07,2025/26,Champions League,77106.0,whoscored
1974942,2026-04-15,2025/26,Champions League,75000.0,whoscored
1974943,2026-04-08,2025/26,Champions League,59522.0,whoscored
1974944,2026-04-14,2025/26,Champions League,69268.0,whoscored
1974945,2026-04-14,2025/26,Champions League,59627.0,whoscored
1974946,2026-04-08,2025/26,Champions League,47511.0,whoscored
1978405,2026-05-05,2025/26,Champions League,58874.0,whoscored
1978406,2026-04-28,2025/26,Champions League,47511.0,whoscored
1978407,2026-05-06,2025/26,Champions League,75000.0,whoscored
1978408,2026-04-29,2025/26,Champions League,68421.0,whoscored
1979569,,2025/26,Champions League,,whoscored
