id_sofascore,canonical_name
887055.0,Cucho Hernández
891505.0,Goduine Koyalipou
891511.0,Javi Puado
891931.0,Ander Guevara
892235.0,David Carmo
892521.0,Unai Núñez
893062.0,Aitor Ruibal
893642.0,Marash Kumbulla
896073.0,Nahuel Tenaglia
897902.0,Juan Cruz
899982.0,Isi Palazón
900003.0,Jorge de Frutos
900008.0,Óscar Valentín
900433.0,Luis Rioja
900669.0,Pedro Díaz
900792.0,Alejandro Catena
901325.0,Nicolás González
904970.0,Conor Gallagher
905639.0,Kwasi Sibo
909119.0,Hugo Duro
909554.0,Roger Brugué
909966.0,Largie Ramazani
910024.0,Sergio Camello
910026.0,Bryan Gil
910031.0,Alex Baena
910267.0,Jesús Areso
910536.0,Rodrygo
910978.0,Dani Vivian
913679.0,Pathé Ismaël Ciss
913695.0,José Copete
914744.0,Cristian Rivero
914765.0,Gonzalo Villar
914835.0,Junior Firpo
925097.0,Ronald Araújo
927066.0,Pablo Martínez
928672.0,Adrià Pedrosa
930267.0,Joan García
932764.0,Randy Nteka
934351.0,Miguel Rubio
934383.0,Jon Pacheco
942836.0,Haissem Hassan
944165.0,Robert Navarro
944225.0,Jorge Herrando
944629.0,Nicolas Fonseca
944656.0,Julián Alvarez
944660.0,Thiago Almada
945404.0,Javi López
946381.0,Akor Adams
949156.0,Luka Sučić
949707.0,Juan Iglesias
949722.0,Antonio Sánchez
949962.0,Ferran Jutglà
952222.0,Víctor García
958380.0,Antony
959872.0,Aitor Paredes
960006.0,Lucien Agoumé
962029.0,Lucas Beltrán
962710.0,Germán Valera
962890.0,Ilaix Moriba
964983.0,Álvaro Valles
965011.0,Matteo Ruggeri
965031.0,Andrei Rațiu
966441.0,Aihen Muñoz
966637.0,Fran Pérez
966801.0,Oihan Sancet
966802.0,Unai Vencedor
966862.0,Ander Barrenetxea
973290.0,Tajon Buchanan
973536.0,Martín Satriano
973699.0,Iván Martín
973887.0,Eduardo Camavinga
974713.0,Luis Vázquez
976104.0,Federico Viñas
976141.0,Jon Moncayola
976374.0,Vladyslav Vanat
980383.0,Raúl Moro
980410.0,Beñat Turrientes
981604.0,Alemão
984623.0,Rafa Marín
984624.0,Yéremy Pino
984789.0,Manuel Sánchez
985262.0,Moussa Diarra
985329.0,Aimar Oroz
985726.0,Victor Parada
986245.0,Sergi Cardona
988351.0,Samú Costa
988672.0,David Affengruber
989113.0,Rodrigo Riquelme
990169.0,Johnny Cardoso
991011.0,Jude Bellingham
991421.0,Azzedine Ounahi
992331.0,Iker Losada
992587.0,Pedri
996903.0,Lucas Bergström
996928.0,César Tárrega
996929.0,Jesús Vázquez
997033.0,Peque Fernández
997035.0,Alejandro Balde
997244.0,Adrián de la Fuente
997280.0,Raúl García de Haro
998950.0,Diego López
999178.0,Ville Koski
1000150.0,Zito Luvumbo
1000483.0,Marc Casadó
1002347.0,Alejandro Francés
1002764.0,Sergio Carreira
1003007.0,Tanguy Nianzou
1008037.0,Ilyas Chaira
1008259.0,Javier Rueda
1009372.0,Georges Mikautadze
1010165.0,Abel Bretones
1010383.0,Jon Ander Olasagasti
1010421.0,Josep Chavarría
1010655.0,Juanlu Sánchez
1010656.0,Carlos Álvarez
1010891.0,Mourad El Ghezouani
1011375.0,Abdessamad Ezzalzouli
1012409.0,Beñat Prados
1012410.0,Alvaro Núñez
1012444.0,Alberto Moleiro
1014042.0,Iván Romero
1014412.0,Julen Agirrezabala
1014595.0,Marc Aguado
1015240.0,José Ángel Carmona
1015287.0,Natan
1018190.0,Isaac Romero
1018547.0,Thiago Borbas
1019236.0,Jofre Carreras
1019318.0,Nico Serrano
1021165.0,Rubén Sánchez
1026015.0,Orri Óskarsson
1046796.0,Calebe Gonçalves
1063015.0,Tyrhys Dolan
1064009.0,Urko González
1064026.0,Omar El Hilali
1066045.0,Arsen Zakharyan
1066603.0,Luiz Júnior
1067582.0,Enzo Boyomo
1068891.0,Jose Salinas
1069703.0,Carlos Domínguez
1082968.0,Abderrahman Rebbach
1082981.0,Pablo Torre
1083832.0,Kervin Arriaga
1084043.0,Ibrahim Diabaté
1084081.0,Arnau Martínez
1084381.0,Pablo Ibáñez
1084399.0,Carlos Vicente
1084730.0,Bryan Zaragoza
1085081.0,Álvaro Carreras
1085400.0,Nico Williams
1086128.0,Álex Forés
1086346.0,Iker Benito
1087359.0,Renato Veiga
1087476.0,Abu Kamara
1088565.0,Ramón Terrats
1089108.0,Ilias Akhomach
1091116.0,Arda Güler
1092515.0,Yago Santiago
1092769.0,Yáser Asprilla
1094106.0,Marc Pubill
1094758.0,John Donald
1094782.0,Unai Marrero
1094827.0,Gerard Martín
1097719.0,Kike Salas
1099175.0,Jon Karrikaburu
1099344.0,Antoniu Roca
1099352.0,Giuliano Simeone
1100646.0,Martim Neto
1101232.0,Abdel Abqar
1103693.0,Pablo Gavi
1106573.0,Jhon Solís
1108450.0,Zaid Romero
1108577.0,Alberto Flores
1111081.0,Job Ochieng
1116388.0,Jon Aramburu
1117026.0,Federico Redondo
1119345.0,Obed Vargas
1119586.0,Iker Muñoz
1120504.0,Abdel Rahim
1120669.0,Hugo Sotelo
1120947.0,Jozhua Vertrouwd
1122610.0,Javier Guerra
1126447.0,Lucas Cepeda
1126779.0,Williot Swedberg
1129360.0,Clemens Riedel
1129401.0,Nelson Deossa
1131581.0,Carlos Martín
1131909.0,Leo Román
1136702.0,Mikel Goti
1137814.0,Sergi Altimira
1139409.0,Pablo Marín
1139724.0,Pelayo Fernández
1142094.0,Manu Bueno
1142588.0,Pablo Barrios
1142591.0,Javier Boñar
1142683.0,Manuel Ángel Morán
1142689.0,David Jiménez
1145100.0,Yoel Lago
1145642.0,Victor Muñoz
1149152.0,Stanis Idumbo Muzambo
1151851.0,Dawda Camara
1152139.0,Angel Ortiz
1153270.0,Fermín López
1154549.0,Mario Martín
1154587.0,Álvaro Rodriguez
1154935.0,Hugo Álvarez
1155116.0,Alex Padilla
1156645.0,Raúl Asencio
1160250.0,Tai Abed
1162107.0,Roony Bardghji
1162309.0,Javi Llabrés
1170693.0,Mateo Joseph
1170694.0,Ugo Raghouber
1172477.0,Tani Oluwaseyi
1173575.0,Jones El-Abdellaoui
1174937.0,Endrick
1176744.0,Dean Huijsen
1177401.0,Alan Matturro
1179148.0,Rayane Belaid
1184541.0,Alexander Freeman
1186010.0,Valentín Gómez
1201412.0,Thiago Fernández
1211632.0,Wesley
1216080.0,Damián Rodríguez
1216282.0,Luca Koleosho
1216309.0,Jon Gorrotxategi
1391375.0,Unai Gómez
1391616.0,Joel Roca
1391752.0,Rodrigo Mendoza
1392054.0,Coba Da Costa
1392092.0,Sebastián Boselli
1392592.0,Roberto Fernández
1393673.0,Etta Eyong
1396048.0,Carlos Romero
1398511.0,Adama Boiro
1398518.0,Álex Sancris
1398524.0,Pablo Durán
1398526.0,Miguel Román
1399702.0,Asier Osambela
1402688.0,César Palacios
