whoscored_match_id,season,match_date,attendance,competition
1604564,2021/22,2022-03-16,49048.0,Champions League
1604565,2021/22,2022-03-15,73008.0,Champions League
1604566,2021/22,2022-03-16,30385.0,Champions League
1604567,2021/22,2022-03-08,51747.0,Champions League
1604568,2021/22,2022-03-09,59895.0,Champions League
1630507,2021/22,2022-04-06,38689.0,Champions League
1630508,2021/22,2022-04-12,59839.0,Champions League
1630509,2021/22,2022-04-05,52018.0,Champions League
1630510,2021/22,2022-04-13,65675.0,Champions League
1630511,2021/22,2022-04-06,21626.0,Champions League
1630512,2021/22,2022-04-12,70000.0,Champions League
1630513,2021/22,2022-04-05,59633.0,Champions League
1630514,2021/22,2022-04-13,51373.0,Champions League
1633954,2021/22,2022-04-27,51586.0,Champions League
1633955,2021/22,2022-05-03,23665.0,Champions League
1633956,2021/22,2022-04-26,52217.0,Champions League
1633957,2021/22,2022-05-04,61416.0,Champions League
1635069,2021/22,2022-05-28,75000.0,Champions League
