whoscored_player_id,name,player_name,whoscored_team_id,team_name,position,shirt_no,competition,season,source
126278,Juan Musso,Juan Musso,300,Atalanta,GK,1,Champions League,2021/22,whoscored
100962,Berat Djimsiti,Berat Djimsiti,300,Atalanta,DC,19,Champions League,2021/22,whoscored
125810,José Palomino,José Palomino,300,Atalanta,DC,6,Champions League,2021/22,whoscored
64075,Rafael Tolói,Rafael Tolói,300,Atalanta,DC,2,Champions League,2021/22,whoscored
141312,Davide Zappacosta,Davide Zappacosta,300,Atalanta,DMR,77,Champions League,2021/22,whoscored
141726,Robin Gosens,Robin Gosens,300,Atalanta,DML,8,Champions League,2021/22,whoscored
85070,Marten de Roon,Marten de Roon,300,Atalanta,MC,15,Champions League,2021/22,whoscored
302691,Remo Freuler,Remo Freuler,300,Atalanta,MC,11,Champions League,2021/22,whoscored
362600,Matteo Pessina,Matteo Pessina,300,Atalanta,AMC,32,Champions League,2021/22,whoscored
295456,Ruslan Malinovskyi,Ruslan Malinovskyi,300,Atalanta,AMC,18,Champions League,2021/22,whoscored
41073,Duván Zapata,Duván Zapata,300,Atalanta,FW,91,Champions League,2021/22,whoscored
129903,Mario Pasalic,Mario Pasalic,300,Atalanta,Sub,88,Champions League,2021/22,whoscored
343308,Teun Koopmeiners,Teun Koopmeiners,300,Atalanta,Sub,7,Champions League,2021/22,whoscored
129354,Aleksey Miranchuk,Aleksey Miranchuk,300,Atalanta,Sub,59,Champions League,2021/22,whoscored
43194,Josip Ilicic,Josip Ilicic,300,Atalanta,Sub,72,Champions League,2021/22,whoscored
362555,Merih Demiral,Merih Demiral,300,Atalanta,Sub,28,Champions League,2021/22,whoscored
363652,Joakim Mæhle,Joakim Mæhle,300,Atalanta,Sub,3,Champions League,2021/22,whoscored
298515,Giuseppe Pezzella,Giuseppe Pezzella,300,Atalanta,Sub,13,Champions League,2021/22,whoscored
78693,Francesco Rossi,Francesco Rossi,300,Atalanta,Sub,31,Champions League,2021/22,whoscored
369414,Roberto Piccoli,Roberto Piccoli,300,Atalanta,Sub,99,Champions League,2021/22,whoscored
395847,Matteo Lovato,Matteo Lovato,300,Atalanta,Sub,66,Champions League,2021/22,whoscored
405133,Giorgio Scalvini,Giorgio Scalvini,300,Atalanta,Sub,42,Champions League,2021/22,whoscored
95504,Marco Sportiello,Marco Sportiello,300,Atalanta,Sub,57,Champions League,2021/22,whoscored
84190,Luis Muriel,Luis Muriel,300,Atalanta,Sub,9,Champions League,2021/22,whoscored
