whoscored_match_id,whoscored_player_id,whoscored_team_id,player_name,side,is_starter,position,shirt_no,age,height_cm,weight_kg,is_man_of_the_match,subbed_in_minute,subbed_out_minute,rating,passes_total,passes_accurate,passes_key,pass_success_pct,shots_total,shots_on_target,shots_off_target,shots_blocked,dribbles_attempted,dribbles_won,dribbles_lost,tackles_total,tackles_successful,interceptions,clearances,aerials_total,aerials_won,fouls_committed,was_dribbled_past,dispossessed,touches,offsides_caught,corners_total,corners_accurate,throw_ins_total,throw_ins_accurate,saves_total,saves_parried_safe,saves_parried_danger,claims_high,collected,possession_pct,data_source
1946520,504830,607,Ayyoub Bouaddi,away,True,MC,32,18,186,72,False,,,7.45,36.0,31.0,,0.0,,,,,4.0,4.0,,3.0,2.0,,3.0,4.0,2.0,2.0,1.0,,54.0,,,,,,,,,,,1.0,whoscored
1946520,366886,607,Osame Sahraoui,away,True,ML,11,24,171,65,False,,92.0,7.43,35.0,25.0,,50.0,2.0,1.0,1.0,,4.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,,,56.0,,1.0,,,,,,,,,2.0,whoscored
1946520,24444,607,Olivier Giroud,away,True,FW,9,39,193,91,False,,64.0,6.38,18.0,10.0,,50.0,1.0,1.0,,,,,,,,,,4.0,3.0,,,,26.0,,,,,,,,,,,2.0,whoscored
1946520,424252,607,Hákon Haraldsson,away,True,FW,10,23,178,73,False,,65.0,7.57,36.0,30.0,1.0,100.0,1.0,1.0,,,1.0,1.0,,,,,3.0,2.0,1.0,,,,47.0,,,,,,,,,,,3.0,whoscored
1946520,43415,607,Benjamin André,away,False,Sub,21,35,180,76,False,65.0,,6.66,21.0,13.0,1.0,50.0,,,,,,,,3.0,3.0,,1.0,1.0,,,,,28.0,,,,,,,,,,,2.0,whoscored
1946520,331466,607,Romain Perraud,away,False,Sub,15,28,173,68,False,71.0,,6.43,10.0,6.0,,100.0,,,,,,,,3.0,3.0,,1.0,2.0,1.0,1.0,,,21.0,,,,2.0,2.0,,,,,,1.0,whoscored
1946520,470816,607,Hamza Igamane,away,False,Sub,29,23,179,77,False,64.0,,6.54,7.0,3.0,,0.0,,,,,5.0,2.0,3.0,2.0,2.0,,1.0,2.0,1.0,,,,21.0,1.0,,,,,,,,,,1.0,whoscored
1946520,475462,607,Matias Fernandez-Pardo,away,False,Sub,7,21,182,70,False,65.0,,6.21,10.0,5.0,1.0,100.0,3.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,,,,,,,17.0,,1.0,,,,,,,,,2.0,whoscored
1946520,468938,607,Ngal'ayel Mukau,away,False,Sub,17,21,186,79,False,92.0,,6.02,4.0,4.0,,100.0,,,,,1.0,,1.0,,,,,1.0,,,,,5.0,,,,,,,,,,,1.0,whoscored
1946521,331422,84,Mile Svilar,home,True,GK,99,26,189,77,False,,,5.6,36.0,23.0,1.0,100.0,,,,,,,,,,,,,,,,,44.0,,,,,,,,,1.0,,1.0,whoscored
