whoscored_match_id,venue_name,manager_home,manager_away,ht_score,ft_score,attendance,referee_id_whoscored,referee_name,start_time
1946645,Eleda Stadion,Miguel Ángel Ramírez,Dejan Stankovic,0 : 1,0 : 1,16852,1416,Sascha Stegemann,2026-01-22T18:45:00
1946646,Eleda Stadion,Henrik Rydström,Rui Tomás Faustino Pinto da Mota,0 : 2,1 : 2,11478,2958,Manfredas Lukjancukas,2025-09-24T21:00:00
1946647,Eleda Stadion,Anes Mravac,Rafael Benítez,0 : 0,0 : 1,12531,3595,Nick Walsh,2025-11-06T18:45:00
1946648,De Adelaarshorst,Melvin Boel,Unai Emery,1 : 1,2 : 1,9598,3283,Filip Glova,2025-10-23T18:45:00
1946649,De Adelaarshorst,Melvin Boel,Carlos Vicens,0 : 0,0 : 0,9480,960,Willy Delajod,2026-01-29T21:00:00
1946650,De Adelaarshorst,Melvin Boel,Ilias Charalampous,0 : 1,0 : 1,9578,1319,Kristo Tohver,2025-09-25T18:45:00
1946651,De Adelaarshorst,Melvin Boel,Sebastian Hoeneß,0 : 2,0 : 4,9448,2167,Mohammed Al Hakim,2025-11-27T21:00:00
1946652,Stadion Galgenwaard,Ron Jans,Francesco Farioli,0 : 0,1 : 1,23053,1240,John Beaton,2025-11-06T18:45:00
1946653,Stadion Galgenwaard,Ron Jans,Paulo Alexandre Rodrigues Fonseca,0 : 0,0 : 1,22083,3742,Horatiu Fesnic,2025-09-25T21:00:00
1946654,Stadion Galgenwaard,Ron Jans,Sean Dyche,0 : 0,1 : 2,22865,3353,Irfan Peljto,2025-12-11T18:45:00
1946655,Stadion Galgenwaard,Ron Jans,Nicky Hayen,0 : 0,0 : 2,21416,3739,Robert Hennessy,2026-01-22T21:50:00
1946656,Cegeka Arena,Thorsten Fink,Manuel Pellegrini,0 : 0,0 : 0,16780,4218,Elchin Masiyev,2025-10-23T18:45:00
1946657,Cegeka Arena,Thorsten Fink,Robbie Keane,0 : 1,0 : 1,10630,1151,Anastasios Sidiropoulos,2025-10-02T21:00:00
1946658,Cegeka Arena,Thorsten Fink,Ludovic Magnin,2 : 0,2 : 1,13104,1221,Orel Grinfeeld,2025-11-27T21:00:00
1946659,Cegeka Arena,Nicky Hayen,Miguel Ángel Ramírez,1 : 1,2 : 1,11450,3742,Horatiu Fesnic,2026-01-29T21:00:00
1946660,Brann Stadium,Freyr Alexandersson,Danny Röhl,1 : 0,3 : 0,15800,4348,Vasilis Fotias,2025-10-23T18:45:00
1946661,Brann Stadium,Freyr Alexandersson,Domenico Tedesco,0 : 3,0 : 4,15620,960,Willy Delajod,2025-12-11T21:00:00
1946662,Brann Stadium,Freyr Alexandersson,Mike Tullberg,1 : 2,3 : 3,15385,2963,Georgi Kabakov,2026-01-22T18:45:00
1946663,Brann Stadium,Freyr Alexandersson,Ron Jans,1 : 0,1 : 0,15366,1344,Aliyar Aghayev,2025-10-02T18:45:00
1967253,Doosan Arena,Martin Hysky,Rafael Benítez,0 : 1,1 : 1,11244,3597,Donatas Rumsas,2026-02-26T18:45:00
1967254,Toumba Stadium,Razvan Lucescu,Claudio Giráldez,0 : 2,1 : 2,20448,983,Ivan Kruzliak,2026-02-19T18:45:00
1967255,Groupama Arena,Robbie Keane,Per-Mathias Høgmo,2 : 0,2 : 0,17989,780,Chris Kavanagh,2026-02-26T18:45:00
1967256,Estadio Abanca-Balaídos,Claudio Giráldez,Razvan Lucescu,0 : 0,1 : 0,21344,339,Marco Guida,2026-02-26T21:00:00
1967257,Cegeka Arena,Nicky Hayen,Mario Kovacevic,0 : 1,1 : 3,11225,1128,Felix Zwayer,2026-02-26T21:00:00
1967258,Chobani Stadyumu,Domenico Tedesco,Vítor Manuel de Oliveira Lopes Pereira,0 : 2,0 : 3,39840,2665,Sandro Schärer,2026-02-19T18:45:00
1967259,The City Ground,Vítor Manuel de Oliveira Lopes Pereira,Domenico Tedesco,0 : 1,1 : 2,26883,331,Maurizio Mariani,2026-02-26T21:00:00
1967260,MHPArena,Sebastian Hoeneß,Martin O'Neill,0 : 1,0 : 1,58500,3353,Irfan Peljto,2026-02-26T18:45:00
1967261,Rajko Mitic Stadium,Dejan Stankovic,Bruno Génésio,0 : 1,0 : 1,46477,99,Anthony Taylor,2026-02-26T18:45:00
1967262,Decathlon Arena - Stade Pierre-Mauroy,Bruno Génésio,Dejan Stankovic,0 : 1,0 : 1,22087,1398,Sven Jablonski,2026-02-19T21:00:00
1967263,Renato Dall'Ara,Vincenzo Italiano,Freyr Alexandersson,0 : 0,1 : 0,19710,861,Benoît Bastien,2026-02-26T21:00:00
1967264,Celtic Park,Martin O'Neill,Sebastian Hoeneß,1 : 2,1 : 4,52901,4140,Erik Lambrechts,2026-02-19T21:00:00
1967265,Huvepharma Arena,Per-Mathias Høgmo,Robbie Keane,1 : 1,2 : 1,3145,1396,Tobias Stieler,2026-02-19T21:00:00
1967266,Maksimir,Mario Kovacevic,Nicky Hayen,1 : 2,1 : 3,10554,460,Halil Umut Meler,2026-02-19T18:45:00
1967267,Brann Stadium,Freyr Alexandersson,Vincenzo Italiano,0 : 1,0 : 1,15680,3246,Rade Obrenovic,2026-02-19T18:45:00
1967268,Athens Olympic Stadium,Rafael Benítez,Martin Hysky,1 : 1,2 : 2,20227,3595,Nick Walsh,2026-02-19T21:00:00
1972360,Groupama Arena,Robbie Keane,Carlos Vicens,1 : 0,2 : 0,19859,3595,Nick Walsh,2026-03-12T21:00:00
1972361,Cegeka Arena,Nicky Hayen,Julian Schuster,1 : 0,1 : 0,15550,780,Chris Kavanagh,2026-03-12T21:00:00
1972362,MHPArena,Sebastian Hoeneß,Francesco Farioli,1 : 2,1 : 2,60000,3597,Donatas Rumsas,2026-03-12T18:45:00
1972363,Renato Dall'Ara,Vincenzo Italiano,Gian Piero Gasperini,0 : 0,1 : 1,26277,1398,Sven Jablonski,2026-03-12T18:45:00
