team_id_tm,team_slug,season,stadium_name,capacity,seats_total,seats_covered,seats_vip,vip_boxes,seats_standing,inaugurated_year,built_year,refurbished_year,owner,operator,address,city,country,construction_cost,surface,architect,tm_url,previous_names_raw,id_transfermarkt_stadium,pitch_length_m,pitch_width_m,naming_rights,naming_rights_until,has_pitch_heating,has_athletics_track,capacity_intl
452,bsc-young-boys,2023,Stadion Wankdorf,31500,31500,,,20,,,2005,,Stadion Wankdorf Management AG,,Stadion Wankdorf,,Suiza,"350,00 mill. €",Césped artificial,,https://www.transfermarkt.es/bsc-young-boys/stadion/verein/452/saison_id/2023,Stade de Suisse,,105,68,CSL Behring,,True,False,
583,fc-paris-saint-germain,2023,Parc des Princes,48583,,,,,,,,,Paris City Council,,Parc des Princes,,,125 mil €,Césped híbrido,,https://www.transfermarkt.es/fc-paris-saint-germain/stadion/verein/583/saison_id/2023,,,105,68,,,True,False,
660,shakhtar-donetsk,2023,Arena Lviv,34725,34725,,,,,,2011,,Stadt Lviv,,Arena Lviv,,,"200,00 mill. €",Césped natural,,https://www.transfermarkt.es/shakhtar-donetsk/stadion/verein/660/saison_id/2023,,,105,68,,,True,False,
681,real-sociedad-san-sebastian,2023,Anoeta,39313,39313,,,,,,1993,,"Real Sociedad de Fútbol, S.A.D.",,Anoeta,,,,Césped natural,,https://www.transfermarkt.es/real-sociedad-san-sebastian/stadion/verein/681/saison_id/2023,"Anoeta (1993-2019, 2025-act.) 
Reale Arena (2019-2025)",,105,68,Reale Seguros,,True,False,
720,fc-porto,2023,Estádio do Dragão,50033,50033,,,,,,2003,,FC Porto,,Estádio do Dragão,,,"98,00 mill. €",Césped natural,,https://www.transfermarkt.es/fc-porto/stadion/verein/720/saison_id/2023,,,105,68,,,False,False,
762,newcastle-united,2023,St James' Park,52258,52258,,,,,,,,Newcastle United Football Club,,St James' Park,,,,Césped natural,,https://www.transfermarkt.es/newcastle-united/stadion/verein/762/saison_id/2023,,,110,73,,,False,False,
826,rc-lens,2023,Stade Bollaert-Delelis,38223,38223,,,,,,1932,,Stadt Lens,,Stade Bollaert-Delelis,,,,Césped natural,,https://www.transfermarkt.es/rc-lens/stadion/verein/826/saison_id/2023,,,105,68,,,True,False,
985,manchester-united,2023,Old Trafford,74879,74879,,,,,,1910,,Manchester United Football Club,,Old Trafford,,Australia,,Césped híbrido,,https://www.transfermarkt.es/manchester-united/stadion/verein/985/saison_id/2023,,,105,68,,,True,False,
1075,sc-braga,2023,Estádio Municipal de Braga,30286,30286,,,,,,2003,,Câmara Municipal de Braga,,Estádio Municipal de Braga,,,,Césped natural,,https://www.transfermarkt.es/sc-braga/stadion/verein/1075/saison_id/2023,,,105,68,,,False,False,
1096,royal-antwerpen-fc,2023,Bosuilstadion,21000,16152,,,,,,1923,,,,Bosuilstadion,,Bélgica,,Césped natural,,https://www.transfermarkt.es/royal-antwerpen-fc/stadion/verein/1096/saison_id/2023,,,,,,,True,False,
6195,ssc-neapel,2023,Diego Armando Maradona,54726,54726,,,19,,,1959,,Comune di Napoli,,Diego Armando Maradona,,,,Césped natural,,https://www.transfermarkt.es/ssc-neapel/stadion/verein/6195/saison_id/2023,"Stadio del Sole (1959-1962), San Paolo (1963-2020)",,110,68,-,,False,True,
23826,rasenballsport-leipzig,2023,Red Bull Arena,47069,32908,,,18,,,2003,,ZSL Betreibergesellschaft mbH,,Red Bull Arena,,,"90,00 mill. €",Césped natural,,https://www.transfermarkt.es/rasenballsport-leipzig/stadion/verein/23826/saison_id/2023,"Stadion der Hunderttausend
Zentralstadion Leipzig",,105,68,Red Bull GmbH,2040,True,False,
