whoscored_team_id,team_name,season,competition,data_source
249,Marseille,2023/24,Ligue 1,whoscored
950,Reims,2023/24,Ligue 1,whoscored
148,Strasbourg,2023/24,Ligue 1,whoscored
228,Lyon,2023/24,Ligue 1,whoscored
302,Nantes,2023/24,Ligue 1,whoscored
246,Toulouse,2023/24,Ligue 1,whoscored
941,Clermont Foot,2023/24,Ligue 1,whoscored
248,Monaco,2023/24,Ligue 1,whoscored
311,Montpellier,2023/24,Ligue 1,whoscored
217,Le Havre,2023/24,Ligue 1,whoscored
613,Nice,2023/24,Ligue 1,whoscored
607,Lille,2023/24,Ligue 1,whoscored
2332,Brest,2023/24,Ligue 1,whoscored
309,Lens,2023/24,Ligue 1,whoscored
304,PSG,2023/24,Ligue 1,whoscored
146,Lorient,2023/24,Ligue 1,whoscored
314,Metz,2023/24,Ligue 1,whoscored
313,Rennes,2023/24,Ligue 1,whoscored
