team_id_tm,team_slug,season,stadium_name,capacity,seats_total,seats_covered,seats_vip,vip_boxes,seats_standing,inaugurated_year,built_year,refurbished_year,owner,operator,address,city,country,construction_cost,surface,architect,tm_url,previous_names_raw,id_transfermarkt_stadium,pitch_length_m,pitch_width_m,naming_rights,naming_rights_until,has_pitch_heating,has_athletics_track,capacity_intl
506,juventus-turin,2022,Juventus de Turín,41507,41507,,,64,,,,,Juventus,,Allianz Stadium,,,"125,00 mill. €",Césped natural,,https://www.transfermarkt.es/juventus-turin/stadion/verein/506/saison_id/2022,,,,,,,,,
610,ajax-amsterdam,2022,Ajax de Ámsterdam,55885,55885,,,,,,,,Stad Amsterdam,,Johan Cruijff ArenA,,,"96,00 mill. €",Césped natural,,https://www.transfermarkt.es/ajax-amsterdam/stadion/verein/610/saison_id/2022,,,,,,,,,
660,shakhtar-donetsk,2022,Shakhtar Donetsk,34725,34725,,,,,,,,Stadt Lviv,,Arena Lviv,,,"200,00 mill. €",Césped natural,,https://www.transfermarkt.es/shakhtar-donetsk/stadion/verein/660/saison_id/2022,,,,,,,,,
681,real-sociedad-san-sebastian,2022,Real Sociedad,39313,39313,,,,,,,,"Real Sociedad de Fútbol, S.A.D.",,Anoeta,,,,Césped natural,,https://www.transfermarkt.es/real-sociedad-san-sebastian/stadion/verein/681/saison_id/2022,,,,,,,,,
683,olympiakos-piraus,2022,Olympiacos El Pireo,33345,33345,,,43,,,,,Hellenic Olympic Committee,,Stadio Georgios Karaiskakis,,,"60,00 mill. €",Césped natural,,https://www.transfermarkt.es/olympiakos-piraus/stadion/verein/683/saison_id/2022,,,,,,,,,
829,omonia-nikosia,2022,Omonia Nicosia,22859,22859,,,31,,,,,Pancyprian Gymnastic Association,,GSP Stadium,,,,Césped natural,,https://www.transfermarkt.es/omonia-nikosia/stadion/verein/829/saison_id/2022,,,,,,,,,
865,fc-midtjylland,2022,FC Midtjylland,12055,7409,,,10,,,,,Messecenter Herning,,MCH Arena,,,"11,40 mill. €",Césped híbrido,,https://www.transfermarkt.es/fc-midtjylland/stadion/verein/865/saison_id/2022,,,,,,,,,
985,manchester-united,2022,Manchester United,74879,74879,,,,,,,,Manchester United Football Club,,Old Trafford,,,,Césped híbrido,,https://www.transfermarkt.es/manchester-united/stadion/verein/985/saison_id/2022,,,,,,,,,
995,fc-nantes,2022,FC Nantes,35322,,,,,,,,,Ville de Nantes,,Stade de la Beaujoire,,,,Césped natural,,https://www.transfermarkt.es/fc-nantes/stadion/verein/995/saison_id/2022,,,,,,,,,
1008,hjk-helsinki,2022,HJK Helsinki,10770,10770,,,,,,,,Stadt Helsinki,,Bolt Arena,,Finlandia,"18,50 mill. €",Césped artificial,,https://www.transfermarkt.es/hjk-helsinki/stadion/verein/1008/saison_id/2022,,,,,,,,,
1075,sc-braga,2022,SC Braga,30286,30286,,,,,,,,Câmara Municipal de Braga,,Estádio Municipal de Braga,,,,Césped natural,,https://www.transfermarkt.es/sc-braga/stadion/verein/1075/saison_id/2022,,,,,,,,,
2156,aek-larnaka,2022,AEK Larnaca,8058,8058,,,,,,,,,,AEK Arena - Georgios Karapatakis,,,,Césped natural,,https://www.transfermarkt.es/aek-larnaka/stadion/verein/2156/saison_id/2022,,,,,,,,,
2481,fc-sheriff-tiraspol,2022,FC Sheriff Tiraspol,12746,12746,,,,,,,,,,Sheriff Main Arena,,,,,,https://www.transfermarkt.es/fc-sheriff-tiraspol/stadion/verein/2481/saison_id/2022,,,,,,,,,
3948,royale-union-saint-gilloise,2022,Union Saint-Gilloise,9512,,,,,,,,,,,Stade Joseph Mariën,,,,Césped natural,,https://www.transfermarkt.es/royale-union-saint-gilloise/stadion/verein/3948/saison_id/2022,,,,,,,,,
10625,qarabag-fk,2022,Qarabağ FK,4677,4677,,,,,,,,Tahir Bagirov,,Azersun Arena,,,,Césped natural,,https://www.transfermarkt.es/qarabag-fk/stadion/verein/10625/saison_id/2022,,,,,,,,,
31614,pfk-ludogorets-razgrad,2022,Ludogorets Razgrad,10423,10423,,,,,,,,Municipality of Razgrad,,Huvepharma Arena,,,"3,00 mill. €",Césped natural,,https://www.transfermarkt.es/pfk-ludogorets-razgrad/stadion/verein/31614/saison_id/2022,,,,,,,,,
