id_sofascore,match_date,competition,season,home_team_id_ss,away_team_id_ss,home_team_name,away_team_name,home_score,away_score,data_source
14065225,2026-04-18,Bundesliga,Bundesliga 25/26,2547,2524,1. FC Union Berlin,VfL Wolfsburg,1.0,2.0,sofascore
14065221,2026-04-18,Bundesliga,Bundesliga 25/26,2681,2600,Bayer 04 Leverkusen,FC Augsburg,1.0,2.0,sofascore
14065230,2026-04-18,Bundesliga,Bundesliga 25/26,2569,2673,TSG Hoffenheim,Borussia Dortmund,2.0,1.0,sofascore
14065223,2026-04-18,Bundesliga,Bundesliga 25/26,2674,36360,Eintracht Frankfurt,RB Leipzig,1.0,3.0,sofascore
14065226,2026-04-19,Bundesliga,Bundesliga 25/26,2538,5885,SC Freiburg,1. FC Heidenheim,2.0,1.0,sofascore
14065222,2026-04-19,Bundesliga,Bundesliga 25/26,2672,2677,FC Bayern München,VfB Stuttgart,4.0,2.0,sofascore
14065227,2026-04-19,Bundesliga,Bundesliga 25/26,2527,2556,Borussia M'gladbach,1. FSV Mainz 05,1.0,1.0,sofascore
14065257,2026-04-24,Bundesliga,Bundesliga 25/26,36360,2547,RB Leipzig,1. FC Union Berlin,3.0,1.0,sofascore
14065234,2026-04-25,Bundesliga,Bundesliga 25/26,5885,2526,1. FC Heidenheim,FC St. Pauli,2.0,0.0,sofascore
14065233,2026-04-25,Bundesliga,Bundesliga 25/26,2524,2527,VfL Wolfsburg,Borussia M'gladbach,0.0,0.0,sofascore
14065231,2026-04-25,Bundesliga,Bundesliga 25/26,2600,2674,FC Augsburg,Eintracht Frankfurt,1.0,1.0,sofascore
14065238,2026-04-25,Bundesliga,Bundesliga 25/26,2671,2681,1. FC Köln,Bayer 04 Leverkusen,1.0,2.0,sofascore
14065235,2026-04-25,Bundesliga,Bundesliga 25/26,2556,2672,1. FSV Mainz 05,FC Bayern München,3.0,4.0,sofascore
14065237,2026-04-25,Bundesliga,Bundesliga 25/26,2676,2569,Hamburger SV,TSG Hoffenheim,1.0,2.0,sofascore
14065256,2026-04-26,Bundesliga,Bundesliga 25/26,2677,2534,VfB Stuttgart,SV Werder Bremen,1.0,1.0,sofascore
14065178,2026-03-07,Bundesliga,Bundesliga 25/26,2524,2676,VfL Wolfsburg,Hamburger SV,1.0,2.0,sofascore
14065179,2026-03-07,Bundesliga,Bundesliga 25/26,2556,2677,1. FSV Mainz 05,VfB Stuttgart,2.0,2.0,sofascore
14065180,2026-03-07,Bundesliga,Bundesliga 25/26,36360,2600,RB Leipzig,FC Augsburg,2.0,1.0,sofascore
