id_sofascore,canonical_name,team_id_ss,team_name,competition,season,source
879618.0,Montassar Talbi,,,,,
886286.0,Nicolas Cozza,,,,,
889259.0,Khvicha Kvaratskhelia,,,,,
890329.0,Ignatius Kpene Ganago,,,,,
891505.0,Goduine Koyalipou,,,,,
891508.0,Grégoire Coudert,,,,,
891829.0,Matt O'Riley,,,,,
892924.0,Hamed Junior Traorè,,,,,
894396.0,Terem Moffi,,,,,
894733.0,Marshall Munetsi,,,,,
902029.0,Vitinha,,,,,
902657.0,Jessy Deminguet,,,,,
904424.0,Elisha Owusu,,,,,
904994.0,Eric Ebimbe,,,,,
906075.0,Melvin Bard,,,,,
910076.0,Felix Mambimbi,,,,,
911851.0,Yann Gboho,,,,,
913942.0,Romain Faivre,,,,,
915451.0,Jean Lambert Evan's Allan,,,,,
916041.0,Mahdi Camara,,,,,
917087.0,Kang-in Lee,,,,,
919027.0,Ali Abdi,,,,,
921369.0,Zuriko Davitashvili,,,,,
922759.0,Mark McKenzie,,,,,
927005.0,Lassine Sinayoko,,,,,
928033.0,Charles Vanhoutte,,,,,
928236.0,Leonardo Balerdi,,,,,
929620.0,Fabian Rieder,,,,,
930231.0,Christopher Wooh,,,,,
930813.0,Tuomas Ollila,,,,,
934237.0,Folarin Balogun,,,,,
934498.0,Félix Correia,,,,,
934510.0,Gonçalo Ramos,,,,,
940328.0,Jean-Philippe Krasso,,,,,
942116.0,Mason Greenwood,,,,,
942834.0,Cheick Tidiane Sabaly,,,,,
942937.0,Hong Hyun-seok,,,,,
944164.0,Sofiane Diop,,,,,
945830.0,Himad Abdelli,,,,,
946158.0,Mohammed Salisu,,,,,
957604.0,Pavel Šulc,,,,,
958128.0,Kevin Cabral,,,,,
959805.0,Quinten Timber,,,,,
962064.0,Isak Jansson,,,,,
962068.0,Sebastian Nanasi,,,,,
962883.0,Ansu Fati,,,,,
963298.0,Dilane Bakwa,,,,,
963299.0,Johann Lepenant,,,,,
965242.0,Giovanni Haag,,,,,
965357.0,Osame Sahraoui,,,,,
966621.0,Esteban Lepaul,,,,,
966849.0,Saud Abdulhamid,,,,,
973536.0,Martín Satriano,,,,,
973556.0,Julio Enciso,,,,,
973838.0,Abner Vinícius,,,,,
975300.0,Godson Kyeremeh,,,,,
976396.0,Joris Chotard,,,,,
976401.0,João Ferreira,,,,,
976410.0,Tiago Gouveia,,,,,
979118.0,Tyler Morton,,,,,
979311.0,Samy Benchama,,,,,
979315.0,Elye Wahi,,,,,
979480.0,Willian Pacho,,,,,
980406.0,Étienne Youte Kinkoue,,,,,
981168.0,Samir Sophian Chergui,,,,,
981815.0,Igor Paixão,,,,,
982316.0,Formose Mendy,,,,,
982319.0,Moustapha Mbow,,,,,
982613.0,Boubacar Traoré,,,,,
983066.0,Andrew Omobamidele,,,,,
985199.0,Giorgi Abuashvili,,,,,
985923.0,Hicham Boudaoui,,,,,
985934.0,Youssouf Ndayishimiye,,,,,
987491.0,Bryan Okoh,,,,,
988632.0,Jim Allevinah,,,,,
988801.0,Abu Francis,,,,,
988907.0,Lilian Brassier,,,,,
989768.0,Nuno Mendes,,,,,
990227.0,Aimen Moueffek,,,,,
990743.0,Morgan Guilavogui,,,,,
991479.0,Anthony Rouault,,,,,
992026.0,Rassoul Ndiaye,,,,,
993455.0,Salis Abdul Samed,,,,,
993952.0,Noah Cadiou,,,,,
995671.0,Reda Khadra,,,,,
996951.0,Sinaly Diomandé,,,,,
996952.0,Bradley Barcola,,,,,
997104.0,Naouirou Ahamada,,,,,
998241.0,Darlin Yongwa,,,,,
998251.0,Hacene Benali,,,,,
999070.0,Matthis Abline,,,,,
1000175.0,Adam Karabec,,,,,
1000442.0,Yassine Kechta,,,,,
1001458.0,Issa Soumaré,,,,,
1001858.0,Soumaila Coulibaly,,,,,
1001864.0,Kenny Nagera,,,,,
1002033.0,Guéla Doué,,,,,
1002267.0,Jacen Russell Rowe,,,,,
1005648.0,Fredrik Oppegård,,,,,
1009372.0,Georges Mikautadze,,,,,
1012657.0,Lucas Gourna-Douath,,,,,
