id_transfermarkt,canonical_name,nationality,birth_date,position,competition,team_name,team_slug,team_id_tm,season,source
674212,Oiva Jukkola,Finlandia,2002-05-21,Extremo izquierdo,Champions League,Kairat Almaty,kairat-almaty,10482,2025,transfermarkt
678406,Sergi Cardona,España,1999-07-08,Lateral izquierdo,Champions League,Villarreal CF,fc-villarreal,1050,2025,transfermarkt
683840,Pedri,España,2002-11-25,Mediocentro,Champions League,FC Barcelona,fc-barcelona,131,2025,transfermarkt
684116,Silas Ostrzinski,Alemania,2003-11-19,Portero,Champions League,Borussia Dortmund,borussia-dortmund,16,2025,transfermarkt
684159,Kevin Rodríguez,Ecuador,2000-03-04,Delantero centro,Champions League,Union Saint-Gilloise,royale-union-saint-gilloise,3948,2025,transfermarkt
684315,Nnamdi Collins,Alemania,2004-01-10,Defensa central,Champions League,Eintracht Fráncfort​​,eintracht-frankfurt,24,2025,transfermarkt
686965,Juan Cabal,Colombia,2001-01-08,Lateral izquierdo,Champions League,Juventus de Turín,juventus-turin,506,2025,transfermarkt
687626,Moisés Caicedo,Ecuador,2001-11-02,Pivote,Champions League,Chelsea FC,fc-chelsea,631,2025,transfermarkt
689505,Johnny Cardoso,Estados Unidos,2001-09-20,Mediocentro,Champions League,Atlético de Madrid,atletico-madrid,13,2025,transfermarkt
691316,Luis Henrique,Brasil,2001-12-14,Interior derecho,Champions League,Inter de Milán,inter-mailand,46,2025,transfermarkt
691892,Nathaniel Brown,Alemania,2003-06-16,Lateral izquierdo,Champions League,Eintracht Fráncfort​​,eintracht-frankfurt,24,2025,transfermarkt
692368,Younes Ebnoutalib,Alemania,2003-09-13,Delantero centro,Champions League,Eintracht Fráncfort​​,eintracht-frankfurt,24,2025,transfermarkt
696164,Tim Oermann,Alemania,2003-10-06,Defensa central,Champions League,Bayer 04 Leverkusen,bayer-04-leverkusen,15,2025,transfermarkt
697149,Kazımcan Karataş,Turquía,2003-01-16,,Champions League,Galatasaray,galatasaray-istanbul,141,2025,transfermarkt
699233,Aleksa Puric,Serbia,2003-07-07,,Champions League,Atlético de Madrid,atletico-madrid,13,2025,transfermarkt
699592,Manu Silva,Portugal,2001-06-12,Pivote,Champions League,SL Benfica,benfica-lissabon,294,2025,transfermarkt
699783,Raphael Onyedika,Nigeria,2001-04-19,Pivote,Champions League,Club Brujas KV,fc-brugge,2282,2025,transfermarkt
701055,Anton Gaaei,Dinamarca,2002-11-19,Lateral derecho,Champions League,Ajax de Ámsterdam,ajax-amsterdam,610,2025,transfermarkt
701057,Rico Lewis,Inglaterra,2004-11-21,Lateral derecho,Champions League,Manchester City,manchester-city,281,2025,transfermarkt
701325,Bruno Onyemaechi,Nigeria,1999-04-03,Lateral izquierdo,Champions League,Olympiacos El Pireo,olympiakos-piraus,683,2025,transfermarkt
701979,Geny Catamo,Mozambique,2001-01-26,Extremo derecho,Champions League,Sporting de Lisboa,sporting-lissabon,336,2025,transfermarkt
702869,Ismael Saibari,Marruecos,2001-01-28,Mediocentro ofensivo,Champions League,PSV Eindhoven,psv-eindhoven,383,2025,transfermarkt
703245,Antonio Vergara,Italia,2003-01-16,Mediocentro ofensivo,Champions League,SSC Nápoles,ssc-neapel,6195,2025,transfermarkt
705395,Gerard Martín,España,2002-02-26,Defensa central,Champions League,FC Barcelona,fc-barcelona,131,2025,transfermarkt
706815,Harvey Davies,Inglaterra,2003-09-03,Portero,Champions League,Liverpool FC,fc-liverpool,31,2025,transfermarkt
707295,Giuseppe Ambrosino,Italia,2003-09-10,,Champions League,SSC Nápoles,ssc-neapel,6195,2025,transfermarkt
707546,Cristian Makaté,Guinea Ecuatorial,2002-09-21,,Champions League,Union Saint-Gilloise,royale-union-saint-gilloise,3948,2025,transfermarkt
708265,Bradley Barcola,Francia,2002-09-02,Extremo izquierdo,Champions League,París Saint-Germain FC,fc-paris-saint-germain,583,2025,transfermarkt
708454,Romeo Vermant,Bélgica,2004-01-24,Delantero centro,Champions League,Club Brujas KV,fc-brugge,2282,2025,transfermarkt
708635,Lorenzo Bernasconi,Italia,2003-11-16,Interior izquierdo,Champions League,Atalanta de Bérgamo,atalanta-bergamo,800,2025,transfermarkt
709187,Nico Williams,España,2002-07-12,Extremo izquierdo,Champions League,Athletic Club,athletic-bilbao,621,2025,transfermarkt
709336,Rubén Gómez,España,2002-01-24,,Champions League,Villarreal CF,fc-villarreal,1050,2025,transfermarkt
709726,Hugo Ekitiké,Francia,2002-06-20,Delantero centro,Champions League,Liverpool FC,fc-liverpool,31,2025,transfermarkt
709969,Ilias Akhomach,Marruecos,2004-04-16,,Champions League,Villarreal CF,fc-villarreal,1050,2025,transfermarkt
710671,Adama Boiro,España,2002-06-22,Lateral izquierdo,Champions League,Athletic Club,athletic-bilbao,621,2025,transfermarkt
711976,Andy Diouf,Francia,2003-05-17,Mediocentro,Champions League,Inter de Milán,inter-mailand,46,2025,transfermarkt
712107,Luiz Júnior,Brasil,2001-01-14,Portero,Champions League,Villarreal CF,fc-villarreal,1050,2025,transfermarkt
715508,Magnus Riisnæs,Noruega,2004-11-04,Mediocentro,Champions League,FK Bodø/Glimt,fk-bodo-glimt,501,2025,transfermarkt
715653,Besfort Zeneli,Suecia,2002-11-21,Mediocentro,Champions League,Union Saint-Gilloise,royale-union-saint-gilloise,3948,2025,transfermarkt
717329,Nicolò Tresoldi,Alemania,2004-08-20,Delantero centro,Champions League,Club Brujas KV,fc-brugge,2282,2025,transfermarkt
717952,Mario de Luis,España,2002-05-06,,Champions League,Atlético de Madrid,atletico-madrid,13,2025,transfermarkt
718195,Ismael Sierra,España,2003-03-17,,Champions League,Villarreal CF,fc-villarreal,1050,2025,transfermarkt
718303,Ernest Poku,Países Bajos,2004-01-28,Extremo derecho,Champions League,Bayer 04 Leverkusen,bayer-04-leverkusen,15,2025,transfermarkt
719383,Ivan Pavlic,Bélgica,2001-11-10,Mediocentro,Champions League,Union Saint-Gilloise,royale-union-saint-gilloise,3948,2025,transfermarkt
719673,Ben Gannon-Doak,Escocia,2005-11-11,,Champions League,Liverpool FC,fc-liverpool,31,2025,transfermarkt
720805,Tijn Smolenaars,Países Bajos,2005-02-23,,Champions League,PSV Eindhoven,psv-eindhoven,383,2025,transfermarkt
723005,Niek Schiks,Países Bajos,2004-02-03,Portero,Champions League,PSV Eindhoven,psv-eindhoven,383,2025,transfermarkt
724178,Luis Hasa,Albania,2004-01-06,,Champions League,SSC Nápoles,ssc-neapel,6195,2025,transfermarkt
724942,Temirlan Anarbekov,Kazajistán,2003-10-14,Portero,Champions League,Kairat Almaty,kairat-almaty,10482,2025,transfermarkt
725912,Antonín Kinský,República Checa,2003-03-13,Portero,Champions League,Tottenham Hotspur,tottenham-hotspur,148,2025,transfermarkt
726701,Rodrigo Ribeiro,Portugal,2005-04-28,,Champions League,Sporting de Lisboa,sporting-lissabon,336,2025,transfermarkt
726705,Samuel Justo,Portugal,2004-04-02,,Champions League,Sporting de Lisboa,sporting-lissabon,336,2025,transfermarkt
727077,Jankat Yılmaz,Turquía,2004-08-16,,Champions League,Galatasaray,galatasaray-istanbul,141,2025,transfermarkt
727086,Jelle Van Neck,Bélgica,2004-03-07,Portero,Champions League,Olympique de Marsella,olympique-marseille,244,2025,transfermarkt
729814,Georges Mikautadze,Georgia,2000-10-31,Delantero centro,Champions League,Villarreal CF,fc-villarreal,1050,2025,transfermarkt
730581,Loïc Badé,Francia,2000-04-11,Defensa central,Champions League,Bayer 04 Leverkusen,bayer-04-leverkusen,15,2025,transfermarkt
730861,Milos Kerkez,Hungría,2003-11-07,Lateral izquierdo,Champions League,Liverpool FC,fc-liverpool,31,2025,transfermarkt
731466,Teddy Sharman-Lowe,Inglaterra,2003-03-30,Portero,Champions League,Chelsea FC,fc-chelsea,631,2025,transfermarkt
732119,Kaide Gordon,Inglaterra,2004-10-05,,Champions League,Liverpool FC,fc-liverpool,31,2025,transfermarkt
733576,Alberto Moleiro,España,2003-09-30,Extremo izquierdo,Champions League,Villarreal CF,fc-villarreal,1050,2025,transfermarkt
733579,Clayton,Brasil,1999-01-11,Delantero centro,Champions League,Olympiacos El Pireo,olympiakos-piraus,683,2025,transfermarkt
735354,Alexios Kalogeropoulos,Grecia,2004-07-26,Defensa central,Champions League,Olympiacos El Pireo,olympiakos-piraus,683,2025,transfermarkt
735364,Nikolaos Botis,Grecia,2004-03-31,Portero,Champions League,Olympiacos El Pireo,olympiakos-piraus,683,2025,transfermarkt
735573,Richard Ríos,Colombia,2000-06-02,Pivote,Champions League,SL Benfica,benfica-lissabon,294,2025,transfermarkt
