whoscored_team_id,team_name,season,competition,data_source
950,Reims,2024/25,Ligue 1,whoscored
607,Lille,2024/25,Ligue 1,whoscored
2332,Brest,2024/25,Ligue 1,whoscored
249,Marseille,2024/25,Ligue 1,whoscored
217,Le Havre,2024/25,Ligue 1,whoscored
304,PSG,2024/25,Ligue 1,whoscored
311,Montpellier,2024/25,Ligue 1,whoscored
148,Strasbourg,2024/25,Ligue 1,whoscored
246,Toulouse,2024/25,Ligue 1,whoscored
302,Nantes,2024/25,Ligue 1,whoscored
614,Angers,2024/25,Ligue 1,whoscored
309,Lens,2024/25,Ligue 1,whoscored
248,Monaco,2024/25,Ligue 1,whoscored
145,Saint-Etienne,2024/25,Ligue 1,whoscored
308,Auxerre,2024/25,Ligue 1,whoscored
613,Nice,2024/25,Ligue 1,whoscored
313,Rennes,2024/25,Ligue 1,whoscored
228,Lyon,2024/25,Ligue 1,whoscored
