whoscored_player_id,name,player_name,whoscored_team_id,team_name,position,shirt_no,competition,season,source
276366,David Raya,David Raya,13,Arsenal,GK,22,Champions League,2023/24,whoscored
322036,Ben White,Ben White,13,Arsenal,DR,4,Champions League,2023/24,whoscored
334087,Gabriel Magalhães,Gabriel Magalhães,13,Arsenal,DC,6,Champions League,2023/24,whoscored
361822,William Saliba,William Saliba,13,Arsenal,DC,2,Champions League,2023/24,whoscored
273257,Oleksandr Zinchenko,Oleksandr Zinchenko,13,Arsenal,DL,35,Champions League,2023/24,whoscored
326413,Kai Havertz,Kai Havertz,13,Arsenal,MC,29,Champions League,2023/24,whoscored
247454,Martin Ødegaard,Martin Ødegaard,13,Arsenal,MC,8,Champions League,2023/24,whoscored
332325,Declan Rice,Declan Rice,13,Arsenal,MC,41,Champions League,2023/24,whoscored
367185,Bukayo Saka,Bukayo Saka,13,Arsenal,FWR,7,Champions League,2023/24,whoscored
279379,Gabriel Jesus,Gabriel Jesus,13,Arsenal,FW,9,Champions League,2023/24,whoscored
113994,Leandro Trossard,Leandro Trossard,13,Arsenal,FWL,19,Champions League,2023/24,whoscored
106968,Jorginho,Jorginho,13,Arsenal,Sub,20,Champions League,2023/24,whoscored
377283,Takehiro Tomiyasu,Takehiro Tomiyasu,13,Arsenal,Sub,18,Champions League,2023/24,whoscored
394924,Fábio Vieira,Fábio Vieira,13,Arsenal,Sub,21,Champions League,2023/24,whoscored
363686,Emile Smith Rowe,Emile Smith Rowe,13,Arsenal,Sub,10,Champions League,2023/24,whoscored
342564,Reiss Nelson,Reiss Nelson,13,Arsenal,Sub,24,Champions League,2023/24,whoscored
125209,Mohamed Elneny,Mohamed Elneny,13,Arsenal,Sub,25,Champions League,2023/24,whoscored
399501,Karl Hein,Karl Hein,13,Arsenal,Sub,31,Champions League,2023/24,whoscored
424462,Jakub Kiwior,Jakub Kiwior,13,Arsenal,Sub,15,Champions League,2023/24,whoscored
69945,Cédric Soares,Cédric Soares,13,Arsenal,Sub,17,Champions League,2023/24,whoscored
316858,Aaron Ramsdale,Aaron Ramsdale,13,Arsenal,Sub,1,Champions League,2023/24,whoscored
345845,Eddie Nketiah,Eddie Nketiah,13,Arsenal,Sub,14,Champions League,2023/24,whoscored
130304,Walter Benítez,Walter Benítez,129,PSV Eindhoven,GK,1,Champions League,2023/24,whoscored
361839,Jordan Teze,Jordan Teze,129,PSV Eindhoven,DR,3,Champions League,2023/24,whoscored
260809,Olivier Boscagli,Olivier Boscagli,129,PSV Eindhoven,DC,18,Champions League,2023/24,whoscored
369970,Armel Bella-Kotchap,Armel Bella-Kotchap,129,PSV Eindhoven,DC,6,Champions League,2023/24,whoscored
379205,Sergiño Dest,Sergiño Dest,129,PSV Eindhoven,DL,8,Champions League,2023/24,whoscored
331555,Jerdy Schouten,Jerdy Schouten,129,PSV Eindhoven,DMC,22,Champions League,2023/24,whoscored
382556,Joey Veerman,Joey Veerman,129,PSV Eindhoven,DMC,23,Champions League,2023/24,whoscored
427824,Johan Bakayoko,Johan Bakayoko,129,PSV Eindhoven,AMR,11,Champions League,2023/24,whoscored
404776,Ismael Saibari,Ismael Saibari,129,PSV Eindhoven,AMC,34,Champions League,2023/24,whoscored
354283,Noa Lang,Noa Lang,129,PSV Eindhoven,AML,7,Champions League,2023/24,whoscored
68585,Luuk de Jong,Luuk de Jong,129,PSV Eindhoven,FW,9,Champions League,2023/24,whoscored
408059,Yorbe Vertessen,Yorbe Vertessen,129,PSV Eindhoven,Sub,32,Champions League,2023/24,whoscored
98101,André Ramalho,André Ramalho,129,PSV Eindhoven,Sub,5,Champions League,2023/24,whoscored
318511,Hirving Lozano,Hirving Lozano,129,PSV Eindhoven,Sub,27,Champions League,2023/24,whoscored
397465,Malik Tillman,Malik Tillman,129,PSV Eindhoven,Sub,10,Champions League,2023/24,whoscored
377466,Ricardo Pepi,Ricardo Pepi,129,PSV Eindhoven,Sub,14,Champions League,2023/24,whoscored
404225,Shurandy Sambo,Shurandy Sambo,129,PSV Eindhoven,Sub,2,Champions League,2023/24,whoscored
489985,Isaac Babadi,Isaac Babadi,129,PSV Eindhoven,Sub,26,Champions League,2023/24,whoscored
322148,Guus Til,Guus Til,129,PSV Eindhoven,Sub,20,Champions League,2023/24,whoscored
275012,Joël Drommel,Joël Drommel,129,PSV Eindhoven,Sub,16,Champions League,2023/24,whoscored
26916,Boy Waterman,Boy Waterman,129,PSV Eindhoven,Sub,24,Champions League,2023/24,whoscored
78221,Patrick van Aanholt,Patrick van Aanholt,129,PSV Eindhoven,Sub,30,Champions League,2023/24,whoscored
259393,Marko Dmitrovic,Marko Dmitrovic,67,Sevilla,GK,1,Champions League,2023/24,whoscored
395187,Juanlu Sánchez,Juanlu Sánchez,67,Sevilla,DR,26,Champions League,2023/24,whoscored
77417,Nemanja Gudelj,Nemanja Gudelj,67,Sevilla,DC,6,Champions League,2023/24,whoscored
9909,Sergio Ramos,Sergio Ramos,67,Sevilla,DC,4,Champions League,2023/24,whoscored
363966,Adrià Pedrosa,Adrià Pedrosa,67,Sevilla,DL,3,Champions League,2023/24,whoscored
31958,Fernando,Fernando,67,Sevilla,DMC,20,Champions League,2023/24,whoscored
317630,Djibril Sow,Djibril Sow,67,Sevilla,DMC,18,Champions League,2023/24,whoscored
75830,Érik Lamela,Érik Lamela,67,Sevilla,AMR,17,Champions League,2023/24,whoscored
22732,Ivan Rakitic,Ivan Rakitic,67,Sevilla,AMC,10,Champions League,2023/24,whoscored
115587,Lucas Ocampos,Lucas Ocampos,67,Sevilla,AML,5,Champions League,2023/24,whoscored
