whoscored_match_id,season,match_date,attendance,competition
1775655,2023/24,2023-09-20,58860,Champions League
1775657,2023/24,2023-09-20,33544,Champions League
1775659,2023/24,2023-10-03,37040,Champions League
1775661,2023/24,2023-10-03,34206,Champions League
1775663,2023/24,2023-10-24,39595,Champions League
1775665,2023/24,2023-10-24,38133,Champions League
1775667,2023/24,2023-11-08,60024,Champions League
1775669,2023/24,2023-11-08,34200,Champions League
1775671,2023/24,2023-11-29,59987,Champions League
1775673,2023/24,2023-11-29,29403,Champions League
1775675,2023/24,2023-12-12,35000,Champions League
1775677,2023/24,2023-12-12,37456,Champions League
1775641,2023/24,2023-09-20,75000,Champions League
1775642,2023/24,2023-09-20,46911,Champions League
1775643,2023/24,2023-10-03,73204,Champions League
1775644,2023/24,2023-10-03,35690,Champions League
1775645,2023/24,2023-10-24,73249,Champions League
1775646,2023/24,2023-10-24,51776,Champions League
1775648,2023/24,2023-11-08,36099,Champions League
1775650,2023/24,2023-11-08,75000,Champions League
1775651,2023/24,2023-11-29,51733,Champions League
1775652,2023/24,2023-11-29,75000,Champions League
1775653,2023/24,2023-12-12,73073,Champions League
1775654,2023/24,2023-12-12,34726,Champions League
1775691,2023/24,2023-09-20,60917,Champions League
1775692,2023/24,2023-09-20,36591,Champions League
1775693,2023/24,2023-10-03,28227,Champions League
1775694,2023/24,2023-10-03,66573,Champions League
1775695,2023/24,2023-10-24,71825,Champions League
1775696,2023/24,2023-10-24,56002,Champions League
1775697,2023/24,2023-11-08,36815,Champions League
1775698,2023/24,2023-11-08,30071,Champions League
1775699,2023/24,2023-11-29,52944,Champions League
1775700,2023/24,2023-11-29,34419,Champions League
1775701,2023/24,2023-12-12,69010,Champions League
1775702,2023/24,2023-12-12,27134,Champions League
1775631,2023/24,2023-09-20,65207,Champions League
1775632,2023/24,2023-09-20,18422,Champions League
1775633,2023/24,2023-10-03,73445,Champions League
1775634,2023/24,2023-10-03,51649,Champions League
1775635,2023/24,2023-10-24,29820,Champions League
1775636,2023/24,2023-10-24,72062,Champions League
1775637,2023/24,2023-11-08,42449,Champions League
1775638,2023/24,2023-11-08,68509,Champions League
1775639,2023/24,2023-11-29,73562,Champions League
1775640,2023/24,2023-11-29,15855,Champions League
1775647,2023/24,2023-12-12,37841,Champions League
1775649,2023/24,2023-12-12,73420,Champions League
1775656,2023/24,2023-09-19,46168,Champions League
1775658,2023/24,2023-09-19,44008,Champions League
1775660,2023/24,2023-10-04,61742,Champions League
1775662,2023/24,2023-10-04,56063,Champions League
1775664,2023/24,2023-10-25,55844,Champions League
1775666,2023/24,2023-10-25,44031,Champions League
1775668,2023/24,2023-11-07,60863,Champions League
1775670,2023/24,2023-11-07,36612,Champions League
1775672,2023/24,2023-11-28,43992,Champions League
1775674,2023/24,2023-11-28,50555,Champions League
1775676,2023/24,2023-12-13,63574,Champions League
1775678,2023/24,2023-12-13,56391,Champions League
1775619,2023/24,2023-09-19,40989,Champions League
1775620,2023/24,2023-09-19,46729,Champions League
1775621,2023/24,2023-10-04,49722,Champions League
1775622,2023/24,2023-10-04,13509,Champions League
1775623,2023/24,2023-10-25,41409,Champions League
1775624,2023/24,2023-10-25,13651,Champions League
1775625,2023/24,2023-11-07,49147,Champions League
1775626,2023/24,2023-11-07,44830,Champions League
1775627,2023/24,2023-11-28,43533,Champions League
1775628,2023/24,2023-11-28,47209,Champions League
1775629,2023/24,2023-12-13,13550,Champions League
1775630,2023/24,2023-12-13,48113,Champions League
1775607,2023/24,2023-10-04,47201,Champions League
1775608,2023/24,2023-09-19,31500,Champions League
1775609,2023/24,2023-09-19,50204,Champions League
1775610,2023/24,2023-10-04,45228,Champions League
1775611,2023/24,2023-10-25,31500,Champions League
1775612,2023/24,2023-10-25,42209,Champions League
1775613,2023/24,2023-11-07,41961,Champions League
1775614,2023/24,2023-11-07,51049,Champions League
1775615,2023/24,2023-11-28,31500,Champions League
1775616,2023/24,2023-11-28,51402,Champions League
1775617,2023/24,2023-12-13,43331,Champions League
1775618,2023/24,2023-12-13,49443,Champions League
1775679,2023/24,2023-09-19,65695,Champions League
1775680,2023/24,2023-09-19,47379,Champions League
