whoscored_team_id,name,season,source,competition
13,Arsenal,2023/24,whoscored,Champions League
129,PSV Eindhoven,2023/24,whoscored,Champions League
67,Sevilla,2023/24,whoscored,Champions League
309,Lens,2023/24,whoscored,Champions League
37,Bayern,2023/24,whoscored,Champions League
32,Man Utd,2023/24,whoscored,Champions League
294,Galatasaray,2023/24,whoscored,Champions League
10,Copenhagen,2023/24,whoscored,Champions League
299,Benfica,2023/24,whoscored,Champions League
361,Salzburg,2023/24,whoscored,Champions League
68,Real Sociedad,2023/24,whoscored,Champions League
75,Inter,2023/24,whoscored,Champions League
52,Real Madrid,2023/24,whoscored,Champions League
796,Union Berlin,2023/24,whoscored,Champions League
288,Braga,2023/24,whoscored,Champions League
276,Napoli,2023/24,whoscored,Champions League
77,Lazio,2023/24,whoscored,Champions League
63,Atletico,2023/24,whoscored,Champions League
256,Feyenoord,2023/24,whoscored,Champions League
103,Celtic,2023/24,whoscored,Champions League
65,Barcelona,2023/24,whoscored,Champions League
752,Royal Antwerp,2023/24,whoscored,Champions League
1706,Shakhtar,2023/24,whoscored,Champions League
297,Porto,2023/24,whoscored,Champions League
579,FK Crvena Zvezda,2023/24,whoscored,Champions League
587,Young Boys,2023/24,whoscored,Champions League
7614,RBL,2023/24,whoscored,Champions League
167,Man City,2023/24,whoscored,Champions League
80,AC Milan,2023/24,whoscored,Champions League
23,Newcastle,2023/24,whoscored,Champions League
304,PSG,2023/24,whoscored,Champions League
44,Borussia Dortmund,2023/24,whoscored,Champions League
