understat_match_id,understat_player_id,understat_team,player_name,minute,x,y,xg,result,shot_type,situation,side,last_action,player_assisted,season,source
28779,6681,Newcastle United,Harvey Barnes,87,86.62,46.58,0.0266,Off T,Right Foot,Open Play,a,Pass,Anthony Gordon,2025,understat
28779,8150,Newcastle United,Anthony Gordon,90,71.93,34.75,0.0105,Saved,Right Foot,Open Play,a,TakeOn,Bruno Guimarães,2025,understat
28779,9556,Newcastle United,William Osula,93,87.78,21.62,0.0403,Blocked,Left Foot,Open Play,a,Pass,Lewis Miley,2025,understat
28779,76,Newcastle United,Fabian Schär,96,37.28,21.01,0.0058,Off T,Right Foot,Open Play,a,Pass,Kieran Trippier,2025,understat
28780,10527,Brighton,Carlos Baleba,13,77.7,31.55,0.0193,Off T,Right Foot,Open Play,h,Dispossessed,,2025,understat
28780,6937,Brighton,Georginio Rutter,25,78.75,42.98,0.0222,Saved,Right Foot,Open Play,h,Pass,Maxim De Cuyper,2025,understat
28780,10806,Brighton,Kaoru Mitoma,27,97.97,40.6,0.0808,Off T,Head,Open Play,h,Cross,Matt O&#039;Riley,2025,understat
28780,6937,Brighton,Georginio Rutter,37,83.58,30.53,0.0332,Blocked,Left Foot,Open Play,h,Pass,Carlos Baleba,2025,understat
28780,12758,Brighton,Mats Wieffer,42,93.45,28.76,0.013,Saved,Head,Set Piece,h,Aerial,Maxim De Cuyper,2025,understat
28780,13206,Brighton,Matt O&#039;Riley,54,92.92,34.0,0.7612,Goal,Left Foot,Penalty,h,Standard,,2025,understat
28780,12759,Brighton,Yankuba Minteh,64,94.18,27.34,0.1414,Off T,Left Foot,Open Play,h,BallTouch,,2025,understat
28780,13364,Brighton,Diego Gómez,75,78.65,31.28,0.0247,Saved,Right Foot,Open Play,h,Pass,Matt O&#039;Riley,2025,understat
28780,6048,Brighton,Lewis Dunk,86,101.01,39.92,0.0308,Off T,Head,From Corner,h,Aerial,Matt O&#039;Riley,2025,understat
28780,11310,Brighton,Brajan Gruda,88,96.5,24.55,0.3136,Off T,Right Foot,Open Play,h,Pass,Diego Gómez,2025,understat
28780,4105,Fulham,Raúl Jiménez,1,97.65,43.79,0.0947,Off T,Left Foot,Open Play,a,Pass,Alex Iwobi,2025,understat
28780,5596,Fulham,Harry Wilson,42,101.43,26.18,0.0419,Off T,Head,Open Play,a,Cross,Alex Iwobi,2025,understat
28780,12410,Fulham,Joshua King,47,100.9,43.79,0.0919,Saved,Left Foot,Open Play,a,Pass,Alex Iwobi,2025,understat
28780,4105,Fulham,Raúl Jiménez,47,102.48,39.1,0.1503,Off T,Right Foot,Open Play,a,Rebound,,2025,understat
28780,500,Fulham,Alex Iwobi,57,77.6,52.02,0.0141,Off T,Right Foot,Open Play,a,Pass,Joshua King,2025,understat
28780,7230,Fulham,Emile Smith-Rowe,95,83.68,38.76,0.0385,Blocked,Right Foot,Open Play,a,Pass,Sasa Lukic,2025,understat
28780,10717,Fulham,Rodrigo Muniz,96,99.65,39.37,0.4854,Goal,Left Foot,From Corner,a,None,,2025,understat
