understat_team_id,team_name
117,Bayern Munich
118,Hamburger SV
119,Bayer Leverkusen
120,Hoffenheim
121,Augsburg
123,Werder Bremen
125,Mainz 05
129,Borussia Dortmund
130,Borussia M.Gladbach
131,Wolfsburg
132,Eintracht Frankfurt
133,VfB Stuttgart
134,FC Cologne
135,Freiburg
136,RasenBallsport Leipzig
240,Union Berlin
280,FC Heidenheim
288,St. Pauli
