understat_shot_id,understat_match_id,understat_player_id,player_name,minute,x,y,xg,result,shot_type,situation,side,season
637579,29159,5656,Nicolas Pepe,79,0.725999984741211,0.34900001525878904,0.015558426268398762,SavedShot,LeftFoot,OpenPlay,h,2025
637580,29159,2521,Alfonso,91,0.85,0.6469999694824219,0.07426640391349792,BlockedShot,RightFoot,OpenPlay,h,2025
637557,29159,813,Salomón Rondón,13,0.885,0.5,0.7432776093482971,SavedShot,RightFoot,Penalty,a,2025
637558,29159,813,Salomón Rondón,18,0.9519999694824218,0.580999984741211,0.04399280995130539,MissedShots,Head,FromCorner,a,2025
637562,29159,13701,Ilyas Chaira,24,0.75,0.66,0.016459370031952858,SavedShot,LeftFoot,OpenPlay,a,2025
637575,29159,13701,Ilyas Chaira,53,0.7880000305175782,0.6509999847412109,0.019744182005524635,SavedShot,RightFoot,OpenPlay,a,2025
637581,29159,13705,Federico Viñas,94,0.9159999847412109,0.735,0.03230607882142067,SavedShot,LeftFoot,OpenPlay,a,2025
637880,29160,9002,Vedat Muriqi,20,0.895,0.44599998474121094,0.455783873796463,SavedShot,LeftFoot,OpenPlay,h,2025
637886,29160,9970,Antonio Sánchez,49,0.8680000305175781,0.5540000152587891,0.037202756851911545,MissedShots,Head,FromCorner,h,2025
637890,29160,2584,Raíllo,56,0.8669999694824219,0.54,0.012763912789523602,MissedShots,Head,SetPiece,h,2025
637901,29160,7841,Dani Rodríguez,81,0.7580000305175781,0.5540000152587891,0.02346600592136383,BlockedShot,RightFoot,OpenPlay,h,2025
637879,29160,8026,Raphinha,6,0.9490000152587891,0.5420000076293945,0.5027597546577454,Goal,Head,OpenPlay,a,2025
637881,29160,11527,Lamine Yamal,22,0.7780000305175782,0.33599998474121096,0.029090359807014465,BlockedShot,LeftFoot,OpenPlay,a,2025
637882,29160,6441,Ferrán Torres,22,0.8090000152587891,0.4490000152587891,0.06484029442071915,Goal,RightFoot,OpenPlay,a,2025
637883,29160,11527,Lamine Yamal,34,0.7930000305175782,0.2979999923706055,0.07099685817956924,MissedShots,LeftFoot,DirectFreekick,a,2025
637884,29160,6441,Ferrán Torres,45,0.830999984741211,0.49900001525878906,0.07277356088161469,BlockedShot,LeftFoot,OpenPlay,a,2025
637885,29160,11527,Lamine Yamal,46,0.7930000305175782,0.34200000762939453,0.04371027648448944,MissedShots,LeftFoot,OpenPlay,a,2025
637887,29160,11527,Lamine Yamal,50,0.8019999694824219,0.37599998474121094,0.05411103740334511,MissedShots,LeftFoot,OpenPlay,a,2025
637888,29160,11527,Lamine Yamal,48,0.8519999694824218,0.3120000076293945,0.061175402253866196,MissedShots,LeftFoot,OpenPlay,a,2025
637889,29160,6441,Ferrán Torres,49,0.904000015258789,0.5259999847412109,0.14388000965118408,BlockedShot,RightFoot,OpenPlay,a,2025
637891,29160,8292,Dani Olmo,57,0.9169999694824219,0.4520000076293945,0.048319779336452484,SavedShot,Head,OpenPlay,a,2025
637892,29160,8935,Pedri,57,0.8590000152587891,0.5329999923706055,0.12480875849723816,MissedShots,RightFoot,OpenPlay,a,2025
637893,29160,8292,Dani Olmo,57,0.9230000305175782,0.485,0.11860474944114685,BlockedShot,LeftFoot,OpenPlay,a,2025
637894,29160,8026,Raphinha,58,0.8119999694824219,0.4809999847412109,0.0831293910741806,ShotOnPost,LeftFoot,OpenPlay,a,2025
637895,29160,8292,Dani Olmo,68,0.9,0.42700000762939455,0.13936404883861542,ShotOnPost,RightFoot,OpenPlay,a,2025
637896,29160,11527,Lamine Yamal,69,0.7730000305175782,0.29700000762939455,0.03016822412610054,BlockedShot,LeftFoot,OpenPlay,a,2025
637897,29160,8045,Eric Garcia,70,0.889000015258789,0.49900001525878906,0.022545225918293,SavedShot,Head,OpenPlay,a,2025
637898,29160,8026,Raphinha,70,0.855,0.34299999237060547,0.0699886679649353,MissedShots,LeftFoot,OpenPlay,a,2025
637899,29160,8292,Dani Olmo,79,0.8109999847412109,0.43599998474121093,0.07437517493963242,BlockedShot,RightFoot,OpenPlay,a,2025
637900,29160,8292,Dani Olmo,79,0.75,0.5329999923706055,0.031433213502168655,BlockedShot,RightFoot,FromCorner,a,2025
637902,29160,8935,Pedri,83,0.7730000305175782,0.51,0.04334215447306633,SavedShot,LeftFoot,OpenPlay,a,2025
637903,29160,8091,Ronald Araújo,84,0.9009999847412109,0.6630000305175782,0.037752099335193634,MissedShots,RightFoot,FromCorner,a,2025
637904,29160,11527,Lamine Yamal,87,0.7880000305175782,0.36400001525878906,0.042974989861249924,SavedShot,LeftFoot,OpenPlay,a,2025
637905,29160,11527,Lamine Yamal,88,0.7819999694824219,0.45099998474121095,0.03646952658891678,SavedShot,LeftFoot,FromCorner,a,2025
637906,29160,11527,Lamine Yamal,93,0.8169999694824219,0.4490000152587891,0.07768946886062622,Goal,LeftFoot,OpenPlay,a,2025
637963,29161,6400,Antonio Martínez,25,0.9080000305175782,0.4759999847412109,0.11907881498336792,MissedShots,Head,SetPiece,h,2025
637965,29161,6400,Antonio Martínez,35,0.9080000305175782,0.4209999847412109,0.0933588519692421,BlockedShot,LeftFoot,OpenPlay,h,2025
637966,29161,6400,Antonio Martínez,35,0.955999984741211,0.5259999847412109,0.49946922063827515,Goal,Head,FromCorner,h,2025
637967,29161,5058,Carles Aleñá,40,0.7619999694824219,0.46599998474121096,0.03186454623937607,MissedShots,RightFoot,OpenPlay,h,2025
637968,29161,12294,Carlos Vicente,42,0.8930000305175781,0.34599998474121096,0.08794321864843369,MissedShots,LeftFoot,OpenPlay,h,2025
637969,29161,9280,Antonio Blanco,47,0.774000015258789,0.6220000076293946,0.014981159940361977,MissedShots,RightFoot,FromCorner,h,2025
637971,29161,13319,Facundo Garcés,49,0.875,0.66,0.011491241864860058,MissedShots,Head,FromCorner,h,2025
637973,29161,10857,Pablo Ibáñez,59,0.7730000305175782,0.29700000762939455,0.013223747722804546,MissedShots,RightFoot,FromCorner,h,2025
637976,29161,6400,Antonio Martínez,69,0.93,0.4779999923706055,0.0957268550992012,BlockedShot,RightFoot,OpenPlay,h,2025
637977,29161,5179,Jon Guridi,70,0.9230000305175782,0.46,0.09262601286172867,BlockedShot,LeftFoot,OpenPlay,h,2025
637978,29161,11825,Abderrahmane Rebbach,77,0.784000015258789,0.6270000076293946,0.02713175304234028,MissedShots,RightFoot,OpenPlay,h,2025
637979,29161,5058,Carles Aleñá,80,0.7769999694824219,0.46900001525878904,0.03331892937421799,BlockedShot,LeftFoot,OpenPlay,h,2025
