whoscored_team_id,team_name,season,competition,data_source
1799,Almeria,2023/24,La Liga,whoscored
64,Rayo Vallecano,2023/24,La Liga,whoscored
53,Athletic Club,2023/24,La Liga,whoscored
52,Real Madrid,2023/24,La Liga,whoscored
63,Atletico,2023/24,La Liga,whoscored
925,Granada,2023/24,La Liga,whoscored
62,Celta Vigo,2023/24,La Liga,whoscored
131,Osasuna,2023/24,La Liga,whoscored
67,Sevilla,2023/24,La Liga,whoscored
55,Valencia,2023/24,La Liga,whoscored
838,Las Palmas,2023/24,La Liga,whoscored
51,Mallorca,2023/24,La Liga,whoscored
819,Getafe,2023/24,La Liga,whoscored
65,Barcelona,2023/24,La Liga,whoscored
839,Villarreal,2023/24,La Liga,whoscored
54,Real Betis,2023/24,La Liga,whoscored
68,Real Sociedad,2023/24,La Liga,whoscored
2783,Girona,2023/24,La Liga,whoscored
1354,Cadiz,2023/24,La Liga,whoscored
60,Deportivo Alaves,2023/24,La Liga,whoscored
