whoscored_player_id,player_name,whoscored_team_id,team_name,position,shirt_no,season,competition,data_source
482754,Afonso Rodrigues,8071,Tondela,Sub,19,2025/26,Primeira Liga,whoscored
526575,Xabi Huarte,8071,Tondela,Sub,14,2025/26,Primeira Liga,whoscored
520930,Juanse,8071,Tondela,Sub,32,2025/26,Primeira Liga,whoscored
450410,Moudjatovic Ouattara,8071,Tondela,Sub,70,2025/26,Primeira Liga,whoscored
572373,Yefrei Rodriguez,8071,Tondela,Sub,11,2025/26,Primeira Liga,whoscored
342768,Bebeto,8071,Tondela,Sub,2,2025/26,Primeira Liga,whoscored
397328,Christian Marques,8071,Tondela,Sub,4,2025/26,Primeira Liga,whoscored
565853,André Ceitil,8071,Tondela,Sub,6,2025/26,Primeira Liga,whoscored
394923,Gabriel Souza,8071,Tondela,Sub,1,2025/26,Primeira Liga,whoscored
369877,Anatoliy Trubin,299,Benfica,GK,1,2025/26,Primeira Liga,whoscored
418203,Amar Dedic,299,Benfica,DR,17,2025/26,Primeira Liga,whoscored
75691,Nicolás Otamendi,299,Benfica,DC,30,2025/26,Primeira Liga,whoscored
443613,António Silva,299,Benfica,DC,4,2025/26,Primeira Liga,whoscored
509647,Samuel Dahl,299,Benfica,DL,26,2025/26,Primeira Liga,whoscored
456787,Enzo Barrenechea,299,Benfica,MC,5,2025/26,Primeira Liga,whoscored
402213,Richard Ríos,299,Benfica,MC,20,2025/26,Primeira Liga,whoscored
404104,Heorhii Sudakov,299,Benfica,MC,10,2025/26,Primeira Liga,whoscored
303544,Fredrik Aursnes,299,Benfica,FWR,8,2025/26,Primeira Liga,whoscored
330514,Vangelis Pavlidis,299,Benfica,FW,14,2025/26,Primeira Liga,whoscored
499993,Franjo Ivanovic,299,Benfica,FWL,9,2025/26,Primeira Liga,whoscored
299490,Dodi Lukébakio,299,Benfica,Sub,11,2025/26,Primeira Liga,whoscored
363038,Leandro Barreiro,299,Benfica,Sub,18,2025/26,Primeira Liga,whoscored
424588,Andreas Schjelderup,299,Benfica,Sub,21,2025/26,Primeira Liga,whoscored
424769,Henrique Araújo,299,Benfica,Sub,39,2025/26,Primeira Liga,whoscored
438274,Gianluca Prestianni,299,Benfica,Sub,25,2025/26,Primeira Liga,whoscored
404768,Samuel Soares,299,Benfica,Sub,24,2025/26,Primeira Liga,whoscored
559143,João Veloso,299,Benfica,Sub,68,2025/26,Primeira Liga,whoscored
396188,Rafa Obrador,299,Benfica,Sub,3,2025/26,Primeira Liga,whoscored
426502,Tomás Araújo,299,Benfica,Sub,44,2025/26,Primeira Liga,whoscored
423277,Cezary Pawet Miszta,121,Rio Ave,GK,1,2025/26,Primeira Liga,whoscored
513082,Francisco Petrasso,121,Rio Ave,DC,23,2025/26,Primeira Liga,whoscored
75479,Jakub Brabec,121,Rio Ave,DC,32,2025/26,Primeira Liga,whoscored
365641,Jonathan Panzo,121,Rio Ave,DC,4,2025/26,Primeira Liga,whoscored
362651,Marios Vrousai,121,Rio Ave,DMR,17,2025/26,Primeira Liga,whoscored
342489,Omar Richards,121,Rio Ave,DML,77,2025/26,Primeira Liga,whoscored
447270,Brandon Aguilera,121,Rio Ave,MC,10,2025/26,Primeira Liga,whoscored
455855,Andreas Ntoi,121,Rio Ave,MC,5,2025/26,Primeira Liga,whoscored
444274,Olé Pohlmann,121,Rio Ave,FWR,80,2025/26,Primeira Liga,whoscored
451874,Marc Gual,121,Rio Ave,FW,28,2025/26,Primeira Liga,whoscored
412334,Dario Spikic,121,Rio Ave,FWL,18,2025/26,Primeira Liga,whoscored
426545,André Luiz,121,Rio Ave,Sub,11,2025/26,Primeira Liga,whoscored
569764,Nikolaos Athanasiou,121,Rio Ave,Sub,3,2025/26,Primeira Liga,whoscored
538263,Tamás Nikitscher,121,Rio Ave,Sub,44,2025/26,Primeira Liga,whoscored
436559,Clayton,121,Rio Ave,Sub,9,2025/26,Primeira Liga,whoscored
577706,Georgios Liavas,121,Rio Ave,Sub,54,2025/26,Primeira Liga,whoscored
