whoscored_team_id,name,season,source,competition
167,Man City,2024/25,whoscored,Champions League
75,Inter,2024/25,whoscored,Champions League
304,PSG,2024/25,whoscored,Champions League
124,Club Brugge,2024/25,whoscored,Champions League
87,Juventus,2024/25,whoscored,Champions League
256,Feyenoord,2024/25,whoscored,Champions League
296,Sporting,2024/25,whoscored,Champions League
354,Sparta Prague,2024/25,whoscored,Champions League
698,Slovan Bratislava,2024/25,whoscored,Champions League
7614,RBL,2024/25,whoscored,Champions League
13,Arsenal,2024/25,whoscored,Champions League
36,Leverkusen,2024/25,whoscored,Champions League
579,FK Crvena Zvezda,2024/25,whoscored,Champions League
248,Monaco,2024/25,whoscored,Champions League
587,Young Boys,2024/25,whoscored,Champions League
37,Bayern,2024/25,whoscored,Champions League
65,Barcelona,2024/25,whoscored,Champions League
299,Benfica,2024/25,whoscored,Champions League
1706,Shakhtar,2024/25,whoscored,Champions League
684,Dinamo Zagreb,2024/25,whoscored,Champions League
24,Aston Villa,2024/25,whoscored,Champions League
26,Liverpool,2024/25,whoscored,Champions League
63,Atletico,2024/25,whoscored,Champions League
103,Celtic,2024/25,whoscored,Champions League
390,Sturm Graz,2024/25,whoscored,Champions League
52,Real Madrid,2024/25,whoscored,Champions League
44,Borussia Dortmund,2024/25,whoscored,Champions League
71,Bologna,2024/25,whoscored,Champions League
300,Atalanta,2024/25,whoscored,Champions League
2332,Brest,2024/25,whoscored,Champions League
80,AC Milan,2024/25,whoscored,Champions League
41,Stuttgart,2024/25,whoscored,Champions League
361,Salzburg,2024/25,whoscored,Champions League
607,Lille,2024/25,whoscored,Champions League
129,PSV Eindhoven,2024/25,whoscored,Champions League
2783,Girona,2024/25,whoscored,Champions League
