whoscored_match_id,season,match_date,attendance,competition
1866097,2024/25,2024-09-18,50922,Champions League
1866098,2024/25,2025-01-22,47818,Champions League
1866099,2024/25,2025-01-29,51237,Champions League
1866100,2024/25,2024-12-11,40890,Champions League
1866101,2024/25,2024-11-26,47011,Champions League
1866102,2024/25,2024-11-05,47453,Champions League
1866103,2024/25,2024-10-23,50116,Champions League
1866104,2024/25,2024-10-01,22500,Champions League
1866105,2024/25,2024-11-26,63174,Champions League
1866106,2024/25,2024-11-06,75222,Champions League
1866107,2024/25,2024-12-10,30210,Champions League
1866108,2024/25,2024-10-01,56391,Champions League
1866109,2024/25,2025-01-29,71601,Champions League
1866110,2024/25,2024-10-23,31500,Champions League
1866111,2024/25,2025-01-22,18010,Champions League
1866112,2024/25,2024-11-26,75000,Champions League
1866113,2024/25,2024-10-23,50312,Champions League
1866114,2024/25,2024-11-06,75000,Champions League
1866115,2024/25,2024-12-10,57079,Champions League
1866116,2024/25,2024-09-17,75000,Champions League
1866117,2024/25,2025-01-22,43106,Champions League
1866118,2024/25,2025-01-29,75000,Champions League
1866119,2024/25,2024-10-02,38991,Champions League
1866120,2024/25,2024-10-23,45228,Champions League
1866121,2024/25,2024-10-02,45228,Champions League
1866122,2024/25,2024-09-19,57858,Champions League
1866123,2024/25,2025-01-22,33478,Champions League
1866124,2024/25,2024-11-05,57551,Champions League
1866125,2024/25,2024-12-10,40406,Champions League
1866126,2024/25,2025-01-29,26851,Champions League
1866127,2024/25,2024-10-22,74642,Champions League
1866128,2024/25,2024-12-11,81365,Champions League
1866129,2024/25,2025-01-29,81365,Champions League
1866130,2024/25,2024-09-18,19961,Champions League
1866131,2024/25,2024-10-01,81365,Champions League
1866132,2024/25,2024-11-27,20019,Champions League
1866133,2024/25,2024-11-05,81365,Champions League
1866134,2024/25,2025-01-21,26801,Champions League
1866135,2024/25,2025-01-29,42728,Champions League
1866136,2024/25,2025-01-21,63225,Champions League
1866137,2024/25,2024-10-01,45097,Champions League
1866138,2024/25,2024-11-06,48886,Champions League
1866139,2024/25,2024-11-26,46317,Champions League
1866140,2024/25,2024-09-19,13296,Champions League
1866141,2024/25,2024-11-27,59546,Champions League
1866142,2024/25,2024-12-10,22967,Champions League
1866143,2024/25,2024-11-05,75561,Champions League
1866144,2024/25,2024-09-17,71288,Champions League
1866145,2024/25,2025-01-22,73692,Champions League
1866146,2024/25,2024-10-02,48205,Champions League
1866147,2024/25,2025-01-29,15405,Champions League
1866148,2024/25,2024-11-05,59790,Champions League
1866149,2024/25,2024-09-17,59826,Champions League
1866150,2024/25,2025-01-21,59782,Champions League
1866151,2024/25,2025-01-29,35000,Champions League
1866152,2024/25,2024-10-02,59816,Champions League
1866153,2024/25,2024-12-10,9241,Champions League
1866154,2024/25,2024-10-01,30210,Champions League
1866155,2024/25,2025-01-21,66820,Champions League
1866156,2024/25,2024-11-26,29211,Champions League
1866157,2024/25,2024-09-19,42297,Champions League
1866158,2024/25,2025-01-29,30210,Champions League
1866159,2024/25,2024-10-23,15510,Champions League
1866160,2024/25,2024-11-06,47369,Champions League
1866161,2024/25,2024-10-02,62028,Champions League
1866162,2024/25,2024-10-23,61197,Champions League
1866163,2024/25,2025-01-29,23389,Champions League
1866164,2024/25,2024-12-11,59134,Champions League
1866165,2024/25,2024-11-26,18110,Champions League
1866166,2024/25,2024-10-01,60103,Champions League
1866167,2024/25,2024-10-22,47511,Champions League
1866168,2024/25,2024-12-10,25065,Champions League
1866169,2024/25,2024-09-18,39951,Champions League
1866170,2024/25,2025-01-29,60000,Champions League
1866171,2024/25,2024-09-19,22858,Champions League
1866172,2024/25,2024-10-02,21636,Champions League
1866173,2024/25,2024-10-23,21614,Champions League
1866174,2024/25,2024-11-26,31500,Champions League
1866175,2024/25,2025-01-21,19469,Champions League
1866176,2024/25,2024-11-06,60000,Champions League
1866177,2024/25,2025-01-29,41402,Champions League
1866178,2024/25,2024-09-17,40417,Champions League
1866179,2024/25,2025-01-21,26700,Champions League
1866180,2024/25,2024-10-22,41306,Champions League
1866181,2024/25,2024-11-05,48312,Champions League
1866182,2024/25,2024-11-27,42589,Champions League
1866183,2024/25,2024-11-27,13581,Champions League
1866184,2024/25,2024-10-23,61687,Champions League
1866185,2024/25,2024-09-19,44238,Champions League
1866186,2024/25,2024-12-11,60650,Champions League
1866187,2024/25,2024-10-22,59594,Champions League
1866188,2024/25,2025-01-22,60024,Champions League
1866189,2024/25,2024-11-26,47386,Champions League
1866190,2024/25,2024-12-11,60157,Champions League
1866191,2024/25,2025-01-29,9048,Champions League
1866192,2024/25,2024-10-22,58649,Champions League
1866193,2024/25,2024-12-10,22254,Champions League
1866194,2024/25,2024-11-27,57456,Champions League
1866195,2024/25,2024-11-06,23466,Champions League
1866196,2024/25,2024-10-02,23205,Champions League
1866197,2024/25,2024-11-06,17420,Champions League
1866198,2024/25,2024-11-27,35100,Champions League
1866199,2024/25,2025-01-22,15282,Champions League
1866200,2024/25,2024-09-18,23130,Champions League
1866201,2024/25,2024-12-11,53717,Champions League
1866202,2024/25,2025-01-29,18856,Champions League
1866203,2024/25,2025-01-22,66030,Champions League
1866204,2024/25,2024-11-26,22500,Champions League
1866205,2024/25,2024-11-06,42774,Champions League
1866206,2024/25,2025-01-29,44071,Champions League
1866207,2024/25,2024-12-11,45000,Champions League
1866208,2024/25,2024-10-02,8752,Champions League
1866209,2024/25,2024-10-01,34400,Champions League
1866210,2024/25,2024-09-17,40024,Champions League
1866211,2024/25,2025-01-29,37328,Champions League
1866212,2024/25,2024-10-22,23691,Champions League
1866213,2024/25,2025-01-21,36648,Champions League
1866214,2024/25,2024-11-05,34400,Champions League
1866215,2024/25,2024-12-10,15778,Champions League
1866216,2024/25,2024-12-10,18158,Champions League
1866217,2024/25,2024-10-23,24018,Champions League
1866218,2024/25,2024-10-02,12462,Champions League
1866219,2024/25,2024-11-05,22132,Champions League
1866220,2024/25,2024-10-01,20232,Champions League
1866221,2024/25,2024-09-18,17612,Champions League
1866222,2024/25,2024-12-11,45796,Champions League
1866223,2024/25,2024-11-27,22420,Champions League
1866224,2024/25,2025-01-29,31500,Champions League
1866225,2024/25,2024-11-27,41372,Champions League
