whoscored_match_id,whoscored_event_id,whoscored_player_id,whoscored_team_id,player_name,event_type,period,minute,second,x,y,end_x,end_y,outcome,season,data_source,source
1901061,2839334031.0,403913.0,300,,Pass,FirstHalf,0,57.0,0.65,0.871,0.451,0.849,Successful,2025/26,whoscored,whoscored
1901061,2839334127.0,100962.0,300,,Pass,FirstHalf,1,1.0,0.423,0.793,0.424,0.207,Successful,2025/26,whoscored,whoscored
1901061,2839334161.0,405133.0,300,,Pass,FirstHalf,1,4.0,0.433,0.203,0.559,0.144,Successful,2025/26,whoscored,whoscored
1901061,2839334201.0,386390.0,300,,Pass,FirstHalf,1,5.0,0.572,0.138,0.413,0.183,Successful,2025/26,whoscored,whoscored
1901061,2839334255.0,405133.0,300,,Pass,FirstHalf,1,7.0,0.442,0.189,0.382,0.362,Successful,2025/26,whoscored,whoscored
1901061,2839334339.0,454908.0,300,,Pass,FirstHalf,1,11.0,0.375,0.42,0.398,0.68,Successful,2025/26,whoscored,whoscored
1901061,2839334389.0,129903.0,300,,Pass,FirstHalf,1,13.0,0.388,0.703,0.338,0.524,Successful,2025/26,whoscored,whoscored
1901061,2839334511.0,454908.0,300,,Pass,FirstHalf,1,16.0,0.329,0.615,0.384,0.894,Successful,2025/26,whoscored,whoscored
1901061,2839334547.0,100962.0,300,,Pass,FirstHalf,1,20.0,0.384,0.912,0.7,0.806,Unsuccessful,2025/26,whoscored,whoscored
1901061,2839334551.0,83719.0,777,,BallRecovery,FirstHalf,1,21.0,0.289,0.225,,,Successful,2025/26,whoscored,whoscored
1901061,2839334703.0,83719.0,777,,Pass,FirstHalf,1,24.0,0.287,0.024,0.692,0.243,Successful,2025/26,whoscored,whoscored
1901061,2839334711.0,495906.0,777,,Aerial,FirstHalf,1,27.0,0.676,0.267,,,Successful,2025/26,whoscored,whoscored
1901061,2839334733.0,454908.0,300,,Aerial,FirstHalf,1,27.0,0.324,0.733,,,Unsuccessful,2025/26,whoscored,whoscored
1901061,2839334763.0,495906.0,777,,Pass,FirstHalf,1,28.0,0.692,0.243,0.628,0.241,Successful,2025/26,whoscored,whoscored
1901061,2839334853.0,141729.0,777,,Pass,FirstHalf,1,29.0,0.628,0.241,0.572,0.631,Successful,2025/26,whoscored,whoscored
1901061,2839335011.0,357956.0,777,,Pass,FirstHalf,1,34.0,0.674,0.724,0.747,0.942,Successful,2025/26,whoscored,whoscored
1901061,2839335015.0,431666.0,777,,Dispossessed,FirstHalf,1,41.0,0.948,0.888,,,Successful,2025/26,whoscored,whoscored
1901061,2839335065.0,349184.0,300,,Tackle,FirstHalf,1,41.0,0.052,0.112,,,Unsuccessful,2025/26,whoscored,whoscored
1901061,2839335095.0,431666.0,777,,BallTouch,FirstHalf,1,42.0,0.947,0.91,,,Successful,2025/26,whoscored,whoscored
1901061,2839335721.0,100962.0,300,,Pass,FirstHalf,2,7.0,0.036,0.583,0.053,0.479,Successful,2025/26,whoscored,whoscored
1901061,2839335781.0,383278.0,300,,Pass,FirstHalf,2,10.0,0.057,0.468,0.729,0.204,Unsuccessful,2025/26,whoscored,whoscored
1901061,2839335795.0,83719.0,777,,BallTouch,FirstHalf,2,12.0,0.326,0.76,,,Unsuccessful,2025/26,whoscored,whoscored
1901061,2839335951.0,349184.0,300,,Pass,FirstHalf,2,16.0,0.67,0.146,0.701,0.26,Successful,2025/26,whoscored,whoscored
1901061,2839335961.0,83719.0,777,,Challenge,FirstHalf,2,19.0,0.254,0.848,,,Unsuccessful,2025/26,whoscored,whoscored
1901061,2839335997.0,386390.0,300,,TakeOn,FirstHalf,2,19.0,0.746,0.152,,,Successful,2025/26,whoscored,whoscored
1901061,2839336039.0,386390.0,300,,Pass,FirstHalf,2,21.0,0.854,0.124,0.959,0.453,Unsuccessful,2025/26,whoscored,whoscored
