whoscored_match_id,venue_name,manager_home,manager_away,ht_score,ft_score,attendance,referee_id_whoscored,referee_name,start_time
1901280,Arena Garibaldi Romeo Anconetani,Alberto Gilardino,Cristian Chivu,0 : 0,0 : 2,12542.0,339,Marco Guida,2025-11-30T15:00:00
1901281,Stadio Olimpico,Gian Piero Gasperini,Antonio Conte,0 : 1,0 : 1,63937.0,366,Davide Massa,2025-11-30T20:45:00
1901282,Unipol Domus,Fabio Pisacane,Gian Piero Gasperini,0 : 0,1 : 0,16255.0,4910,Luca Zufferli,2025-12-07T15:00:00
1901283,Giovanni Zini,Davide Nicola,Eusebio Di Francesco,0 : 0,2 : 0,13276.0,7185,Giuseppe Mucera,2025-12-07T12:30:00
1901284,Stadio Giuseppe Meazza,Cristian Chivu,Cesc Fàbregas,1 : 0,4 : 0,75022.0,367,Marco Di Bello,2025-12-06T18:00:00
1901285,Stadio Olimpico,Maurizio Sarri,Vincenzo Italiano,1 : 1,1 : 1,43325.0,356,Michael Fabbri,2025-12-07T18:00:00
1901286,Diego Armando Maradona,Antonio Conte,Luciano Spalletti,1 : 0,2 : 1,53000.0,400,Federico La Penna,2025-12-07T20:45:00
1901287,Arena Garibaldi Romeo Anconetani,Alberto Gilardino,Carlos Cuesta,0 : 1,0 : 1,11626.0,360,Daniele Doveri,2025-12-08T15:00:00
1901288,MAPEI Stadium - Città del Tricolore,Fabio Grosso,Paolo Vanoli,2 : 1,3 : 1,14285.0,386,Luca Pairetto,2025-12-06T15:00:00
1901289,Olimpico Grande Torino,Marco Baroni,Massimiliano Allegri,2 : 1,2 : 3,25000.0,398,Daniele Chiffi,2025-12-08T20:45:00
1901290,Bluenergy Stadium,Kosta Runjaic,Daniele De Rossi,0 : 1,1 : 2,23356.0,388,Fabio Maresca,2025-12-08T18:00:00
1901291,Stadio Marcantonio Bentegodi,Paolo Zanetti,Raffaele Palladino,2 : 0,3 : 1,20949.0,331,Maurizio Mariani,2025-12-06T20:45:00
1901292,New Balance Arena,Raffaele Palladino,Fabio Pisacane,1 : 0,2 : 1,21695.0,6026,Davide Di Marco,2025-12-13T20:45:00
1901293,Renato Dall'Ara,Vincenzo Italiano,Luciano Spalletti,0 : 0,0 : 1,32911.0,366,Davide Massa,2025-12-14T20:45:00
1901294,Artemio Franchi,Paolo Vanoli,Paolo Zanetti,0 : 1,1 : 2,20967.0,4913,Andrea Colombo,2025-12-14T15:00:00
1901295,Luigi Ferraris,Daniele De Rossi,Cristian Chivu,0 : 2,1 : 2,31670.0,360,Daniele Doveri,2025-12-14T18:00:00
1901296,Stadio Ettore Giardiniero - Via del Mare,Eusebio Di Francesco,Alberto Gilardino,0 : 0,1 : 0,24332.0,1901,Juan Luca Sacchi,2025-12-12T20:45:00
1901297,Stadio Giuseppe Meazza,Massimiliano Allegri,Fabio Grosso,1 : 1,2 : 2,73446.0,6792,Valerio Crezzini,2025-12-14T12:30:00
1901298,Ennio Tardini,Carlos Cuesta,Maurizio Sarri,0 : 0,0 : 1,19893.0,4416,Matteo Marchetti,2025-12-13T18:00:00
1901299,Stadio Olimpico,Gian Piero Gasperini,Cesc Fàbregas,0 : 0,1 : 0,60207.0,5388,Ermanno Feliciani,2025-12-15T20:45:00
1901300,Olimpico Grande Torino,Marco Baroni,Davide Nicola,1 : 0,1 : 0,18297.0,2987,Livio Marinelli,2025-12-13T15:00:00
1901301,Bluenergy Stadium,Kosta Runjaic,Antonio Conte,0 : 0,1 : 0,24502.0,3777,Simone Sozza,2025-12-14T15:00:00
1901302,Unipol Domus,Fabio Pisacane,Alberto Gilardino,0 : 1,2 : 2,15880.0,3007,Francesco Fourneau,2025-12-21T12:30:00
