whoscored_team_id,name,season,source,competition
130,Ajax,2022/23,whoscored,Champions League
306,Rangers,2022/23,whoscored,Champions League
276,Napoli,2022/23,whoscored,Champions League
26,Liverpool,2022/23,whoscored,Champions League
63,Atletico,2022/23,whoscored,Champions League
297,Porto,2022/23,whoscored,Champions League
124,Club Brugge,2022/23,whoscored,Champions League
36,Leverkusen,2022/23,whoscored,Champions League
65,Barcelona,2022/23,whoscored,Champions League
1076,Viktoria Plzen,2022/23,whoscored,Champions League
75,Inter,2022/23,whoscored,Champions League
37,Bayern,2022/23,whoscored,Champions League
103,Celtic,2022/23,whoscored,Champions League
52,Real Madrid,2022/23,whoscored,Champions League
7614,RBL,2022/23,whoscored,Champions League
1706,Shakhtar,2022/23,whoscored,Champions League
44,Borussia Dortmund,2022/23,whoscored,Champions League
10,Copenhagen,2022/23,whoscored,Champions League
67,Sevilla,2022/23,whoscored,Champions League
167,Man City,2022/23,whoscored,Champions League
45,Eintracht Frankfurt,2022/23,whoscored,Champions League
296,Sporting,2022/23,whoscored,Champions League
30,Tottenham,2022/23,whoscored,Champions League
249,Marseille,2022/23,whoscored,Champions League
304,PSG,2022/23,whoscored,Champions League
87,Juventus,2022/23,whoscored,Champions League
299,Benfica,2022/23,whoscored,Champions League
705,Maccabi Haifa,2022/23,whoscored,Champions League
684,Dinamo Zagreb,2022/23,whoscored,Champions League
15,Chelsea,2022/23,whoscored,Champions League
361,Salzburg,2022/23,whoscored,Champions League
80,AC Milan,2022/23,whoscored,Champions League
