whoscored_match_id,season,match_date,attendance,competition
1686065,2022/23,2022-09-07,52862,Champions League
1686066,2022/23,2022-09-07,51793,Champions League
1686067,2022/23,2022-09-13,52387,Champions League
1686068,2022/23,2022-09-14,50121,Champions League
1686069,2022/23,2022-10-04,52896,Champions League
1686070,2022/23,2022-10-04,49512,Champions League
1686071,2022/23,2022-10-12,52229,Champions League
1686072,2022/23,2022-10-12,48820,Champions League
1686073,2022/23,2022-10-26,39835,Champions League
1686074,2022/23,2022-10-26,53327,Champions League
1686075,2022/23,2022-11-01,52077,Champions League
1686076,2022/23,2022-11-01,48817,Champions League
1686083,2022/23,2022-09-07,51777,Champions League
1686084,2022/23,2022-09-07,21235,Champions League
1686085,2022/23,2022-09-13,25825,Champions League
1686086,2022/23,2022-09-13,39225,Champions League
1686087,2022/23,2022-10-04,42399,Champions League
1686088,2022/23,2022-10-04,25667,Champions League
1686089,2022/23,2022-10-12,30210,Champions League
1686090,2022/23,2022-10-12,60810,Champions League
1686091,2022/23,2022-10-26,26144,Champions League
1686092,2022/23,2022-10-26,63803,Champions League
1686093,2022/23,2022-11-01,47546,Champions League
1686094,2022/23,2022-11-01,30210,Champions League
1686107,2022/23,2022-09-07,77411,Champions League
1686108,2022/23,2022-09-07,58951,Champions League
1686109,2022/23,2022-09-13,75000,Champions League
1686110,2022/23,2022-09-13,11252,Champions League
1686111,2022/23,2022-10-04,75000,Champions League
1686112,2022/23,2022-10-04,71368,Champions League
1686113,2022/23,2022-10-12,92302,Champions League
1686114,2022/23,2022-10-12,11326,Champions League
1686115,2022/23,2022-10-26,71849,Champions League
1686116,2022/23,2022-10-26,84016,Champions League
1686117,2022/23,2022-11-01,75000,Champions League
1686118,2022/23,2022-11-01,11258,Champions League
1686095,2022/23,2022-09-06,57057,Champions League
1686096,2022/23,2022-09-06,41591,Champions League
1686097,2022/23,2022-10-05,45228,Champions League
1686098,2022/23,2022-10-05,56011,Champions League
1686099,2022/23,2022-10-11,29030,Champions League
1686100,2022/23,2022-10-11,57565,Champions League
1686155,2022/23,2022-09-14,20697,Champions League
1686156,2022/23,2022-09-14,54289,Champions League
1686157,2022/23,2022-10-25,57478,Champions League
1686158,2022/23,2022-10-25,45228,Champions League
1686159,2022/23,2022-11-02,52511,Champions League
1686160,2022/23,2022-11-02,26045,Champions League
1686101,2022/23,2022-09-06,70700,Champions League
1686102,2022/23,2022-09-06,38764,Champions League
1686103,2022/23,2022-10-05,51765,Champions League
1686104,2022/23,2022-10-05,34598,Champions League
1686105,2022/23,2022-10-11,35447,Champions League
1686106,2022/23,2022-10-11,81000,Champions League
1686174,2022/23,2022-09-14,50441,Champions League
1686175,2022/23,2022-09-14,34910,Champions League
1686176,2022/23,2022-10-25,29884,Champions League
1686177,2022/23,2022-10-25,81000,Champions League
1686178,2022/23,2022-11-02,51610,Champions League
1686179,2022/23,2022-11-02,31900,Champions League
1686125,2022/23,2022-09-07,50500,Champions League
1686126,2022/23,2022-09-07,57367,Champions League
1686127,2022/23,2022-09-13,62500,Champions League
1686128,2022/23,2022-09-13,39899,Champions League
1686129,2022/23,2022-10-04,618,Champions League
1686130,2022/23,2022-10-04,50500,Champions League
1686131,2022/23,2022-10-12,55180,Champions League
1686132,2022/23,2022-10-12,38126,Champions League
1686133,2022/23,2022-10-26,48700,Champions League
1686134,2022/23,2022-10-26,59588,Champions League
1686135,2022/23,2022-11-01,41744,Champions League
1686136,2022/23,2022-11-01,50768,Champions League
1686119,2022/23,2022-09-06,47415,Champions League
1686120,2022/23,2022-09-06,55130,Champions League
1686121,2022/23,2022-10-05,28498,Champions League
1686122,2022/23,2022-10-05,62295,Champions League
1686123,2022/23,2022-10-11,30074,Champions League
1686124,2022/23,2022-10-11,46435,Champions League
1686180,2022/23,2022-09-14,30421,Champions League
1686181,2022/23,2022-09-14,34015,Champions League
1686182,2022/23,2022-10-25,60131,Champions League
1686183,2022/23,2022-10-25,46435,Champions League
1686184,2022/23,2022-11-02,30464,Champions League
1686185,2022/23,2022-11-02,41089,Champions League
1686077,2022/23,2022-09-06,20607,Champions League
1686078,2022/23,2022-09-06,29520,Champions League
1686079,2022/23,2022-10-05,28864,Champions League
1686080,2022/23,2022-10-05,39537,Champions League
1686081,2022/23,2022-10-11,20779,Champions League
1686082,2022/23,2022-10-11,75051,Champions League
1686149,2022/23,2022-09-14,61341,Champions League
1686150,2022/23,2022-09-14,38818,Champions League
1686151,2022/23,2022-10-25,29520,Champions League
1686152,2022/23,2022-10-25,20572,Champions League
