team_id_tm,team_slug,season,stadium_name,capacity,seats_total,seats_covered,seats_vip,vip_boxes,seats_standing,inaugurated_year,built_year,refurbished_year,owner,operator,address,city,country,construction_cost,surface,architect,tm_url
164,blackburn-rovers,2022,Blackburn Rovers,31367,31367,,,,,,,,,,Ewood Park,,,,Césped natural,,https://www.transfermarkt.es/blackburn-rovers/stadion/verein/164/saison_id/2022
289,afc-sunderland,2022,Sunderland AFC,48707,48707,,,,,,,,Sunderland Association Football Club,,Stadium of Light,,,"25,50 mill. €",Césped natural,,https://www.transfermarkt.es/afc-sunderland/stadion/verein/289/saison_id/2022
337,birmingham-city,2022,Birmingham City,29409,29409,,,,,,,,Birmingham City Football Club,,St. Andrew’s @ Knighthead Park,,,,Césped híbrido,,https://www.transfermarkt.es/birmingham-city/stadion/verein/337/saison_id/2022
350,sheffield-united,2022,Sheffield United,32702,32702,,,,,,,,,,Bramall Lane,,,,Césped híbrido,,https://www.transfermarkt.es/sheffield-united/stadion/verein/350/saison_id/2022
466,preston-north-end,2022,Preston North End,23408,23408,,,,,,,,,,Deepdale,,,,Césped natural,,https://www.transfermarkt.es/preston-north-end/stadion/verein/466/saison_id/2022
512,stoke-city,2022,Stoke City,30089,30089,,,,,,,,Stoke City Football Club,,bet365 Stadium,,,"21,50 mill. €",Césped natural,,https://www.transfermarkt.es/stoke-city/stadion/verein/512/saison_id/2022
603,cardiff-city,2022,Cardiff City,33280,33280,,,,,,,,Cardiff City Stadium Ltd,,Cardiff City Stadium,,,"55,00 mill. €",Césped híbrido,,https://www.transfermarkt.es/cardiff-city/stadion/verein/603/saison_id/2022
641,fc-middlesbrough,2022,Middlesbrough FC,33746,33746,,,1,,,,,Middlesbrough FC,,Riverside Stadium,,,"18,50 mill. €",Césped natural,,https://www.transfermarkt.es/fc-middlesbrough/stadion/verein/641/saison_id/2022
698,bristol-city,2022,Bristol City,27000,27000,,,,,,,,,,Ashton Gate,,,,Césped híbrido,,https://www.transfermarkt.es/bristol-city/stadion/verein/698/saison_id/2022
984,west-bromwich-albion,2022,West Bromwich Albion,26850,26850,,,,,,,,West Bromwich Albion Football Club,,The Hawthorns,,,,Césped híbrido,,https://www.transfermarkt.es/west-bromwich-albion/stadion/verein/984/saison_id/2022
990,coventry-city,2022,Coventry City,32609,32609,,,,,,,,Frasers Group,,Coventry Building Society Arena,,,"100,00 mill. €",Césped híbrido,,https://www.transfermarkt.es/coventry-city/stadion/verein/990/saison_id/2022
1010,fc-watford,2022,Watford FC,21577,21577,,,,,,,,Watford Football Club,,Vicarage Road,,,,Césped híbrido,,https://www.transfermarkt.es/fc-watford/stadion/verein/1010/saison_id/2022
1028,fc-millwall,2022,Millwall FC,20146,20146,,,,,,,,,,The Den,,,,Césped híbrido,,https://www.transfermarkt.es/fc-millwall/stadion/verein/1028/saison_id/2022
1031,luton-town,2022,Luton Town,11850,11850,,,,,,,,Luton Borough Council,,Kenilworth Road,,,,Césped natural,,https://www.transfermarkt.es/luton-town/stadion/verein/1031/saison_id/2022
1032,fc-reading,2022,FC Reading,24161,24161,,,,,,,,RFC Holdings Ltd,,Select Car Leasing Stadium,,,"62,00 mill. €",Césped híbrido,,https://www.transfermarkt.es/fc-reading/stadion/verein/1032/saison_id/2022
1039,queens-park-rangers,2022,Queens Park Rangers,18360,18360,,,17,,,,,Queens Park Rangers Football & Athletic Club Ltd,,Loftus Road Stadium,,,,Césped híbrido,,https://www.transfermarkt.es/queens-park-rangers/stadion/verein/1039/saison_id/2022
1071,wigan-athletic,2022,Wigan Athletic,25133,25133,,,,,,,,Wigan Football Company,,Brick Community Stadium,,,"34,00 mill. €",Césped natural,,https://www.transfermarkt.es/wigan-athletic/stadion/verein/1071/saison_id/2022
1110,huddersfield-town,2022,Huddersfield Town,24500,24500,,,,,,,,Stadionkonsortium Huddersfield,,Accu Stadium,,,,Césped natural,,https://www.transfermarkt.es/huddersfield-town/stadion/verein/1110/saison_id/2022
1123,norwich-city,2022,Norwich City,27244,27244,,,,,,,,,,Carrow Road,,,,Césped híbrido,,https://www.transfermarkt.es/norwich-city/stadion/verein/1123/saison_id/2022
1132,fc-burnley,2022,Burnley FC,21994,21994,,,,,,,,Turf Moor Properties Ltd,,Turf Moor,,,,Césped híbrido,,https://www.transfermarkt.es/fc-burnley/stadion/verein/1132/saison_id/2022
1181,fc-blackpool,2022,Blackpool FC,16220,16220,,,,,,,,Blackpool F.C.,,Bloomfield Road,,,,Césped natural,,https://www.transfermarkt.es/fc-blackpool/stadion/verein/1181/saison_id/2022
1194,rotherham-united,2022,Rotherham United,12000,12000,,,,,,,,Rotherham United FC,,New York Stadium,,,"21,00 mill. €",Césped natural,,https://www.transfermarkt.es/rotherham-united/stadion/verein/1194/saison_id/2022
2288,swansea-city,2022,Swansea City,21088,21088,,,,,,,,Swansea City FC,,Swansea.com Stadium,,,"40,00 mill. €",Césped híbrido,,https://www.transfermarkt.es/swansea-city/stadion/verein/2288/saison_id/2022
3008,hull-city,2022,Hull City,25586,25586,,,,,,,,Hull City Council,,MKM Stadium,,,"65,00 mill. €",Césped híbrido,,https://www.transfermarkt.es/hull-city/stadion/verein/3008/saison_id/2022
