understat_player_id,player_name
2555,Remiro
257,Jeremy Toljan
2584,Raíllo
2589,Rafa Mir
2597,Dani Calvo
2609,Gerard Gumbau
2621,Sergi Darder
2624,Djibril Sow
3059,Axel Witsel
308,Ricardo Rodríguez
3208,Óscar Trejo
323,Adnan Januzaj
3264,Mauro Arambarri
3423,Kylian Mbappe-Lottin
3425,Thomas Lemar
3621,Neal Maupay
391,David Alaba
4091,Unai López
4120,Álex Moreno
4160,David Costas
4168,Javi Muñoz
4175,Pere Milla
492,Héctor Bellerín
498,Alexis Sánchez
5043,Kiko Femenía
5050,Clement Lenglet
5058,Carles Aleñá
5065,Diego Rico
5073,Florian Lejeune
5074,Kike García
5077,Mikel Vesga
5081,Edu Expósito
5086,Marc Roca
5091,Alex Berenguer
5110,Mariano
5140,Kike Barja
5162,Nacho Vidal
5179,Jon Guridi
5199,Raba
5353,Josip Brekalo
548,Daley Blind
5556,Ademola Lookman
556,Marcus Rashford
5615,Valentin Rosier
565,Nyom
5654,Baptiste Santamaria
5656,Nicolas Pepe
5666,Mouctar Diakhaby
5672,Iván Balliu
5681,Giovani Lo Celso
5682,Gonçalo Guedes
5706,Dodi Lukebakio
5947,Mihailo Ristic
6075,Antonio Sivera
6087,Takuma Asano
6118,Portu
6126,Ander Guevara
6149,Unai Núñez
6151,Djené Dakonam
6168,Leandro Cabrera
6170,André Silva
6177,Luiz Felipe
6227,Brais Méndez
6241,Federico Valverde
6242,Johan Mojica
6291,Diego Pampín
6306,Juan Foyth
6324,Marash Kumbulla
6325,Andoni Gorosabel
6400,Antonio Martínez
6421,Brahim Diaz
6427,Aitor Ruibal
6433,Jules Koundé
6441,Ferrán Torres
6485,Júnior Firpo
6531,Alexander Sørloth
6560,Aurelien Tchouameni
6592,Manuel Morlanes
6637,Hugo Duro
6651,Grady Diangana
6656,Sergio Gómez
6740,Miguel Ángel Rubio
6750,Gonzalo Villar
6766,Dani Vivian
681,César Azpilicueta
6916,Fernando Calero
6931,Fran Beltrán
6933,Javi Puado
6954,Juan Camilo Hernández
6955,Ezequiel Ávila
7007,Duje Caleta-Car
7008,Vinícius Júnior
7020,Gorka Guruzeta
7050,Lucas Torró
7070,Santiago Comesaña
7071,Álvaro García
7074,Nicolás González
7086,David Hancko
7174,Adrià Pedrosa
7236,Leander Dendoncker
7276,Robin Le Normand
7306,Aihen Muñoz
7308,Ander Barrenetxea
7338,Bryan Gil Salvatierra
7350,Yangel Herrera
7359,Eduardo Camavinga
7385,Javi Galán
7500,Giacomo Raspadori
7515,Andrei Ratiu
7528,Sergio Camello
7529,Iván Martín
7549,Abel Ruiz
7574,Leo Petrot
7604,Alejandro Catena
7605,Manuel Sánchez
7655,Carl Starfelt
770,Ayoze Pérez
7779,Oihan Sancet
7781,Frenkie de Jong
7810,Ruben Vargas
7825,Iker Losada
7826,Joseph Aidoo
7829,Eder Militão
7838,Martin Valjent
7841,Dani Rodríguez
7842,Aleix Febas
7857,Jon Moncayola
7860,Domingos Duarte
7870,Luis Rioja
7882,Sheraldo Becker
7888,Nemanja Gudelj
7916,Pol Lozano
7927,Sofyan Amrabat
7981,Nianzou Kouassi
8001,Takefusa Kubo
8002,Rodrigo Riquelme
8014,Abdón Prats
8015,Rodrygo
8026,Raphinha
8042,Raul García
8045,Eric Garcia
8058,Thierry Correia
8066,Arnaut Danjuma Groeneveld
8070,Mateu Morey
8091,Ronald Araújo
8107,Jorge De Frutos
8122,Sergio Carreira
813,Salomón Rondón
8165,Lucien Agoume
8183,Pablo Martínez
8187,Georges Mikautadze
8230,German Valera
8267,Guido Rodríguez
8283,Batista Mendy
8292,Dani Olmo
8328,Azz-Eddine Ounahi
8409,Juanlu Sanchez
8413,Javier López
8417,Álex Baena
8423,Jon Pacheco Dozagarat
8424,Aimar Oroz
8500,Víctor García
8549,Ferrán Jutglà
8584,Raul Moro
8694,Chidera Ejuke
8696,Pape Alassane Gueye
8725,Luis Milla
8733,Alfonso Espino
8744,Juan Cruz
8760,Arsen Zakharyan
8764,Oriol Rey
8765,Roberto Navarro
8821,Donny van de Beek
8824,Jude Bellingham
8861,Urko Gonzalez
8872,Matteo Ruggeri
8893,Josan
8895,Tete Morente
8902,José Salinas
8935,Pedri
8946,Mourad El Ghezouani
8948,Aitor Paredes
8963,Nahuel Molina
897,Juanmi
8972,Victor Chust
9001,Martín Satriano
9002,Vedat Muriqi
9011,Óscar Mingueza
9024,Yeremi Pino
9040,Conor Gallagher
9199,John Donald
9211,Nico Williams
9217,Jesús Vázquez
9218,Juan Iglesias
9241,Alfon
9243,Ilaix Moriba
9275,Iván Romero
9280,Antonio Blanco
9297,Abdelkabir Abqar
9465,Beñat Turrientes
9466,Jon Ander Olasagasti
9505,Beñat Prados
9519,Carlos Domínguez
9520,Hugo Sotelo
965,Santiago Cazorla
9694,Diego López
9755,Inigo Ruiz de Galarreta
9768,Jesús Areso
9796,Giuliano Simeone
9805,Álex Balde
9809,José Ángel Carmona
9810,Fran García
9811,Óscar Valentín
9812,Isi Palazón
9813,Randy Nteka
9815,Pathé Ciss
9825,Nicolás Serrano
9922,Jon Karrikaburu
9970,Antonio Sánchez
