whoscored_team_id,team_name,season,competition,data_source
60,Deportivo Alaves,2021/22,La Liga,whoscored
52,Real Madrid,2021/22,La Liga,whoscored
65,Barcelona,2021/22,La Liga,whoscored
68,Real Sociedad,2021/22,La Liga,whoscored
62,Celta Vigo,2021/22,La Liga,whoscored
63,Atletico,2021/22,La Liga,whoscored
51,Mallorca,2021/22,La Liga,whoscored
54,Real Betis,2021/22,La Liga,whoscored
1354,Cadiz,2021/22,La Liga,whoscored
832,Levante,2021/22,La Liga,whoscored
131,Osasuna,2021/22,La Liga,whoscored
70,Espanyol,2021/22,La Liga,whoscored
67,Sevilla,2021/22,La Liga,whoscored
64,Rayo Vallecano,2021/22,La Liga,whoscored
55,Valencia,2021/22,La Liga,whoscored
819,Getafe,2021/22,La Liga,whoscored
839,Villarreal,2021/22,La Liga,whoscored
925,Granada,2021/22,La Liga,whoscored
833,Elche,2021/22,La Liga,whoscored
53,Athletic Club,2021/22,La Liga,whoscored
